Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT CS ASSC 2022,BUT Carrières Sociales - Parcours Animation sociale et socioculturelle,"<div class=""container text-center p-3"" style=""background: #003366;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/carrieres-sociales/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://raw.githubusercontent.com/eldoomCBE/_mcf_BUT/main/uncashed/21603-cs-650-650-7c622dba.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Carri%C3%A8res-Sociales"" data-line=""6""><span style=""color: #ffffff;"">BUT Carri&egrave;res Sociales</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Animation sociale et socioculturelle</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le Bachelor Universitaire de Technologie (BUT) Carri&egrave;res sociales parcours Animation Sociale et Socio-Culturelle couvre&nbsp;les secteurs d&rsquo;activit&eacute; en lien avec les domaines d&rsquo;intervention suivants : l&rsquo;animation socioculturelle et l&rsquo;&eacute;ducation non formelle,&nbsp;proches de la vie associative et des f&eacute;d&eacute;rations de l&rsquo;&Eacute;ducation populaire (M.J.C., Centres Sociaux, etc.), l&rsquo;action sociale (les&nbsp;dispositifs d&rsquo;int&eacute;gration et d&rsquo;insertion dans des lieux sp&eacute;cifiques comme les maisons de retraite, les foyers logement, les centres&nbsp;pour handicap&eacute;s, ...), l&rsquo;action culturelle, la m&eacute;diation, le d&eacute;veloppement local, le tourisme, les pratiques de loisir. Le professionnel&nbsp;titulaire du B.U.T. Carri&egrave;res sociales, option animation sociale et socioculturelle, con&ccedil;oit, coordonne et g&egrave;re les projets&nbsp;d&rsquo;animation d&rsquo;un service, d&rsquo;une entreprise, d&rsquo;une structure, d&rsquo;un secteur ou d&rsquo;un territoire dans le secteur associatif, public,&nbsp;semi-public ou relevant des collectivit&eacute;s locales.</span></p>
<p data-line=""8""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe3 (PDF-3.20 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/12/0/spe617_annexe3_1426120.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; carri&egrave;res sociales : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT CS ASSC 2022-C1,🔴 Concevoir des interventions,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Conception d'interventions adapt&eacute;es aux enjeux de la soci&eacute;t&eacute;</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant de mani&egrave;re pertinente les apports des sciences humaines et sociales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les publics, leurs caract&eacute;ristiques et leurs probl&eacute;matiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une posture attentive &agrave; la diversit&eacute; des publics et ouverte &agrave; l&rsquo;alt&eacute;rit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mobilisant des techniques de recherche documentaire et d&rsquo;investigation de terrain de mani&egrave;re adapt&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En forgeant un point de vue argument&eacute; sur les th&eacute;matiques relevant de l&rsquo;intervention sociale et de la coh&eacute;sion des territoires</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mise en oeuvre d'une d&eacute;marche de constat diagnostic</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Production de donn&eacute;es originales et/ou r&eacute;f&eacute;renc&eacute;es</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Participation &agrave; des d&eacute;marches de recherche-action</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Exploitation d'une veille professionnelle</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT CS ASSC 2022-C2,🟠 Construire des dynamiques,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Construction de dynamiques partenariales</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En ma&icirc;trisant le cadre institutionnel et la dynamique des acteurs &agrave; toutes les &eacute;chelles territoriales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une posture professionnelle &eacute;thique et en faisant &eacute;voluer ses pratiques professionnelles</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;inscrivant dans un travail d'&eacute;quipe et collaboratif dans un environnement pluri-professionnel</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;appuyant sur des outils de communication et de m&eacute;diation adapt&eacute;s au contexte partenarial</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les ressources financi&egrave;res, mat&eacute;rielles et humaines</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant une veille dans le champ professionnel</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Pr&eacute;sentation de l&rsquo;institution et de ses missions dans le cadre d&rsquo;un projet partenarial</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Cr&eacute;ation d'espaces de partage des informations, des exp&eacute;riences et des ressources</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mobilisation de r&eacute;seaux d'acteurs et d&eacute;veloppement de communaut&eacute;s d&rsquo;action</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Contribution &agrave; l&rsquo;articulation des actions men&eacute;es avec les partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Accompagnement des publics &agrave; l&rsquo;acc&egrave;s aux droits et d&eacute;veloppement de solidarit&eacute;s</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT CS ASSC 2022-C3,🟡 Renforcer,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Renforcement des capacit&eacute;s d'action individuelles&nbsp;et collectives des publics</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En co-construisant et en co-pilotant des projets, des dispositifs qui font sens pour tous les participants</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En inscrivant les actions / les projets dans une approche capacitaire des publics</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les sp&eacute;cificit&eacute;s du territoire et des contextes d&rsquo;intervention</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En impliquant les publics &agrave; toutes les &eacute;tapes de la d&eacute;marche de projet (du diagnostic &agrave; la valorisation)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En inscrivant les publics dans une d&eacute;marche et les valeurs de l&rsquo;&eacute;ducation populaire</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">(Co)-conception, (co)-mise en oeuvre, (Co)-&eacute;valuation d&rsquo;un projet d&rsquo;animation &agrave; destination de publics vari&eacute;s (visibles/invisibles), bas&eacute; sur l&rsquo;identification des attentes et besoins des publics, en s&rsquo;appuyant&nbsp;sur un diagnostic de projet.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Coordination d&rsquo;un projet collectif d&rsquo;animation favorisant l&rsquo;expression, la participation pour d&eacute;velopper le pouvoir d&rsquo;agir des publics.</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT CS ASSC 2022-C4,🟢 Mettre en œuvre des démarches,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Mise en &oelig;uvre des d&eacute;marches &eacute;ducatives et des techniques d'animation dans une d&eacute;marche de projet</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En se r&eacute;f&eacute;rant aux fondamentaux de l&rsquo;&eacute;ducation populaire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;inscrivant dans le projet global de sa structure, de son service</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En cr&eacute;ant les conditions de l&rsquo;inclusion</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En &eacute;tablissant et maintenant une relation de confiance qui s&rsquo;appuie sur une &eacute;thique et une posture professionnelle adapt&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En &eacute;laborant des sc&eacute;narios p&eacute;dagogiques et des d&eacute;marches d&rsquo;&eacute;valuation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Animation d&rsquo;activit&eacute;s socio-&eacute;ducatives, d&rsquo;activit&eacute;s d&rsquo;animation de loisirs et de culture, d&rsquo;animation sociale, de lien social et de vie locale dans les centres de loisirs, les EHPAD, les maisons de quartier,&nbsp;centres sociaux, services jeunesses, habitat jeune et foyers logement, etc.</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Projet d&rsquo;animation et/ou de d&eacute;veloppement social et socioculturel</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT CS ASSC 2022-C5,🔵 Contribuer,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Contribution au d&eacute;veloppement du champ&nbsp;professionnel de l&rsquo;animation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En valorisant l&rsquo;action et les projets au niveau individuel et collectif</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mobilisant les valeurs et principes de l&rsquo;animation et de l&rsquo;&eacute;ducation populaire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En organisant le partage d&rsquo;exp&eacute;riences et en s&rsquo;appuyant sur la recherche</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En inscrivant l&rsquo;intervention dans la dur&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En concevant des strat&eacute;gies de communication et des supports adapt&eacute;s et diversifi&eacute;s dans une vis&eacute;e de diffusion et de partage</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Elaborations de strat&eacute;gies et d&rsquo;outils de communication</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Elaborations de strat&eacute;gies de d&eacute;veloppement professionnel</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
PN LP-BUT CS ASSC 2022-C1,PN LP-BUT CS ASSC 2022-C1-L1,⭐ Mettre en place des outils d’enquêtes adaptés aux publics et aux contextes,<p>Mettre en place des outils<br>d&rsquo;enqu&ecirc;tes adapt&eacute;s aux publics et<br>aux contextes et pr&eacute;senter les<br>r&eacute;sultats.</p>,,,,,,,,,,""
PN LP-BUT CS ASSC 2022-C1,PN LP-BUT CS ASSC 2022-C1-L2,⭐⭐ Mettre en place des outils d’enquêtes adaptés aux publics et aux contextes,<p>Mettre en place des outils<br>d&rsquo;enqu&ecirc;tes adapt&eacute;s aux publics et<br>aux contextes et pr&eacute;senter les<br>r&eacute;sultats.</p>,,,,,,,,,,""
PN LP-BUT CS ASSC 2022-C1,PN LP-BUT CS ASSC 2022-C1-L3,"⭐⭐⭐ Présenter, partager des résultats et formuler des ébauches de préconisations",,,,,,,,,,,""
PN LP-BUT CS ASSC 2022-C2,PN LP-BUT CS ASSC 2022-C2-L1,⭐ Identifier et participer à l’échange avec les acteurs institutionnels et socio-économiques,,,,,,,,,,,""
