Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT CS CGE3S 2022,BUT Carrières Sociales - Parcours CGE3S,"<div class=""container text-center p-3"" style=""background: #003366;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/carrieres-sociales/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://raw.githubusercontent.com/eldoomCBE/_mcf_BUT/main/uncashed/21603-cs-650-650-7c622dba.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Carri%C3%A8res-Sociales"" data-line=""6""><span style=""color: #ffffff;"">BUT Carri&egrave;res Sociales</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Coordination et Gestion des &Eacute;tablissements et Services Sanitaires et Sociaux</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le Bachelor Universitaire de Technologie (BUT) Carri&egrave;res Sociales parcours Coordination et Gestion des &Eacute;tablissements&nbsp;et Services Sanitaires et Sociaux concerne des m&eacute;tiers en lien avec la gestion, la coordination et l&rsquo;encadrement d&rsquo;&eacute;quipe&nbsp;dans des structures et services sanitaires et sociaux mais &eacute;galement la gestion de projet, le suivi qualit&eacute;, les parcours de&nbsp;sant&eacute;-social. Cela concerne donc des services &agrave; domicile, des SSIAD, des SAAD, SPASAD, r&eacute;sidences autonomie, CCAS et&nbsp;EHPA(D).</span></p>
<p data-line=""8""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe3 (PDF-3.20 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/12/0/spe617_annexe3_1426120.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; carri&egrave;res sociales : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT CS CGE3S 2022-C1,🔴 Concevoir des interventions,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Conception d'interventions adapt&eacute;es aux enjeux de la soci&eacute;t&eacute;</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant de mani&egrave;re pertinente les apports des sciences humaines et sociales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les publics, leurs caract&eacute;ristiques et leurs probl&eacute;matiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une posture attentive &agrave; la diversit&eacute; des publics et ouverte &agrave; l&rsquo;alt&eacute;rit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mobilisant des techniques de recherche documentaire et d&rsquo;investigation de terrain de mani&egrave;re adapt&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En forgeant un point de vue argument&eacute; sur les th&eacute;matiques relevant de l&rsquo;intervention sociale et de la coh&eacute;sion des territoires</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mise en oeuvre d'une d&eacute;marche de constat diagnostic</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Production de donn&eacute;es originales et/ou r&eacute;f&eacute;renc&eacute;es</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Participation &agrave; des d&eacute;marches de recherche-action</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Exploitation d'une veille professionnelle</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT CS CGE3S 2022-C2,🟠 Construire des dynamiques,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Construction de dynamiques partenariales</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En ma&icirc;trisant le cadre institutionnel et la dynamique des acteurs &agrave; toutes les &eacute;chelles territoriales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une posture professionnelle &eacute;thique et en faisant &eacute;voluer ses pratiques professionnelles</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;inscrivant dans un travail d'&eacute;quipe et collaboratif dans un environnement pluri-professionnel</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;appuyant sur des outils de communication et de m&eacute;diation adapt&eacute;s au contexte partenarial</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les ressources financi&egrave;res, mat&eacute;rielles et humaines</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant une veille dans le champ professionnel</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Pr&eacute;sentation de l&rsquo;institution et de ses missions dans le cadre d&rsquo;un projet partenarial</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Cr&eacute;ation d'espaces de partage des informations, des exp&eacute;riences et des ressources</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mobilisation de r&eacute;seaux d'acteurs et d&eacute;veloppement de communaut&eacute;s d&rsquo;action</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Contribution &agrave; l&rsquo;articulation des actions men&eacute;es avec les partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Accompagnement des publics &agrave; l&rsquo;acc&egrave;s aux droits et d&eacute;veloppement de solidarit&eacute;s</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT CS CGE3S 2022-C3,🟡 Conduire des projets,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Conduite de projet pour des &eacute;tablissements et des<br>services sanitaires et sociaux</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant les contraintes du milieu professionnel</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En recourant &agrave; une d&eacute;marche s'appuyant sur des m&eacute;thodologies et outils adapt&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte le contexte institutionnel et r&eacute;glementaire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant une analyse des besoins sur un territoire donn&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Conduite d'un projet pour des &eacute;tablissements et services sanitaires et sociaux</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Participation &agrave; la mise en oeuvre et/ou suivi d'une d&eacute;marche qualit&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">R&eacute;ponse &agrave; une commande et sollicitation des moyens adapt&eacute;s dans le cadre d'un &eacute;tablissement-service sanitaire et social</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">R&eacute;alisation d'un diagnostic pr&eacute;alable &agrave; un projet</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Participation au d&eacute;veloppement et &agrave; la promotion d'une structure ou d'un service</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT CS CGE3S 2022-C4,🟢 Construire des accompagnements adaptés,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Construction d'accompagnements adapt&eacute;s</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les logiques de parcours sur le territoire, mobilisant diff&eacute;rents acteurs</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les sp&eacute;cificit&eacute;s des publics, des personnes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant une r&eacute;flexion &eacute;thique-d&eacute;ontologique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant les objectifs des politiques publiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En contribuant &agrave; un environnement de vie favorisant les interactions sociales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En proposant des solutions technologiques pertinentes</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Orientation des diff&eacute;rents publics vers les aides et accompagnements mobilisables dans le cadre de la coordination des parcours</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&Eacute;laboration d'une &eacute;valuation des besoins pr&eacute;alable &agrave; la prise en charge en &eacute;tablissement ou &agrave; domicile</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Identification et information des publics sur les solutions technologiques et/ou num&eacute;riques</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Accompagnement des publics dans le respect des contraintes budg&eacute;taires et r&eacute;glementaires</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT CS CGE3S 2022-C5,🔵 Encadrer et Coordonner,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Encadrement et coordination</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mobilisant des d&eacute;marches, outils et techniques de gestion</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les r&eacute;f&eacute;rentiels bonnes pratiques et recommandations professionnelles</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la r&eacute;glementation du travail, commerciale...</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adaptant les pratiques manag&eacute;riales &agrave; l'intervention sociale et en sant&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En veillant &agrave; la qualit&eacute; des conditions de travail et de prises en charge</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Participation &agrave; l'encadrement des &eacute;quipes et &agrave; la coordination des acteurs</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mise en place de politiques-pratiques RH adapt&eacute;es aux besoins des secteurs sanitaires et sociaux</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Contribution &agrave; une d&eacute;marche de pr&eacute;vention des risques professionnels et d'am&eacute;lioration des conditions de travail</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Participation &agrave; la mise en place du projet d'&eacute;tablissement ou de service</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
PN LP-BUT CS CGE3S 2022-C1,PN LP-BUT CS CGE3S 2022-C1-L1,⭐ Mettre en place des outils d’enquêtes adaptés aux publics et aux contextes,<p>Mettre en place des outils<br>d&rsquo;enqu&ecirc;tes adapt&eacute;s aux publics et<br>aux contextes et pr&eacute;senter les<br>r&eacute;sultats</p>,,,,,,,,,,""
PN LP-BUT CS CGE3S 2022-C1,PN LP-BUT CS CGE3S 2022-C1-L2,⭐⭐ Mettre en place des outils d’enquêtes adaptés aux publics et aux contextes,<p>Mettre en place des outils<br>d&rsquo;enqu&ecirc;tes adapt&eacute;s aux publics et<br>aux contextes et pr&eacute;senter les<br>r&eacute;sultats</p>,,,,,,,,,,""
PN LP-BUT CS CGE3S 2022-C1,PN LP-BUT CS CGE3S 2022-C1-L3,"⭐⭐⭐ Présenter, partager des résultats et formuler des ébauches de préconisations",,,,,,,,,,,""
PN LP-BUT CS CGE3S 2022-C2,PN LP-BUT CS CGE3S 2022-C2-L1,⭐ Identifier et participer à l’échange avec les acteurs institutionnels et socio-économiques,,,,,,,,,,,""
