Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT CS VTD 2022,BUT Carrières Sociales - Parcours Villes et Territoires Durables,"<div class=""container text-center p-3"" style=""background: #003366;"">
<h2 data-line=""2""><a target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://raw.githubusercontent.com/eldoomCBE/_mcf_BUT/main/uncashed/21603-cs-650-650-7c622dba.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Carri%C3%A8res-Sociales"" data-line=""6""><span style=""color: #ffffff;"">BUT Carri&egrave;res Sociales</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Villes et Territoires Durables</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le Bachelor Universitaire de Technologie (BUT) Carri&egrave;res sociales parcours Villes et Territoires Durables couvre les secteurs&nbsp;d&rsquo;activit&eacute; en lien avec les domaines d&rsquo;intervention suivants : politique de la ville et coh&eacute;sion sociale ; logement et habitat ;&nbsp;urbanisme et am&eacute;nagement urbain ; mobilit&eacute;, d&eacute;placements, transports urbains ; environnement, &eacute;nergie, climat, gestion de&nbsp;proximit&eacute; des d&eacute;chets ; d&eacute;veloppement &eacute;conomique local ; organisation et animation de projets culturels ; architecture-paysage.<br>Le B.U.T. VTD forme des professionnels polyvalents capables de relever des d&eacute;fis importants : changement climatique, &eacute;rosion&nbsp;de la biodiversit&eacute;, fractures sociales, s&eacute;gr&eacute;gation spatiale...Ils se saisissent d&rsquo;enjeux qui y sont li&eacute;s et les articulent au regard&nbsp;de la complexit&eacute; des territoires urbains. Charg&eacute;s de cr&eacute;er des liens entre la conception de projet et sa mise en oeuvre, ces&nbsp;professionnels tiendront un r&ocirc;le essentiel d&rsquo;organisation, de coordination et d&rsquo;animation d&rsquo;initiatives locales, &agrave; la jonction de&nbsp;multiples acteurs et enjeux sociaux, environnementaux, &eacute;conomiques et politiques.</span></p>
<p data-line=""8""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe3 (PDF-3.20 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/12/0/spe617_annexe3_1426120.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; carri&egrave;res sociales : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT CS VTD 2022-C1,🔴 Concevoir des interventions,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Conception d'interventions adapt&eacute;es aux enjeux de la soci&eacute;t&eacute;</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant de mani&egrave;re pertinente les apports des sciences humaines et sociales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les publics, leurs caract&eacute;ristiques et leurs probl&eacute;matiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une posture attentive &agrave; la diversit&eacute; des publics et ouverte &agrave; l&rsquo;alt&eacute;rit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mobilisant des techniques de recherche documentaire et d&rsquo;investigation de terrain de mani&egrave;re adapt&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En forgeant un point de vue argument&eacute; sur les th&eacute;matiques relevant de l&rsquo;intervention sociale et de la coh&eacute;sion des territoires</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mise en oeuvre d'une d&eacute;marche de constat diagnostic</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Production de donn&eacute;es originales et/ou r&eacute;f&eacute;renc&eacute;es</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Participation &agrave; des d&eacute;marches de recherche-action</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Exploitation d'une veille professionnelle</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT CS VTD 2022-C2,🟠 Construire des dynamiques,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Construction de dynamiques partenariales</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En ma&icirc;trisant le cadre institutionnel et la dynamique des acteurs &agrave; toutes les &eacute;chelles territoriales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une posture professionnelle &eacute;thique et en faisant &eacute;voluer ses pratiques professionnelles</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;inscrivant dans un travail d'&eacute;quipe et collaboratif dans un environnement pluri-professionnel</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;appuyant sur des outils de communication et de m&eacute;diation adapt&eacute;s au contexte partenarial</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les ressources financi&egrave;res, mat&eacute;rielles et humaines</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant une veille dans le champ professionnel</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Pr&eacute;sentation de l&rsquo;institution et de ses missions dans le cadre d&rsquo;un projet partenarial</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Cr&eacute;ation d'espaces de partage des informations, des exp&eacute;riences et des ressources</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mobilisation de r&eacute;seaux d'acteurs et d&eacute;veloppement de communaut&eacute;s d&rsquo;action</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Contribution &agrave; l&rsquo;articulation des actions men&eacute;es avec les partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Accompagnement des publics &agrave; l&rsquo;acc&egrave;s aux droits et d&eacute;veloppement de solidarit&eacute;s</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT CS VTD 2022-C3,🟡 Élaborer des diagnostics,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>&Eacute;laboration de diagnostics de territoires</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant des m&eacute;thodes de collecte et de production de donn&eacute;es qualitatives et quantitatives (observation, questionnaire, entretien,&nbsp;analyse documentaire &hellip;)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte la pluralit&eacute; des acteurs et de leurs attentes, et la diversit&eacute; de la composition des territoires (espace public, logement,&nbsp;populations&hellip;)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;appuyant sur les documents d&rsquo;urbanisme et de programmation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En se r&eacute;f&eacute;rant au cadre r&eacute;glementaire du diagnostic</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de l'&eacute;laboration d'un document d'urbanisme</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre du d&eacute;veloppement social local</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre d'un projet urbain</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre d'une &eacute;tude prospective</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT CS VTD 2022-C4,🟢 Communiquer,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Communication avec les publics et les acteurs&nbsp;territoriaux</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant des m&eacute;thodes de communication, de repr&eacute;sentation et de m&eacute;diation adapt&eacute;es &agrave; la figuration du territoire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En privil&eacute;giant la proximit&eacute; avec les publics (habitants, usagers) et les acteurs territoriaux</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En facilitant et valorisant la ma&icirc;trise d&rsquo;usage (en s&rsquo;appuyant sur les savoirs et l&rsquo;expertise des habitants et des usagers)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;inscrivant dans une approche sensible et sensorielle des territoires</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tirant le meilleur parti des outils, des ressources et des usages num&eacute;riques</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de projets urbains, de projets de territoire</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre d'actions de sensibilisation</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre d'actions de concertation ou de m&eacute;diation</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de la mise en valeur d'un territoire</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT CS VTD 2022-C5,🔵 Conduire des projets,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Conduite de projets pour des territoires en&nbsp;transition</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adaptant les moyens et modes d&rsquo;&eacute;valuation aux objectifs du projet</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En veillant aux imp&eacute;ratifs de justice sociale et d&rsquo;&eacute;galit&eacute; des droits</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En veillant aux imp&eacute;ratifs de durabilit&eacute; et de transition &eacute;cologique et sociale</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En situant son action au regard des grands enjeux internationaux et de leurs r&eacute;percussions locales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;appuyant sur les sp&eacute;cificit&eacute;s culturelles, historiques et patrimoniales du territoire</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre du d&eacute;veloppement urbain, social, culturel du territoire</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans un contexte de renouvellement urbain durable ou d&rsquo;urbanisme temporaire</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de la pr&eacute;vention des risques et de l'adaptation au changement climatique</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En r&eacute;ponse &agrave; une commande ou &agrave; un appel &agrave; projets &eacute;manant d'acteurs publics ou priv&eacute;s</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
PN LP-BUT CS VTD 2022-C1,PN LP-BUT CS VTD 2022-C1-L1,⭐ Mettre en place des outils d’enquêtes adaptés aux publics et aux contextes,<p>Mettre en place des outils<br>d&rsquo;enqu&ecirc;tes adapt&eacute;s aux publics et<br>aux contextes et pr&eacute;senter les<br>r&eacute;sultats</p>,,,,,,,,,,""
PN LP-BUT CS VTD 2022-C1,PN LP-BUT CS VTD 2022-C1-L2,⭐⭐ Mettre en place des outils d’enquêtes adaptés aux publics et aux contextes,<p>Mettre en place des outils<br>d&rsquo;enqu&ecirc;tes adapt&eacute;s aux publics et<br>aux contextes et pr&eacute;senter les<br>r&eacute;sultats</p>,,,,,,,,,,""
PN LP-BUT CS VTD 2022-C1,PN LP-BUT CS VTD 2022-C1-L3,"⭐⭐⭐ Présenter, partager des résultats et formuler des ébauches de préconisations",,,,,,,,,,,""
PN LP-BUT CS VTD 2022-C2,PN LP-BUT CS VTD 2022-C2-L1,⭐ Identifier et participer à l’échange avec les acteurs institutionnels et socio-économiques,,,,,,,,,,,""
