Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GACO MRPO 2022,BUT GACO - Parcours Management responsable de projets et des organisations,"<div class=""container text-center p-3"" style=""background: #333399;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/gestion-administrative-et-commerciale/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/ea/21612-gaco-650-650-ea03a7e5.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Gestion-Administrative-et-Commerciale-des-Organisations"" data-line=""135""><span style=""color: #ffffff;"">BUT Gestion Administrative et Commerciale des Organisations</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Management responsable de projets et des&nbsp;organisations</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours Management responsable de projet et des organisations est centr&eacute; sur l&rsquo;accompagnement &agrave; la d&eacute;marche de&nbsp;responsabilit&eacute; sociale et environnementale. Le dipl&ocirc;m&eacute; pourra intervenir dans tout type d&rsquo;entreprises, associations ou organisations,<br>dans un contexte entrepreneurial de cr&eacute;ation ou de reprise.</span></p>
<p data-line=""137""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe11 (PDF-1.73 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/13/8/spe617_annexe11_1426138.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; gestion administrative et commerciale des organisations : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GACO MRPO 2022-C1,🔴 Gérer un projet,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>G&eacute;rer un projet interne ou externe &agrave; l'organisation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en tenant compte des attentes et des valeurs de l&rsquo;organisation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s&rsquo;inscrivant dans une d&eacute;marche collaborative</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en proposant une m&eacute;thodologie coh&eacute;rente</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en formulant des pr&eacute;conisations r&eacute;alistes et pertinentes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant les outils les plus adapt&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en tenant compte des caract&eacute;ristiques inter-culturelles d'une gestion de projet</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation d'engagement dans un &eacute;quipe projet en vue de fournir un livrable</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de r&eacute;alisation d&rsquo;un diagnostic</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de mise en oeuvre d&rsquo;un projet conforme &agrave; la strat&eacute;gie de l&rsquo;organisation</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de communiquer en langues &eacute;trang&egrave;res dans un contexte professionnel authentique</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GACO MRPO 2022-C2,🟠 Participer au pilotage,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Participer au pilotage interne de l'organisation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant la strat&eacute;gie de l'organisation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en collaborant efficacement &agrave; la strat&eacute;gie</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les sp&eacute;cificit&eacute;s des diff&eacute;rentes fonctions de l'organisation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s'assurant que les actions men&eacute;es permettent d'atteindre les objectifs</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de collaboration au sein d'un service</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de collaboration entre les services</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de collaboration avec les partenaires externes de l'organisation</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GACO MRPO 2022-C3,🟡 Concevoir la démarche marketing,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concevoir la d&eacute;marche marketing</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en r&eacute;alisant des &eacute;tudes du march&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mobilisant les outils appropri&eacute;s du marketing d'&eacute;tude</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en oeuvre un mix marketing conforme au positionnement strat&eacute;gique de l&rsquo;organisation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mobilisant les outils de communication adapt&eacute;s</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en r&eacute;alisant une &eacute;tude du march&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de diagnostic interne et externe</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en d&eacute;finissant une strat&eacute;gie, sa mise en oeuvre et en mobilisant les outils d'analyse pour optimiser des op&eacute;rations marketing</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en r&eacute;pondant &agrave; une probl&eacute;matique de d&eacute;veloppement &agrave; l'international</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GACO MRPO 2022-C4,🟢 Accompagner une organisation dans sa démarche RSE,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Accompagner une organisation dans sa<br>d&eacute;marche de responsabilit&eacute; sociale et<br>environnementale</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en valorisant l&rsquo;impact &eacute;conomique d&rsquo;une pratique &eacute;thique et responsable</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en identifiant les leviers de d&eacute;veloppement d&rsquo;une d&eacute;marche RSE (labels, financements, appuis, etc.)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en oeuvre une veille informationnelle critique/proactive (r&eacute;glementations, outils, d&eacute;marches, dispositifs, d&eacute;bats publics sur les<br>questions RSE, etc.)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en articulant les attentes des diff&eacute;rentes parties prenantes</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de certification ou de normalisation</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation d&rsquo;audit ou conseil</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de r&eacute;organisation interne</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GACO MRPO 2022-C5,🔵 Entreprendre,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Entreprendre dans un contexte de reprise ou de&nbsp;cr&eacute;ation d'organisation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en conduisant un diagnostic &eacute;conomique, social et environnemental d&rsquo;un territoire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant les innovations manag&eacute;riales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en pilotant les axes strat&eacute;giques de l&rsquo;entreprise responsable avec une vision long terme</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en faisant preuve d&rsquo;initiative et de cr&eacute;ativit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en proposant un plan d'action concret</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de cr&eacute;ation d&rsquo;entreprise</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de r&eacute;orientation organisationnelle</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de reprise d&rsquo;entreprise</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation d&rsquo;intrapreunariat</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
PN LP-BUT GACO MRPO 2022-C1,PN LP-BUT GACO MRPO 2022-C1-L1,⭐ Participer à la réalisation d'un projet,,,,,,,,,,,""
PN LP-BUT GACO MRPO 2022-C1,PN LP-BUT GACO MRPO 2022-C1-L2,⭐⭐ Collaborer à la gestion de projet,,,,,,,,,,,""
PN LP-BUT GACO MRPO 2022-C1,PN LP-BUT GACO MRPO 2022-C1-L3,⭐⭐⭐ Piloter un projet,,,,,,,,,,,""
PN LP-BUT GACO MRPO 2022-C2,PN LP-BUT GACO MRPO 2022-C2-L1,⭐ S'insérer dans le pilotage de l'organisation,,,,,,,,,,,""
