Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GCGP CPIT 2022,BUT Génie Chimique-Génie des Procédés - Parcours Conception des Procédés et Innovation Technologique,"<div class=""container text-center p-3"" style=""background: #004d40;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/genie-chimique-genie-des-procedes/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/f2/21619-gcgp-650-650-f21b1513.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-G%C3%A9nie-Chimique-G%C3%A9nie-des-Proc%C3%A9d%C3%A9s"" data-line=""67""><span style=""color: #ffffff;"">BUT G&eacute;nie Chimique-G&eacute;nie des Proc&eacute;d&eacute;s</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Conception des Proc&eacute;d&eacute;s et Innovation Technologique</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">&ndash; Le parcours Conception des Proc&eacute;d&eacute;s et Innovation Technologique permet aux dipl&ocirc;m&eacute;s de s&rsquo;ins&eacute;rer en particulier dans les bureaux d&rsquo;&eacute;tudes ou services recherche-d&eacute;veloppement. Les dipl&ocirc;m&eacute;s participent &agrave; la conception, au d&eacute;veloppement&nbsp;et au dimensionnement de nouveaux proc&eacute;d&eacute;s propres et s&ucirc;rs ou &agrave; la transformation de proc&eacute;d&eacute;s existants&nbsp;afin, en particulier, de limiter leur consommation &eacute;nerg&eacute;tique et de favoriser les recyclages de mati&egrave;res premi&egrave;res. Ils&nbsp;exercent les fonctions de technicien g&eacute;nie des proc&eacute;d&eacute;s, technicien en recherche-d&eacute;veloppement, charg&eacute; d&rsquo;&eacute;tudes,&nbsp;technicien charg&eacute; de la pr&eacute;paration des PID, technicien d&eacute;veloppement de proc&eacute;d&eacute;s.<br>Pour des raisons de s&eacute;curit&eacute;, certains Travaux Pratiques doivent comporter des effectifs plus restreints de 7 &agrave; 9 &eacute;tudiants au&nbsp;maximum par enseignant. Il s&rsquo;agit des travaux pratiques r&eacute;alis&eacute;s sur des appareillages industriels des halls demi-grands ou des&nbsp;manipulations en laboratoire.</span></p>
<p data-line=""69""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe6 (PDF-1.38 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/12/6/spe617_annexe6_1426126.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; g&eacute;nie chimique-g&eacute;nie des proc&eacute;d&eacute;s : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GCGP CPIT 2022-C1,🔴 Production,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Produire avec une installation industrielle de&nbsp;transformation de la mati&egrave;re et de l&rsquo;&eacute;nergie par voie chimique ou biologique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les modes op&eacute;ratoires et les proc&eacute;dures de fabrication</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant la s&eacute;curit&eacute; des biens et des personnes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des contraintes de production (d&eacute;lais, sp&eacute;cifications produits, disponibilit&eacute;s mati&egrave;res premi&egrave;res, moyens mat&eacute;riels et&nbsp;humains)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En atteignant les objectifs de qualit&eacute; de produit et de quantit&eacute; de production</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;duisant au maximum l&rsquo;impact environnemental et sanitaire de l&rsquo;activit&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Pr&eacute;paration, planification, mise en route et arr&ecirc;t d'une production</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Suivi de production</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Apr&egrave;s la production : analyse de la production et communication d'un rapport</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Analyse des dysfonctionnements et pr&eacute;vision des op&eacute;rations de maintenance</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GCGP CPIT 2022-C2,🟠 Dimensionner,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concevoir des &eacute;quipements de production&nbsp;industrielle de transformation de la mati&egrave;re et de&nbsp;l&rsquo;&eacute;nergie par voie chimique ou biologique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant un cahier des charges</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les r&egrave;gles de s&eacute;curit&eacute; et de protection de l'environnement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'appuyant sur de la documentation technique ad&eacute;quate</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'assurant de la fiabilit&eacute; des propositions techniques &eacute;labor&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;duisant la consommation des ressources et la consommation &eacute;nerg&eacute;tique</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dimensionnement d'&eacute;quipements</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Aide au choix d'&eacute;quipements</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">R&eacute;alisation de sch&eacute;mas techniques</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Transformation et conception d'unit&eacute;s de production</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GCGP CPIT 2022-C3,🟡 Contrôler,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Contr&ocirc;ler la qualit&eacute; des mati&egrave;res premi&egrave;res et des&nbsp;produits</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les bonnes pratiques de laboratoire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En maintenant une tra&ccedil;abilit&eacute; des r&eacute;sultats</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En choisissant un protocole adapt&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Analyse physico-chimique ou microbiologique d'un produit</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;tection d'une impuret&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Contr&ocirc;le des param&egrave;tres de production</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GCGP CPIT 2022-C4,🟢 Développement et amélioration,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>D&eacute;velopper et am&eacute;liorer des proc&eacute;d&eacute;s de<br>transformation de la mati&egrave;re et de l'&eacute;nergie par&nbsp;voie chimique ou biologique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en place une d&eacute;marche exp&eacute;rimentale</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les r&egrave;gles relatives &agrave; l'hygi&egrave;ne, la s&eacute;curit&eacute; et &agrave; la protection de l&rsquo;environnement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant une veille des innovations technologiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;inscrivant dans une d&eacute;marche de d&eacute;veloppement durable (optimisation &eacute;nerg&eacute;tique, r&eacute;duction de l'impact environnemental,&nbsp;valorisation des d&eacute;chets..)</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mise au point et am&eacute;lioration de proc&eacute;d&eacute;s</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Industrialisation de proc&eacute;d&eacute;s</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Campagnes d'essais pilotes</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;termination de performances d'&eacute;quipements</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GCGP CPIT 2022-C5,🔵 Gestion de projets industriels,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Participer &agrave; la d&eacute;finition et au suivi d'un projet&nbsp;d'installation d' &eacute;quipements de transformation de&nbsp;la mati&egrave;re et de l'&eacute;nergie par voie chimique ou&nbsp;biologique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des contraintes du projet industriel (d&eacute;lais et moyens mat&eacute;riels, humains et financiers)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des contextes r&eacute;glementaires et environnementaux</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'assurant de la fiabilit&eacute; des propositions techniques &eacute;labor&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;duisant la consommation des ressources et la consommation &eacute;nerg&eacute;tique</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Participation au montage d'un projet</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">R&eacute;alisation d'&eacute;tudes techniques en r&eacute;ponse &agrave; un cahier des charges</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Management d'activit&eacute;s au sein d'un projet</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT GCGP CPIT 2022-C1,PN LP-BUT GCGP CPIT 2022-C1-L1,⭐ Conduire un équipement de production dans une posture d'opérateur,,,,,,,,,,,
PN LP-BUT GCGP CPIT 2022-C1,PN LP-BUT GCGP CPIT 2022-C1-L2,⭐⭐ Assurer le bon fonctionnement d'une installation dans une posture de technicien,,,,,,,,,,,
PN LP-BUT GCGP CPIT 2022-C1,PN LP-BUT GCGP CPIT 2022-C1-L3,⭐⭐⭐ Gérer une unité de production dans une posture de chef d'équipe,,,,,,,,,,,
PN LP-BUT GCGP CPIT 2022-C2,PN LP-BUT GCGP CPIT 2022-C2-L1,⭐ Choisir des appareils et dimensionner des réseaux d'utilité,,,,,,,,,,,
