Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GEA CG2P 2022,BUT GEA - Parcours Contrôle de gestion et pilotage de la performance,"<div class=""container text-center p-3"" style=""background: #f0702f;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/gestion-des-entreprises-et-des-administrations/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/e6/21615-gea-650-650-e67390ce.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Gestion-des-Entreprises-et-des-Administrations"" data-line=""149""><span style=""color: #ffffff;"">BUT Gestion des Entreprises et des Administrations</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Contr&ocirc;le de gestion et pilotage de la performance</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours Contr&ocirc;le de Gestion et pilotage de la performance permet &agrave; son titulaire d&rsquo;exercer dans les services de contr&ocirc;le&nbsp;de gestion ou dans les services comptables et financiers des entreprises, associations, administrations, ou en cabinet d&rsquo;expertise&nbsp;comptable.<br>L&rsquo;&eacute;tudiant est en mesure de concevoir des outils d&rsquo;aide &agrave; la d&eacute;cision dans le domaine &eacute;conomique et financier (d&eacute;finition d&rsquo;objectifs, indicateurs d&rsquo;activit&eacute;, mesure de la performance...) et de mettre en oeuvre des leviers d&rsquo;am&eacute;lioration des performances de l&rsquo;organisation y compris la qualit&eacute;. Dans le cadre d&rsquo;une organisation marchande ou non marchande, priv&eacute;e ou publique, </span><span style=""color: #ffffff;"">l&rsquo;&eacute;tudiant se forme &agrave; la conception des outils de contr&ocirc;le de gestion gr&acirc;ce &agrave; la r&eacute;alisation d&rsquo;&eacute;tudes de co&ucirc;ts et de diagnostics d&rsquo;une activit&eacute;, &agrave; la participation &agrave; la d&eacute;finition des objectifs op&eacute;rationnels et &agrave; leur traduction en termes de budget, &agrave; la contribution et &agrave; l&rsquo;&eacute;laboration de plans pr&eacute;visionnels d&rsquo;activit&eacute; &agrave; court et moyen termes mais aussi au contr&ocirc;le des investissements et du retour sur investissement.<br>L&rsquo;&eacute;tudiant se forme &eacute;galement &agrave; mettre en oeuvre des leviers d&rsquo;am&eacute;lioration continue des performances de l&rsquo;organisation gr&acirc;ce&nbsp;&agrave; la mise en oeuvre des indicateurs financiers et non financiers n&eacute;cessaires &agrave; la mesure de la performance et du pilotage de&nbsp;l&rsquo;activit&eacute;, &agrave; la production de tableaux de bord et de synth&egrave;ses chiffr&eacute;es, comment&eacute;es, &agrave; la remont&eacute;e des informations (reporting)&nbsp;et adaptation du syst&egrave;me d&rsquo;information d&eacute;cisionnel aux besoins applicatifs et r&eacute;glementaires de l&rsquo;organisation mais aussi &agrave;&nbsp;l&rsquo;accompagnement des utilisateurs aux programmes d&rsquo;am&eacute;lioration continue par la formation et la conduite du changement. Il&nbsp;maitrise les usages num&eacute;riques, sait exploiter les donn&eacute;es pour les analyser et sait synth&eacute;tiser efficacement leurs pr&eacute;sentations&nbsp;&agrave; travers une communication &eacute;crite et orale en fran&ccedil;ais comme en anglais et est en mesure d&rsquo;&eacute;voluer dans un environnement&nbsp;international.<br>Les m&eacute;tiers auxquels conduit ce parcours sont vari&eacute;s : Assistant contr&ocirc;leur de gestion, Consultant en gestion / audit / pilotage&nbsp;de la performance, Assistant maitrise d&rsquo;ouvrage des syst&egrave;mes d&rsquo;information, applications de gestion, project manager officer&nbsp;(PMO), Charg&eacute; de mission organisation, qualit&eacute;, d&eacute;veloppement durable et RSE, Gestionnaire polyvalent dans les PME<br>Avec l&rsquo;acquisition d&rsquo;exp&eacute;rience, il &eacute;volue vers des fonctions d&rsquo;encadrement.<br>Les r&eacute;f&eacute;rences correspondantes de m&eacute;tiers sont les suivantes : M1202 - Audit et contr&ocirc;le comptables et financiers ; M1402 -&nbsp;Conseil en organisation et management d&rdquo;entreprise ; M1204 - Contr&ocirc;le de gestion ; M1806 - Conseil et ma&icirc;trise d&rdquo;ouvrage en&nbsp;syst&egrave;mes d&rdquo;information<br>Ce parcours permet l&rsquo;obtention de dispenses &agrave; certaines &eacute;preuves du DCG (Dipl&ocirc;me de Comptabilit&eacute; et de Gestion).</span></p>
<p data-line=""151""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe12 (PDF-1.82 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/14/0/spe617_annexe12_1426140.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; gestion des entreprises et des administrations : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GEA CG2P 2022-C1,🔴 Analyser,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser les processus de l'organisation dans son&nbsp;environnement</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en d&eacute;terminant correctement ses enjeux sociaux &eacute;conomiques et juridiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en identifiant rigoureusement les diff&eacute;rentes dimensions de l&rsquo;identit&eacute; et des caract&eacute;ristiques internes et externes des organisations selon&nbsp;des crit&egrave;res pertinents</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en pr&eacute;sentant de mani&egrave;re d&eacute;taill&eacute;e les attentes de chacun des acteurs et partenaires de l&rsquo;organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEA CG2P 2022-C2,🟠 Décider,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Aider &agrave; la prise de d&eacute;cision</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant efficacement un syst&egrave;me d&rsquo;information de gestion adapt&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant des outils notamment num&eacute;riques pertinents</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en interpr&eacute;tant pertinemment les donn&eacute;es qualitatives et quantitatives</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant rigoureusement les contraintes et les proc&eacute;dures de l&rsquo;organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEA CG2P 2022-C3,🟡 Piloter,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Piloter les relations avec les parties prenantes de&nbsp;l'organisation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en oeuvre une d&eacute;marche favorisant la coh&eacute;sion de groupe</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en participant efficacement &agrave; des travaux collectifs ou des projets collaboratifs</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mobilisant des outils et techniques de communication adapt&eacute;s aux enjeux de l&rsquo;organisation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en contribuant efficacement &agrave; la gestion individuelle et collective des parties prenantes de l&rsquo;organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEA CG2P 2022-C4,🟢 Concevoir,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concevoir des outils de contr&ocirc;le de gestion</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant une m&eacute;thode de calcul des co&ucirc;ts pertinente</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en solutionnant des probl&egrave;mes de gestion en avenir certain et al&eacute;atoire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en ma&icirc;trisant la d&eacute;marche budg&eacute;taire avec ses enjeux et ses limites</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en proposant des am&eacute;liorations en fonction d'&eacute;carts budg&eacute;taires constat&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;laborant des outils de gestion adapt&eacute;s autour de l'entreprise &eacute;tendue et de son environnement</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEA CG2P 2022-C5,🔵 Améliorer,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Mettre en oeuvre des leviers d&rsquo;am&eacute;lioration<br>continue des performances de l&rsquo;organisation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant efficacement le processus de contr&ocirc;le de gestion dans la conduite du changement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en optimisant les flux gr&acirc;ce au Syst&egrave;me d'information</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en concevant des tableaux de bord adapt&eacute;s &agrave; la prise de d&eacute;cision</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en optimisant la performance (Reporting et Indicateurs Cl&eacute;s de Performance)</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&nbsp;</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT GEA CG2P 2022-C1,PN LP-BUT GEA CG2P 2022-C1-L1,⭐ Identifier les processus de l'organisation,,,,,,,,,,,
PN LP-BUT GEA CG2P 2022-C1,PN LP-BUT GEA CG2P 2022-C1-L2,⭐⭐ Évaluer les processus de l'organisation,,,,,,,,,,,
PN LP-BUT GEA CG2P 2022-C1,PN LP-BUT GEA CG2P 2022-C1-L3,⭐⭐⭐ Conseiller pour l'amélioration des processus de l'organisation,,,,,,,,,,,
PN LP-BUT GEA CG2P 2022-C2,PN LP-BUT GEA CG2P 2022-C2-L1,⭐ Identifier les éléments d'aide à la prise de décision,,,,,,,,,,,
