Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GEA GC2F 2022,"BUT GEA - Parcours Gestion comptable, fiscale et financière","<div class=""container text-center p-3"" style=""background: #f0702f;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/gestion-des-entreprises-et-des-administrations/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/e6/21615-gea-650-650-e67390ce.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Gestion-des-Entreprises-et-des-Administrations"" data-line=""149""><span style=""color: #ffffff;"">BUT Gestion des Entreprises et des Administrations</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Gestion comptable, fiscale et financi&egrave;re</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours Gestion Comptable, Fiscale et Financi&egrave;re (GC2F) propose une formation de gestion sp&eacute;cifique dans les diff&eacute;rents champs de la Comptabilit&eacute; et de la Finance, au sein d&rsquo;organisations priv&eacute;es et publiques, et de la Fiscalit&eacute; des Personnes&nbsp;Physiques et Morales. L&rsquo;&eacute;tudiant se forme &agrave; assister le dirigeant d&rsquo;une entreprise dans sa gestion comptable et fiscale ou &agrave;&nbsp;travailler dans des services financiers ou contr&ocirc;le de gestion dans des PME, grandes entreprises publiques ou priv&eacute;es, administrations&nbsp;publiques, ou au sein de cabinets d&rsquo;expertise comptable. Il est &agrave; m&ecirc;me d&rsquo;exercer des fonctions de production&nbsp;d&rsquo;informations comptables, fiscales et sociales ainsi que l&rsquo;&eacute;valuation de l&rsquo;activit&eacute; d&rsquo;une organisation avec deux niveaux de comp&eacute;tences&nbsp;: contr&ocirc;le d&rsquo;une part et d&rsquo;optimisation d&rsquo;autre part. Il est capable de rassembler et traiter les informations comptables,&nbsp;fiscales et financi&egrave;res importantes &agrave; la prise de d&eacute;cision tactique et strat&eacute;gique de l&rsquo;Organisation. Il assiste le dirigeant en&nbsp;proposant des recommandations sur les risques financiers, les budgets ou le syst&egrave;me d&rsquo;information de l&rsquo;Organisation. Au sein&nbsp;d&rsquo;un cabinet d&rsquo;expertise comptable, il participe et contribue activement aux missions li&eacute;es aux comptes annuels et aux missions&nbsp;de conseil et d&rsquo;accompagnement d&eacute;velopp&eacute;es aupr&egrave;s des entreprises clientes. Il maitrise les usages num&eacute;riques, sait exploiter&nbsp;les donn&eacute;es pour les analyser et sait synth&eacute;tiser efficacement leurs pr&eacute;sentations &agrave; travers une communication &eacute;crite et orale&nbsp;en fran&ccedil;ais comme en anglais et est en mesure d&rsquo;&eacute;voluer dans un environnement international.</span></p>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Les m&eacute;tiers auxquels conduit ce parcours sont vari&eacute;s : Assistant comptable / Comptable, Chef de mission, Collaborateur&nbsp;comptable, Auditeur, Assistant / Responsable administratif et financier, Fiscaliste, Analyste financier, Contr&ocirc;leur / Inspecteur&nbsp;dans la fonction publique, Charg&eacute; d&rsquo;affaires, Gestionnaire de back-office. L&rsquo;exp&eacute;rience acquise conduira le dipl&ocirc;m&eacute; &agrave; des&nbsp;fonctions d&rsquo;encadrement interm&eacute;diaire.<br>Les r&eacute;f&eacute;rences correspondantes de m&eacute;tiers sont les suivantes : M1203-Comptabilit&eacute; ; M1202-Audit et contr&ocirc;le comptables<br>et financiers ; M1201-Analyse et ing&eacute;nierie financi&egrave;re ; M1205-Direction administrative et financi&egrave;re ; M1206-Management de&nbsp;groupe ou de service comptable ; M1207-Tr&eacute;sorerie et financement.<br>Ce parcours permet l&rsquo;obtention de dispenses &agrave; certaines &eacute;preuves du DCG (Dipl&ocirc;me de Comptabilit&eacute; et de Gestion).</span></p>
<p data-line=""151""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe12 (PDF-1.82 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/14/0/spe617_annexe12_1426140.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; gestion des entreprises et des administrations : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GEA GC2F 2022-C1,🔴 Analyser,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser les processus de l'organisation dans son&nbsp;environnement</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en d&eacute;terminant correctement ses enjeux sociaux &eacute;conomiques et juridiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en identifiant rigoureusement les diff&eacute;rentes dimensions de l&rsquo;identit&eacute; et des caract&eacute;ristiques internes et externes des organisations selon&nbsp;des crit&egrave;res pertinents</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en pr&eacute;sentant de mani&egrave;re d&eacute;taill&eacute;e les attentes de chacun des acteurs et partenaires de l&rsquo;organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEA GC2F 2022-C2,🟠 Décider,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Aider &agrave; la prise de d&eacute;cision</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant efficacement un syst&egrave;me d&rsquo;information de gestion adapt&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant des outils notamment num&eacute;riques pertinents</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en interpr&eacute;tant pertinemment les donn&eacute;es qualitatives et quantitatives</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant rigoureusement les contraintes et les proc&eacute;dures de l&rsquo;organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEA GC2F 2022-C3,🟡 Piloter,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Piloter les relations avec les parties prenantes de&nbsp;l'organisation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en oeuvre une d&eacute;marche favorisant la coh&eacute;sion de groupe</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en participant efficacement &agrave; des travaux collectifs ou des projets collaboratifs</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mobilisant des outils et techniques de communication adapt&eacute;s aux enjeux de l&rsquo;organisation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en contribuant efficacement &agrave; la gestion individuelle et collective des parties prenantes de l&rsquo;organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEA GC2F 2022-C4,🟢 Produire,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Produire l&rsquo;information comptable, fiscale et sociale&nbsp;de l'organisation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en rep&eacute;rant pr&eacute;cis&eacute;ment le fonctionnement juridique et comptable des diff&eacute;rents types d'organisation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les r&egrave;gles comptables et de r&eacute;vision comptable applicables</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les r&egrave;gles de droit fiscal et de droit social applicables</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s'adaptant efficacement &agrave; l&rsquo;environnement num&eacute;rique et &agrave; la digitalisation des activit&eacute;s comptables, sociales et fiscales</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEA GC2F 2022-C5,🔵 Évaluer,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>&Eacute;valuer l'activit&eacute; de l'organisation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en identifiant rigoureusement l'activit&eacute; et la structure financi&egrave;re en fonction des diff&eacute;rents types d'organisation en proposant des solutions&nbsp;d'am&eacute;lioration &agrave; partir de l'identification des &eacute;ventuels probl&egrave;mes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en proposant des solutions d'am&eacute;lioration &agrave; partir de l'identification des &eacute;ventuels probl&egrave;mes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en d&eacute;veloppant la politique financi&egrave;re d&rsquo;une organisation de fa&ccedil;on pertinente et adapt&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mobilisant des outils pertinents de contr&ocirc;le de gestion propres &agrave; l'organisation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en d&eacute;veloppant un syst&egrave;me d&rsquo;information num&eacute;rique d&rsquo;analyse et de pr&eacute;vision de l&rsquo;activit&eacute; adapt&eacute; au type d'organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT GEA GC2F 2022-C1,PN LP-BUT GEA GC2F 2022-C1-L1,⭐ Identifier les processus de l'organisation,,,,,,,,,,,
PN LP-BUT GEA GC2F 2022-C1,PN LP-BUT GEA GC2F 2022-C1-L2,⭐⭐ Évaluer les processus de l'organisation,,,,,,,,,,,
PN LP-BUT GEA GC2F 2022-C1,PN LP-BUT GEA GC2F 2022-C1-L3,⭐⭐⭐ Conseiller pour l'amélioration des processus de l'organisation,,,,,,,,,,,
PN LP-BUT GEA GC2F 2022-C2,PN LP-BUT GEA GC2F 2022-C2-L1,⭐ Identifier les éléments d'aide à la prise de décision,,,,,,,,,,,
