Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GEA GEMA 2022,BUT GEA - Parcours Gestion entrepreneuriat et management d’activités,"<div class=""container text-center p-3"" style=""background: #f0702f;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/gestion-des-entreprises-et-des-administrations/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/e6/21615-gea-650-650-e67390ce.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Gestion-des-Entreprises-et-des-Administrations"" data-line=""149""><span style=""color: #ffffff;"">BUT Gestion des Entreprises et des Administrations</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Gestion entrepreneuriat et management d&rsquo;activit&eacute;s</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours Gestion, Entrepreneuriat et Management d&rsquo;activit&eacute;s (GEMA) propose une formation de gestion polyvalente&nbsp;dans les diff&eacute;rents champs du management des organisations et de l&rsquo;entrepreneuriat. L&rsquo;apprenant se forme &agrave; la cr&eacute;ation ou &agrave;&nbsp;la reprise d&rsquo;activit&eacute;, ou &agrave; seconder le dirigeant d&rsquo;une TPE ou PME. Dans les grandes organisations, il est davantage destin&eacute;&nbsp;&agrave; exercer des activit&eacute;s de gestion plus sp&eacute;cialis&eacute;es dans les domaines du management, marketing et commerce, achats et&nbsp;logistiques.... Dans les collectivit&eacute;s publiques, il est &agrave; m&ecirc;me d&rsquo;exercer des activit&eacute;s au sein des services financiers ou au sein </span><span style=""color: #ffffff;"">de l&rsquo;administration g&eacute;n&eacute;rale. Il peut analyser le contexte dans lequel &eacute;volue ou &eacute;voluera l&rsquo;organisation, rassembler et traiter les informations n&eacute;cessaires &agrave; la prise de d&eacute;cision et enfin piloter les diff&eacute;rents acteurs internes et externes &agrave; l&rsquo;organisation. En outre, il est capable de concevoir la strat&eacute;gie de cr&eacute;ation de valeur d&rsquo;une organisation et d&rsquo;assurer la gestion et le d&eacute;veloppement de la chaine de valeur. Il maitrise les usages num&eacute;riques, sait exploiter les donn&eacute;es pour les analyser et sait synth&eacute;tiser efficacement leurs pr&eacute;sentations &agrave; travers une communication &eacute;crite et orale en fran&ccedil;ais comme en anglais.<br>Les m&eacute;tiers auxquels conduit ce parcours sont vari&eacute;s : gestionnaire polyvalent dans les PME, Responsable de micro-entreprise,&nbsp;de PME, d&rsquo;agence commerciale ou de centre de profit, assistant (e) marketing, assistant(e) chef de produits, charg&eacute;(e) de projets, responsable d&eacute;veloppement, charg&eacute;(e) de client&egrave;le dans les secteurs de la banque et de l&rsquo;assurance, gestionnaire&nbsp;Middle et back-office. L&rsquo;exp&eacute;rience acquise conduira le dipl&ocirc;m&eacute; &agrave; des fonctions d&rsquo;encadrement.<br>Les r&eacute;f&eacute;rences correspondantes de m&eacute;tiers sont les suivantes : M1703 &ndash; management et gestion de produits ; M1704 &ndash; Management&nbsp;relation client&egrave;le &ndash; M1705 &ndash; Marketing ; C1206 &ndash; gestion de client&egrave;le bancaire ; M1302 &ndash; Direction de petite ou moyenne&nbsp;entreprise<br>Ce parcours permet l&rsquo;obtention de dispenses &agrave; certaines &eacute;preuves du DCG (Dipl&ocirc;me de Comptabilit&eacute; et de Gestion).</span></p>
<p data-line=""151""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe12 (PDF-1.82 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/14/0/spe617_annexe12_1426140.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; gestion des entreprises et des administrations : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GEA GEMA 2022-C1,🔴 Analyser,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser les processus de l'organisation dans son&nbsp;environnement</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en d&eacute;terminant correctement ses enjeux sociaux &eacute;conomiques et juridiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en identifiant rigoureusement les diff&eacute;rentes dimensions de l&rsquo;identit&eacute; et des caract&eacute;ristiques internes et externes des organisations selon&nbsp;des crit&egrave;res pertinents</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en pr&eacute;sentant de mani&egrave;re d&eacute;taill&eacute;e les attentes de chacun des acteurs et partenaires de l&rsquo;organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEA GEMA 2022-C2,🟠 Décider,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Aider &agrave; la prise de d&eacute;cision</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant efficacement un syst&egrave;me d&rsquo;information de gestion adapt&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant des outils notamment num&eacute;riques pertinents</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en interpr&eacute;tant pertinemment les donn&eacute;es qualitatives et quantitatives</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant rigoureusement les contraintes et les proc&eacute;dures de l&rsquo;organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEA GEMA 2022-C3,🟡 Piloter,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Piloter les relations avec les parties prenantes de&nbsp;l'organisation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en oeuvre une d&eacute;marche favorisant la coh&eacute;sion de groupe</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en participant efficacement &agrave; des travaux collectifs ou des projets collaboratifs</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mobilisant des outils et techniques de communication adapt&eacute;s aux enjeux de l&rsquo;organisation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en contribuant efficacement &agrave; la gestion individuelle et collective des parties prenantes de l&rsquo;organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEA GEMA 2022-C4,🟢 Entreprendre,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concevoir la strat&eacute;gie de cr&eacute;ation de valeur</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;tudiant les march&eacute;s actuels et futurs dans un environnement sectoriel sp&eacute;cifique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;laborant un business model adapt&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en r&eacute;alisant un business plan r&eacute;aliste dans sa dimension financi&egrave;re</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant une structure juridique pertinente</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEA GEMA 2022-C5,🔵 Développer,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Assurer la gestion et le d&eacute;veloppement de la<br>cha&icirc;ne de valeur</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en g&eacute;rant avec les outils adapt&eacute;s les activit&eacute;s de production</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en g&eacute;rant les activit&eacute;s de d&eacute;veloppement marketing en mobilisant les techniques pertinentes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en g&eacute;rant op&eacute;rationnellement les ressources humaines</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en g&eacute;rant la supply-chain avec les techniques ad&eacute;quates</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en ma&icirc;trisant le risque financier &agrave; l'aide des outils adapt&eacute;s</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations de tailles et d'espaces g&eacute;ographiques diff&eacute;rents</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations marchandes ou non marchandes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT GEA GEMA 2022-C1,PN LP-BUT GEA GEMA 2022-C1-L1,⭐ Identifier les processus de l'organisation,,,,,,,,,,,
PN LP-BUT GEA GEMA 2022-C1,PN LP-BUT GEA GEMA 2022-C1-L2,⭐⭐ Évaluer les processus de l'organisation,,,,,,,,,,,
PN LP-BUT GEA GEMA 2022-C1,PN LP-BUT GEA GEMA 2022-C1-L3,⭐⭐⭐ Conseiller pour l'amélioration des processus de l'organisation,,,,,,,,,,,
PN LP-BUT GEA GEMA 2022-C2,PN LP-BUT GEA GEMA 2022-C2-L1,⭐ Identifier les éléments d'aide à la prise de décision,,,,,,,,,,,
