Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GB AGRO 2022,BUT Génie Biologique - Parcours Agronomie,"<div class=""container text-center p-3"" style=""background: #00a7b8;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/genie-biologique/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/c9/21617-gb-650-650-c91a6e69.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-G%C3%A9nie-Biologique"" data-line=""39""><span style=""color: #ffffff;"">BUT G&eacute;nie Biologique</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Agronomie</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le bachelor universitaire de technologie G&eacute;nie Biologique (B.U.T. GB) parcours Agronomie forme des techniciens sup&eacute;rieurs et&nbsp;assistants ing&eacute;nieurs polyvalents et autonomes. Ils ont pour mission de g&eacute;rer la production des ressources agricoles (alimentaires&nbsp;et non-alimentaires) et d&rsquo;en am&eacute;liorer durablement les techniques et les m&eacute;thodes.<br>Les dipl&ocirc;m&eacute;s sont capables de s&rsquo;ins&eacute;rer et d&rsquo;&eacute;voluer dans tous les secteurs agricoles et para-agricoles (productions v&eacute;g&eacute;tales&nbsp;et animales, conseils techniques et &eacute;conomiques, transformations primaires, commercialisation...), dans les secteurs amont et&nbsp;aval de l&rsquo;agriculture (industrie agrochimique, s&eacute;lection, agro-fournitures, recherche et/ou d&eacute;veloppement ...) et dans l&rsquo;am&eacute;nagement&nbsp;du territoire, en int&eacute;grant le contexte environnemental.<br>Le parcours s&rsquo;organise en 5 comp&eacute;tences qui se d&eacute;veloppent sur 2 ou 3 ann&eacute;es, avec des niveaux de complexit&eacute; croissant au&nbsp;cours de la formation.<br>Deux comp&eacute;tences sont communes &agrave; tous les parcours du B.U.T. G&eacute;nie Biologique :<br>&ndash; R&eacute;aliser des analyses dans les domaines de la biologie<br>&ndash; Exp&eacute;rimenter dans le g&eacute;nie biologique<br>Trois comp&eacute;tences sont sp&eacute;cifiques du parcours Agronomie :<br>&ndash; Conduire les productions agricoles<br>&ndash; Conseiller le secteur agricole<br>&ndash; Innover en agronomie&nbsp;</span></p>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le B.U.T. G&eacute;nie Biologique parcours Agronomie conduit les dipl&ocirc;m&eacute;s &agrave; exercer leurs activit&eacute;s dans les domaines de l&rsquo;agronomie,&nbsp;de l&rsquo;agriculture et de l&rsquo;agri-environnement au sein de structures tr&egrave;s diverses telles que :<br>&ndash; Des organismes de recherche et de d&eacute;veloppement publics ou priv&eacute;s<br>&ndash; Des structures de conseil aux agriculteurs (instituts techniques, chambres d&rsquo;agriculture, coop&eacute;ratives agricoles, groupements<br>d&rsquo;agriculteurs, centres de gestion, banques ...)<br>&ndash; Des industries (agrochimie, semences, agro-ressources et transformation) ou des soci&eacute;t&eacute;s de prestation de service<br>&ndash; Des collectivit&eacute;s territoriales<br>Le B.U.T. G&eacute;nie Biologique parcours Agronomie permet d&rsquo;acc&eacute;der &agrave; de nombreux m&eacute;tiers des secteurs de l&rsquo;agronomie, de<br>l&rsquo;agriculture et de l&rsquo;agro-environnement tels que :<br>&ndash; Technicien d&rsquo;analyses et/ou de contr&ocirc;le capables de mettre en oeuvre des analyses chimiques, microbiologiques, physiques,<br>physico-chimiques sur des &eacute;chantillons de sol, d&rsquo;eau, de v&eacute;g&eacute;taux, d&rsquo;aliments<br>&ndash; Assistant ing&eacute;nieur ou technicien de recherche en biologie, g&eacute;n&eacute;tique, biotechnologies capables par exemple, de participer<br>&agrave; des projets d&rsquo;am&eacute;lioration ou de cr&eacute;ation vari&eacute;tale<br>&ndash; Assistant ing&eacute;nieur ou technicien en exp&eacute;rimentation, en s&eacute;lection, en recherche et d&eacute;veloppement capables de suivre<br>ou de mettre en oeuvre des exp&eacute;rimentations destin&eacute;es par exemple &agrave; la protection des cultures<br>&ndash; Responsable d&rsquo;ateliers de production ou chef d&rsquo;exploitation agricole<br>&ndash; Conseiller, animateur, formateur, certificateur r&eacute;seaux et fili&egrave;res agricoles capables d&rsquo;assurer par exemple des missions<br>d&rsquo;audit, de conseil, de suivi dans le respect des proc&eacute;dures qualit&eacute; environnementale...<br>&ndash; Conseiller technico-&eacute;conomique en agriculture, technico-commercial en agro-fournitures<br>&ndash; Charg&eacute; d&rsquo;&eacute;tudes en am&eacute;nagement rural et d&eacute;veloppement durable<br>Le programme du B.U.T. G&eacute;nie Biologique parcours Agronomie est con&ccedil;u pour permettre une insertion professionnelle &agrave; BAC+3, mais le dipl&ocirc;me permet &eacute;galement d&rsquo;envisager des poursuites d&rsquo;&eacute;tudes vari&eacute;es.<br>Codes ROME :<br>A1301 - Conseil et assistance technique en agriculture<br>H1210 - Intervention technique en &eacute;tudes, recherche et d&eacute;veloppement<br>A1416 - Polyculture, &eacute;levage<br>A1302 - Contr&ocirc;le et diagnostic technique en agriculture<br>D1407 - Relation technico-commerciale</span></p>
<p data-line=""41""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe5(PDF-2.70 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/12/4/spe617_annexe5_1426124.pdf"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; g&eacute;nie biologique : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GB AGRO 2022-C1,🔴 Analyser,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>R&eacute;aliser des analyses dans les domaines de la<br>biologie</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les bonnes pratiques de laboratoire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la r&eacute;glementation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant la tra&ccedil;abilit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une d&eacute;marche de validation de r&eacute;sultats</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les proc&eacute;dures op&eacute;ratoires dans un contexte de d&eacute;marche qualit&eacute; et de d&eacute;veloppement durable</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoires ou structures d'analyses biologiques</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,PN LP-BUT GB AGRO 2022-C2,🟠 Experimenter,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Exp&eacute;rimenter dans le G&eacute;nie Biologique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte l'&eacute;volution des techniques et des r&eacute;glementations</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les enjeux soci&eacute;taux</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En communiquant de mani&egrave;re appropri&eacute;e au domaine de l'exp&eacute;rimentation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En structure de recherche fondamentale ou appliqu&eacute;e ou clinique ou industrielle (structures de soins, sant&eacute;, alimentaire, environnement, agronomie ...)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,PN LP-BUT GB AGRO 2022-C3,🟡 Produire,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Conduire les productions agricoles</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En pr&eacute;servant la durabilit&eacute; environnementale des syt&egrave;mes agricoles</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la l&eacute;gislation et les r&egrave;gles de s&eacute;curit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant la qualit&eacute; des produits /productions</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En exploitation agricole ou en unit&eacute;/atelier de production (animale ou v&eacute;g&eacute;tale)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,PN LP-BUT GB AGRO 2022-C4,🟢 Conseiller,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Conseiller le secteur agricole</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En am&eacute;liorant la durabilit&eacute; des syst&egrave;mes &agrave; l'&eacute;chelle des territoires et/ou des fili&egrave;res</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la l&eacute;gislation, l'environnement et les attentes soci&eacute;tales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'adaptant aux ressources et potentiels ""locaux""</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant les outils pertinents grace &agrave; une veille technologique et r&eacute;glementaire</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En instituts techniques ou interprofessions</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou groupements de producteurs ou coop&eacute;ratives</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou collectivit&eacute;s territoriales</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou entreprises priv&eacute;es ou n&eacute;gociants</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
,PN LP-BUT GB AGRO 2022-C5,🔵 Innover,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Innover en agronomie</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En recherchant la durabilit&eacute; des syst&egrave;mes agricoles</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;pondant aux enjeux soci&eacute;taux</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant une veille scientifique pertinente permettant la mise en place d'une d&eacute;marche scientifique coh&eacute;rente</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En instituts techniques ou organismes/structures de recherche ou de R&amp;D priv&eacute;s ou publics</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou interprofessions ou groupements de producteurs ou exploitations ou coop&eacute;ratives</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou industries ou entreprises priv&eacute;es ou n&eacute;gociants</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,"
"
PN LP-BUT GB AGRO 2022-C1,PN LP-BUT GB AGRO 2022-C1-L1,⭐ Réaliser des analyses,,,,,,,,,,,"
"
PN LP-BUT GB AGRO 2022-C1,PN LP-BUT GB AGRO 2022-C1-L2,⭐⭐ Réaliser des analyses avancées,,,,,,,,,,,"
"
PN LP-BUT GB AGRO 2022-C2,PN LP-BUT GB AGRO 2022-C2-L1,⭐ Observer la variation d'un phénomène biologique,,,,,,,,,,,"
"
PN LP-BUT GB AGRO 2022-C2,PN LP-BUT GB AGRO 2022-C2-L2,⭐⭐ Expérimenter pour comprendre une problématique scientifique,,,,,,,,,,,"
"
