Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GB BMB 2022,BUT Génie Biologique - Parcours Biologie médicale et biotechnologie,"<div class=""container text-center p-3"" style=""background: #00a7b8;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/genie-biologique/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/c9/21617-gb-650-650-c91a6e69.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-G%C3%A9nie-Biologique"" data-line=""39""><span style=""color: #ffffff;"">BUT G&eacute;nie Biologique</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Biologie m&eacute;dicale et biotechnologie</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le bachelor universitaire de technologie G&eacute;nie Biologique (B.U.T. GB) parcours Biologie M&eacute;dicale et Biotechnologie (BMB)<br>forme en 6 semestres des techniciens sup&eacute;rieurs, futurs cadres interm&eacute;diaires ou assistants ing&eacute;nieurs polyvalents dans le<br>domaine de la sant&eacute; humaine et animale, ainsi que dans celui des biotechnologies.<br>La formation B.U.T. parcours BMB permet d&rsquo;acqu&eacute;rir des comp&eacute;tences op&eacute;rationnelles en autonomie gr&acirc;ce &agrave; des mises en<br>situations professionnelles, des stages en BUT2 et 3, voire de l&rsquo; alternance, des ressources p&eacute;dagogiques et la construction<br>d&rsquo;un portfolio tout au long de la formation.<br>Le parcours s&rsquo;organise en 5 comp&eacute;tences qui se d&eacute;veloppent sur 2 ou 3 ann&eacute;es, avec des niveaux de complexit&eacute; croissant au<br>cours de la formation.<br>Deux comp&eacute;tences sont communes &agrave; tous les parcours du B.U.T. G&eacute;nie Biologique :<br>&ndash; R&eacute;aliser des analyses dans les domaines de la biologie<br>&ndash; Exp&eacute;rimenter dans le g&eacute;nie biologique<br>Trois comp&eacute;tences sont sp&eacute;cifiques du parcours BMB :<br>&ndash; Mener des &eacute;tudes &agrave; l&rsquo;&eacute;chelle de l&rsquo;organisme et de la cellule en biologie de la sant&eacute;<br>&ndash; R&eacute;aliser des examens de biologie m&eacute;dicale<br>&ndash; Mettre en oeuvre des techniques d&rsquo;ing&eacute;nierie mol&eacute;culaire en biologie de la sant&eacute;<br>A l&rsquo;issue de leur formation, les &eacute;tudiants du parcours BMB pourront &ecirc;tre recrut&eacute;s dans les laboratoires de recherche publique<br>(universit&eacute;s, Inserm, INRA&Eacute;, CNRS...), les laboratoires de biologie m&eacute;dicale priv&eacute;s et hospitaliers, l&rsquo;&eacute;tablissement fran&ccedil;ais<br>du sang, les laboratoires d&rsquo;anatomie et de cytologie pathologiques, d&rsquo;assistance m&eacute;dicale &agrave; la procr&eacute;ation, les laboratoires<br>des secteurs de la Recherche et D&eacute;veloppement, des entreprises de biotechnologie ou encore les services d&rsquo;analyses et de<br>contr&ocirc;le.<br>Le m&eacute;tier de Technicien de Laboratoire M&eacute;dical (TLM) est une profession de sant&eacute; r&eacute;glement&eacute;e (Art. L.4352-2 du code de la<br>sant&eacute; publique).<br>Le titulaire du B.U.T. G&eacute;nie Biologique, parcours BMB est dot&eacute; d&rsquo;importantes comp&eacute;tences technologiques lui permettant<br>d&rsquo;assurer de nombreuses missions parmi lesquelles :<br>&ndash; La participation &agrave; des programmes de recherche et d&eacute;veloppement dans le domaine de la biologie<br>&ndash; La r&eacute;alisation et la mise au point de techniques d&rsquo;analyses en biologie m&eacute;dicale<br>&ndash; La mise en oeuvre des analyses de contr&ocirc;le de produits du domaine biologique<br>&ndash; La recherche et le d&eacute;veloppement d&rsquo;un produit ou d&rsquo;une mol&eacute;cule dans les secteurs de la sant&eacute; humaine, animale et des<br>biotechnologies (production de biom&eacute;dicaments, de vaccins, d&rsquo;antibiotiques, d&rsquo;anticorps ou autres mol&eacute;cules d&rsquo;int&eacute;r&ecirc;t...)<br>&ndash; Le d&eacute;veloppement et la mise en oeuvre de nouveaux tests de diagnostic ou de nouvelles technologies en biologie<br>cellulaire, biologie mol&eacute;culaire, g&eacute;nomique fonctionnelle, g&eacute;nie g&eacute;n&eacute;tique, g&eacute;nie prot&eacute;ique et prot&eacute;omique, microscopie,<br>imagerie<br>&ndash; La participation &agrave; des activit&eacute;s mettant en oeuvre de l&rsquo;exp&eacute;rimentation sur animaux de laboratoire<br>Le programme du B.U.T. G&eacute;nie Biologique parcours Biologie m&eacute;dicale et biotechnologie est con&ccedil;u pour permettre une insertion<br>professionnelle &agrave; BAC +3, mais le dipl&ocirc;me permet &eacute;galement d&rsquo;envisager des poursuites d&rsquo;&eacute;tudes vari&eacute;es.<br><br><strong>Code ROME</strong><br>&ndash; J1302 - Analyses m&eacute;dicales<br>&ndash; H1210 - Intervention technique en &eacute;tudes, recherche et d&eacute;veloppement<br>&ndash; H1206 - Management et ing&eacute;nierie &eacute;tudes, recherche et d&eacute;veloppement industriel<br>&ndash; H2502 - Management et ing&eacute;nierie de production<br>&ndash; H1503 - Intervention technique en laboratoire d&rsquo;analyse industrielle<br><br><strong>Certificats associ&eacute;s au B.U.T G&eacute;nie biologique parcours Biologie M&eacute;dicale et Biotechnologie :</strong><br>&ndash; Certificat de capacit&eacute; pour effectuer les pr&eacute;l&egrave;vements sanguins (d&eacute;cret n 80-987).<br>&ndash; Attestation de formation aux gestes et soins d&rsquo;urgence (AFGSU).<br>&ndash; Certificat d&rsquo;exp&eacute;rimentation animale (niveau praticien, anciennement niveau II) sont des certificats appr&eacute;ci&eacute;s dans le&nbsp;milieu professionnel et n&eacute;cessaires &agrave; l&rsquo;exercice de certains m&eacute;tiers.<br>&ndash; Certification en Hygi&egrave;ne alimentaire dans les &eacute;tablissements de restauration commerciale.<br><br>Les &eacute;tudiants pourront &ecirc;tre accompagn&eacute;s, au cours de leur formation, dans la pr&eacute;paration de tout ou partie de ces certificats.<br>Mention sp&eacute;cifique pour les TP &agrave; risque du parcours Biologie M&eacute;dicale et Biotechnologie de la sp&eacute;cialit&eacute; G&eacute;nie Biologique&nbsp;:<br>Certains TP peuvent imposer des effectifs plus restreints de 7 &agrave; 9 &eacute;tudiants au maximum par enseignant pour des raisons de&nbsp;s&eacute;curit&eacute; (utilisation de salles sp&eacute;cifiques, risques infectieux, exp&eacute;rimentation animale, travail en atmosph&egrave;re confin&eacute;e en culture<br>cellulaire, d&eacute;placements et exp&eacute;riences sur site).<br>Afin de permettre aux titulaires du B.U.T. G&eacute;nie biologique parcours Biologie M&eacute;dicale et Biotechnologie d&rsquo;acqu&eacute;rir les comp&eacute;tences&nbsp;professionnelles n&eacute;cessaires &agrave; l&rsquo;exercice du m&eacute;tier r&eacute;glement&eacute; de Technicien de Laboratoire M&eacute;dical (Article L4352-2&nbsp;du Code de la sant&eacute; publique), la dur&eacute;e totale des stages de ce parcours pourra &ecirc;tre amen&eacute;e &agrave; 32 semaines (en d&eacute;rogation&nbsp;de l&rsquo;article 17 de l&rsquo;arr&ecirc;t&eacute; du 6 d&eacute;cembre 2019).<br></span></p>
<p data-line=""41""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe5(PDF-2.70 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/12/4/spe617_annexe5_1426124.pdf"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; g&eacute;nie biologique : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GB BMB 2022-C1,🔴 Analyser,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>R&eacute;aliser des analyses dans les domaines de la<br>biologie</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les bonnes pratiques de laboratoire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la r&eacute;glementation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant la tra&ccedil;abilit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une d&eacute;marche de validation de r&eacute;sultats</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les proc&eacute;dures op&eacute;ratoires dans un contexte de d&eacute;marche qualit&eacute; et de d&eacute;veloppement durable</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoires ou structures d'analyses biologiques</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB BMB 2022-C2,🟠 Experimenter,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Exp&eacute;rimenter dans le G&eacute;nie Biologique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte l'&eacute;volution des techniques et des r&eacute;glementations</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les enjeux soci&eacute;taux</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En communiquant de mani&egrave;re appropri&eacute;e au domaine de l'exp&eacute;rimentation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En structure de recherche fondamentale ou appliqu&eacute;e ou clinique ou industrielle (structures de soins, sant&eacute;, alimentaire, environnement, agronomie ...)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB BMB 2022-C3,🟡 Mener,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Mener des &eacute;tudes &agrave; l'&eacute;chelle de l'organisme et de<br>la cellule en biologie de la sant&eacute;</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les consignes d'hygi&egrave;ne et de s&eacute;curit&eacute; en laboratoire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la r&eacute;glementation et les lois d'&eacute;thique sur l'utilisation du vivant</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En communiquant sur les travaux r&eacute;alis&eacute;s en utilisant un vocabulaire adapt&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant une veille bibliographique adapt&eacute;e</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoires de recherche et d&eacute;veloppement en biologie de la sant&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Industries pharmaceutiques</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoire d'anatomie et de cytologie pathologique</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou laboratoire de biologie de la reproduction (CECOS)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB BMB 2022-C4,🟢 Réaliser,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>R&eacute;aliser des examens de biologie m&eacute;dicale</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les consignes d'hygi&egrave;ne et de s&eacute;curit&eacute; en milieu m&eacute;dical</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les d&eacute;lais de r&eacute;ponse et d'obligation de r&eacute;sultats dans le contexte de suivi d'un patient</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les r&egrave;gles de la d&eacute;ontologie du milieu m&eacute;dical</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En suivant les 3 phases d'analyse d'un &eacute;chantillon biologique (pr&eacute;-analytique, analytique et post-analytique)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une d&eacute;marche qualit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant le traitement informatique des r&eacute;sultats</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoire de biologie m&eacute;dicale ou hospitalier</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoire de recherche et d&eacute;veloppement dans le domaine de la biologie m&eacute;dicale</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB BMB 2022-C5,🔵 Mettre en oeuvre,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Mettre en oeuvre des techniques d'ing&eacute;nierie&nbsp;mol&eacute;culaire en biologie de la sant&eacute;</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les r&egrave;gles d'hygi&egrave;ne et de s&eacute;curit&eacute; en laboratoire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant les outils de la bioinformatique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En communicant de mani&egrave;re appropri&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant une veille technologique adapt&eacute;e &agrave; l'approche d'ing&eacute;nierie mol&eacute;culaire en biologie de la sant&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoires de recherche et d&eacute;veloppement dans le domaine de la sant&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En industries de biotechnologie ou en bio-industries du m&eacute;dicament ou de la cosm&eacute;tologie</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
PN LP-BUT GB BMB 2022-C1,PN LP-BUT GB BMB 2022-C1-L1,⭐ Réaliser des analyses,,,,,,,,,,,""
PN LP-BUT GB BMB 2022-C1,PN LP-BUT GB BMB 2022-C1-L2,⭐⭐ Réaliser des analyses avancées,,,,,,,,,,,""
PN LP-BUT GB BMB 2022-C2,PN LP-BUT GB BMB 2022-C2-L1,⭐ Observer la variation d'un phénomène biologique,,,,,,,,,,,""
PN LP-BUT GB BMB 2022-C2,PN LP-BUT GB BMB 2022-C2-L2,⭐⭐ Expérimenter pour comprendre une problématique scientifique,,,,,,,,,,,""
