Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GB DN 2022,BUT Génie Biologique - Parcours Diététique et nutrition,"<div class=""container text-center p-3"" style=""background: #00a7b8;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/genie-biologique/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/c9/21617-gb-650-650-c91a6e69.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-G%C3%A9nie-Biologique"" data-line=""39""><span style=""color: #ffffff;"">BUT G&eacute;nie Biologique</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Di&eacute;t&eacute;tique et nutrition</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le bachelor universitaire de technologie G&eacute;nie Biologique (B.U.T. GB), parcours Di&eacute;t&eacute;tique et Nutrition forme des Di&eacute;t&eacute;ticien(ne)s Nutritionnistes et plus g&eacute;n&eacute;ralement des experts dans les champs de la nutrition et de l&rsquo;alimentation.<br>Le titulaire du B.U.T. G&eacute;nie Biologique, parcours Di&eacute;t&eacute;tique et Nutrition est un professionnel de la sant&eacute; (article L4371-1 du&nbsp;code de la sant&eacute; publique), &eacute;ducateur, r&eacute;&eacute;ducateur, acteur de pr&eacute;vention dans les champs de son expertise en nutrition et&nbsp;alimentation. Il collabore avec des professionnels de sant&eacute; et du secteur m&eacute;dico-social, des professionnels de la restauration,&nbsp;de l&rsquo;agro-alimentaire et de l&rsquo;industrie pharmaceutique.<br>La pratique du Di&eacute;t&eacute;ticien Nutritionniste s&rsquo;inscrit dans la d&eacute;marche de soins di&eacute;t&eacute;tiques, il participe &agrave; l&rsquo;adaptation de l&rsquo;alimentation&nbsp;pour garantir des apports nutritionnels ad&eacute;quats &agrave; des personnes quel que soit leur &acirc;ge, leur &eacute;tat physiologique et&nbsp;pathologique, seules ou en groupes. Cette d&eacute;marche int&egrave;gre les dimensions biologiques et m&eacute;dicales, socio-&eacute;conomiques,&nbsp;psychologiques, culturelles et environnementales au regard des pratiques alimentaires. Le Di&eacute;t&eacute;ticien Nutritionniste collabore&nbsp;avec l&rsquo;ensemble des professionnels de sant&eacute; (m&eacute;dicaux et param&eacute;dicaux) et autres professionnels dans un but d&rsquo;&eacute;ducation&nbsp;ou de r&eacute;&eacute;ducation nutritionnelle. Sur prescription m&eacute;dicale, il dispense des soins di&eacute;t&eacute;tiques individualis&eacute;s, &eacute;labor&eacute;s &agrave; partir&nbsp;d&rsquo;un diagnostic di&eacute;t&eacute;tique et avec une d&eacute;marche adapt&eacute;e prenant en compte les pratiques alimentaires du patient. Le Di&eacute;t&eacute;ticien&nbsp;Nutritionniste peut aussi contribuer &agrave; la d&eacute;finition, &agrave; l&rsquo;&eacute;valuation et au contr&ocirc;le de la qualit&eacute; de l&rsquo;alimentation servie en&nbsp;collectivit&eacute;, ainsi qu&rsquo;aux activit&eacute;s d&rsquo;&eacute;ducation di&eacute;t&eacute;tique, de pr&eacute;vention en sant&eacute; publique relevant du champ de la nutrition.<br>Le parcours s&rsquo;organise en 5 comp&eacute;tences qui se d&eacute;veloppent sur 2 ou 3 ann&eacute;es, avec des niveaux de complexit&eacute; croissante&nbsp;au cours de la formation.<br>Deux comp&eacute;tences sont communes &agrave; tous les parcours du B.U.T. G&eacute;nie Biologique :<br>&ndash; R&eacute;aliser des analyses dans les domaines de la biologie<br>&ndash; Exp&eacute;rimenter dans le g&eacute;nie biologique<br>Trois comp&eacute;tences sont sp&eacute;cifiques du parcours Di&eacute;t&eacute;tique et nutrition :<br>&ndash; Conduire une d&eacute;marche de soin di&eacute;t&eacute;tique de mani&egrave;re individuelle ou collective<br>&ndash; Concevoir une alimentation adapt&eacute;e, saine et durable<br>&ndash; &Eacute;duquer dans les champs de la nutrition et de l&rsquo;alimentation<br>Le B.U.T. G&eacute;nie Biologique parcours Di&eacute;t&eacute;tique et nutrition conduit les dipl&ocirc;m&eacute;s &agrave; exercer leurs activit&eacute;s dans le cadre d&rsquo;une<br>activit&eacute; salari&eacute;e ou lib&eacute;rale au sein de structures diverses telles que :<br>&ndash; Des &eacute;tablissements de sant&eacute;, publics ou priv&eacute;s, des r&eacute;seaux de sant&eacute;, des organismes m&eacute;dico-sociaux, des structures<br>de prestations de soins de sant&eacute; &agrave; domicile ;<br>&ndash; Des structures associatives, centres de cures thermales, comit&eacute;s d&eacute;partementaux d&rsquo;&eacute;ducation &agrave; la sant&eacute;, centres sportifs,<br>maisons m&eacute;dicales... ;<br>&ndash; Des collectivit&eacute;s territoriales, des organismes institutionnels, des organismes de formation ;<br>&ndash; Des entreprises de restauration collective;<br>&ndash; Des organismes de recherche fondamentale et appliqu&eacute;e, des industries agroalimentaires ;<br>&ndash; Des cabinets lib&eacute;raux...<br>Le B.U.T. G&eacute;nie Biologique parcours Di&eacute;t&eacute;tique et nutrition permet d&rsquo;acc&eacute;der &agrave; de nombreux m&eacute;tiers des secteurs de la sant&eacute;,<br>de la nutrition et de l&rsquo;alimentation tels que :<br>&ndash; Di&eacute;t&eacute;ticien Nutritionniste, Di&eacute;t&eacute;ticien chef de produit en fabrication industrielle... ;<br>&ndash; Charg&eacute; de missions en sant&eacute; publique, charg&eacute; d&rsquo;&eacute;ducation pour la sant&eacute;, coordonnateur d&rsquo;actions d&rsquo;&eacute;ducation th&eacute;rapeutique<br>du patient et &eacute;ducation pour la sant&eacute; ;<br>&ndash; Technicien en Recherche et D&eacute;veloppement, charg&eacute; de projets Recherche et D&eacute;veloppement, technicien de recherche<br>alimentaire, technicien dans le domaine de la formulation nutritionnelle... ;<br>&ndash; Technicien d&rsquo;&eacute;tudes cliniques, Attach&eacute; de Recherche Clinique, assistant technique installateur de mat&eacute;riel m&eacute;dical ;<br>&ndash; Formateur de formation param&eacute;dicale<br>&ndash; ...<br><br>Le programme du B.U.T. G&eacute;nie Biologique parcours Di&eacute;t&eacute;ique et nutrition est con&ccedil;u pour permettre une insertion professionnelle<br>&agrave; BAC +3, mais le dipl&ocirc;me permet &eacute;galement d&rsquo;envisager des poursuites d&rsquo;&eacute;tudes vari&eacute;es.<br><strong>Codes ROME :</strong><br>J1402 - Di&eacute;t&eacute;tique<br>D1405 - Conseil en information m&eacute;dicale<br>H1210 - Intervention technique en &eacute;tudes, recherche et d&eacute;veloppement<br>H2502 - Management et ing&eacute;nierie de production<br>K1205 - Information sociale<br>Mention sp&eacute;cifique pour les TP &agrave; risque du parcours Di&eacute;t&eacute;tique et nutrition (DN) de la sp&eacute;cialit&eacute; G&eacute;nie Biologique<br>Certains TP peuvent imposer des effectifs plus restreints de 7 &agrave; 9 &eacute;tudiants au maximum par enseignant pour des raisons de<br>s&eacute;curit&eacute; (sorties, utilisation d&rsquo;installations pilotes, utilisation de salles sp&eacute;cifiques (risques infectieux, exp&eacute;rimentation animale,<br>travail en atmosph&egrave;re confin&eacute;e en culture cellulaire...).<br>Certificats associ&eacute;s au B.U.T. G&eacute;nie biologique parcours Di&eacute;t&eacute;tique et nutrition<br>&ndash; Certification &Eacute;ducation Th&eacute;rapeutique du Patient (ETP) premier niveau (40h)<br>&ndash; Certification professionnelle hygi&egrave;ne alimentaire dans les &eacute;tablissements de restauration commerciale (14h)<br>&ndash; Attestation de formation aux gestes et soins d&rsquo;urgence (AFGSU) est un certificat appr&eacute;ci&eacute; dans le milieu professionnel,<br>la formation FGSU pourra alors &ecirc;tre propos&eacute;e selon les possibilit&eacute;s des d&eacute;partements.<br>Le contenu des ressources sp&eacute;cifiques du parcours Di&eacute;t&eacute;tique et nutrition en BUT2 et BUT3 est similaire sur les deux semestres<br>de l&rsquo;ann&eacute;e concern&eacute;e afin de permettre aux &eacute;quipes d&rsquo;organiser le programme p&eacute;dagogique en fonction des contraintes mat&eacute;rielles<br>et humaines. Afin de r&eacute;aliser l&rsquo;int&eacute;gralit&eacute; du programme attendu au regard du m&eacute;tier r&eacute;glement&eacute; de Di&eacute;t&eacute;ticien Nutritionniste,&nbsp;les compl&eacute;ments n&eacute;cessaires &agrave; ajouter aux ressources font l&rsquo;objet de pr&eacute;conisations.<br>Afin de permettre aux titulaires du B.U.T. G&eacute;nie biologique parcours Di&eacute;t&eacute;tique et nutrition (DN) d&rsquo;acqu&eacute;rir les comp&eacute;tences </span><span style=""color: #ffffff;"">professionnelles n&eacute;cessaires &agrave; l&rsquo;exercice du m&eacute;tier r&eacute;glement&eacute; de DN (Article L4371-2 du Code de la sant&eacute; publique), la dur&eacute;e&nbsp;totale des stages de ce parcours pourra &ecirc;tre amen&eacute;e &agrave; 32 semaines (en d&eacute;rogation de l&rsquo;article 17 de l&rsquo;arr&ecirc;t&eacute; du 6 d&eacute;cembre&nbsp;2019).<br></span></p>
<p data-line=""41""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe5(PDF-2.70 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/12/4/spe617_annexe5_1426124.pdf"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; g&eacute;nie biologique : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GB DN 2022-C1,🔴 Analyser,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>R&eacute;aliser des analyses dans les domaines de la<br>biologie</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les bonnes pratiques de laboratoire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la r&eacute;glementation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant la tra&ccedil;abilit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une d&eacute;marche de validation de r&eacute;sultats</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les proc&eacute;dures op&eacute;ratoires dans un contexte de d&eacute;marche qualit&eacute; et de d&eacute;veloppement durable</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoires ou structures d'analyses biologiques</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB DN 2022-C2,🟠 Experimenter,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Exp&eacute;rimenter dans le G&eacute;nie Biologique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte l'&eacute;volution des techniques et des r&eacute;glementations</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les enjeux soci&eacute;taux</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En communiquant de mani&egrave;re appropri&eacute;e au domaine de l'exp&eacute;rimentation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En structure de recherche fondamentale ou appliqu&eacute;e ou clinique ou industrielle (structures de soins, sant&eacute;, alimentaire, environnement, agronomie ...)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB DN 2022-C3,🟡 Soigner,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Conduire une d&eacute;marche de soin di&eacute;t&eacute;tique de&nbsp;mani&egrave;re individuelle ou collective</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les r&egrave;gles d'&eacute;thique et la d&eacute;ontologie li&eacute;e au soin di&eacute;t&eacute;tique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la r&eacute;glementation en vigueur et en s'appuyant sur les recommandations nationales et internationales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant une veille bibliographique scientifique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant les moyens de transmissions appropri&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En interagissant avec tous les acteurs de la d&eacute;marche de soin di&eacute;t&eacute;tique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En ma&icirc;trisant les outils num&eacute;riques</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En structure de soins</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en structure de prestations de soins de sant&eacute; &agrave; domicile</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB DN 2022-C4,🟢 Nourrir,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concevoir une alimentation adapt&eacute;e, saine et&nbsp;durable</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En se conformant &agrave; la r&eacute;glementation en vigueur en hygi&egrave;ne, en s&eacute;curit&eacute; et en qualit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En veillant &agrave; la qualit&eacute; nutritionnelle des aliments</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant une veille technologique, sanitaire et r&eacute;glementaire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant les contraintes socio-&eacute;conomiques et techniques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En ma&icirc;trisant des outils num&eacute;riques adapt&eacute;s aux situations</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'inscrivant dans une d&eacute;marche de d&eacute;veloppement durable</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En restauration collective &agrave; destination du bien-portant</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en restauration collective &agrave; destination du patient</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en structures agro-alimentaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en structure de recherche fondamentale et appliqu&eacute;e</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB DN 2022-C5,🔵 Éduquer,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>&Eacute;duquer dans les champs de la nutrition et de&nbsp;l'alimentation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les consignes d'hygi&egrave;ne et de s&eacute;curit&eacute; des aliments</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les r&egrave;gles d'&eacute;thique et la d&eacute;ontologie</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant une veille bibliographique et sanitaire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'adaptant &agrave; tout type de public</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En communiquant de mani&egrave;re adapt&eacute;e</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En &eacute;tablissements de soin et de r&eacute;adaptations</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en cabinet lib&eacute;ral</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou aupr&egrave;s des acteurs de la pr&eacute;vention (mutuelles, collectivit&eacute;s territoriales et locales...)</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en centres de cures thermales</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en centres sportifs</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
PN LP-BUT GB DN 2022-C1,PN LP-BUT GB DN 2022-C1-L1,⭐ Réaliser des analyses,,,,,,,,,,,""
PN LP-BUT GB DN 2022-C1,PN LP-BUT GB DN 2022-C1-L2,⭐⭐ Réaliser des analyses avancées,,,,,,,,,,,""
PN LP-BUT GB DN 2022-C2,PN LP-BUT GB DN 2022-C2-L1,⭐ Observer la variation d'un phénomène biologique,,,,,,,,,,,""
PN LP-BUT GB DN 2022-C2,PN LP-BUT GB DN 2022-C2-L2,⭐⭐ Expérimenter pour comprendre une problématique scientifique,,,,,,,,,,,""
