Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GB SAB 2022,BUT Génie Biologique - Parcours Sciences de l'Aliment et Biotechnologie,"<div class=""container text-center p-3"" style=""background: #00a7b8;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/genie-biologique/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/c9/21617-gb-650-650-c91a6e69.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-G%C3%A9nie-Biologique"" data-line=""39""><span style=""color: #ffffff;"">BUT G&eacute;nie Biologique</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Sciences de l'Aliment et Biotechnologie</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le bachelor universitaire de technologie (B.U.T.) G&eacute;nie Biologique parcours Sciences de l&rsquo;Aliment et Biotechnologie (SAB)&nbsp;forme des techniciens sup&eacute;rieurs, des assistants ing&eacute;nieurs polyvalents et autonomes, des chefs de projet ou d&rsquo;&eacute;quipe, ou des&nbsp;consultants dans les domaines tr&egrave;s vari&eacute;s de l&rsquo;agroalimentaire, la pharmaceutique, la cosm&eacute;tique, les biotechnologies ou la restauration&nbsp;collective. Par sa polyvalence, le dipl&ocirc;m&eacute; du B.U.T SAB prend en charge des missions techniques ou r&eacute;glementaires&nbsp;diverses en production, qualit&eacute;, analyses ou recherche et d&eacute;veloppement.<br>Le parcours s&rsquo;organise en 5 comp&eacute;tences qui se d&eacute;veloppent sur 2 ou 3 ann&eacute;es, avec des niveaux de complexit&eacute; croissant au&nbsp;cours de la formation.<br>Deux comp&eacute;tences sont communes &agrave; tous les parcours du B.U.T. G&eacute;nie Biologique :<br>&ndash; R&eacute;aliser des analyses dans les domaines de la biologie<br>&ndash; Exp&eacute;rimenter dans le g&eacute;nie biologique<br>Trois comp&eacute;tences sont sp&eacute;cifiques du parcours Sciences de l&rsquo;Aliment et Biotechnologie :<br>&ndash; Animer le management de la Qualit&eacute;, de l&rsquo;Hygi&egrave;ne, de la S&eacute;curit&eacute;, et de l&rsquo;Environnement en Industries Alimentaires et<br>Biotechnologiques<br>&ndash; Organiser la production des aliments et des biomol&eacute;cules<br>&ndash; Innover en sciences des aliments et biotechnologie<br>Le B.U.T. G&eacute;nie Biologique parcours SAB conduit les dipl&ocirc;m&eacute;s &agrave; exercer leurs activit&eacute;s dans des structures tr&egrave;s diverses telles<br>que :<br>&ndash; Des laboratoires d&rsquo;analyses et de contr&ocirc;le publics ou priv&eacute;s,<br>&ndash; Des industries (agroalimentaires, pharmaceutiques, cosm&eacute;tiques, biotechnologiques, restauration collective)<br>&ndash; Des organismes de recherche et de d&eacute;veloppement publics ou priv&eacute;s,<br>&ndash; Des soci&eacute;t&eacute;s de prestation de service (analyses sensorielles, consultant qualit&eacute;...)</span></p>
<p style=""text-align: justify;""><span style=""color: #ffffff;""><br>Le B.U.T. G&eacute;nie Biologique parcours SAB permet d&rsquo;acc&eacute;der &agrave; de nombreux m&eacute;tiers tels que :<br>&ndash; Technicien sup&eacute;rieur de laboratoire d&rsquo;analyses et de contr&ocirc;le, capable de mettre en oeuvre des analyses complexes<br>en biologie, microbiologie, biochimie, chimie et physique pour &eacute;valuer la qualit&eacute; des produits dans le respect de la&nbsp;r&eacute;glementation et des r&egrave;gles d&rsquo;hygi&egrave;ne et s&eacute;curit&eacute;.<br>&ndash; Assistant ing&eacute;nieur de recherche, comp&eacute;tent pour assurer la mise en oeuvre d&rsquo;exp&eacute;rimentation dans le cadre d&rsquo;activit&eacute;s&nbsp;de recherche en biotechnologies, en sciences des aliments, en g&eacute;nie des proc&eacute;d&eacute;s, ou par la participation &agrave; des&nbsp;programmes en s&eacute;curit&eacute; alimentaire, en sant&eacute; animale<br>&ndash; Animateur QHSE dont la mission est de faire vivre au quotidien les d&eacute;marches d&rsquo;am&eacute;lioration continue relatives &agrave; la<br>qualit&eacute;, l&rsquo;hygi&egrave;ne, la s&eacute;curit&eacute; et l&rsquo;environnement par le d&eacute;ploiement d&rsquo;outils adapt&eacute;s (mise en place d&rsquo;audits internes, de&nbsp;formations, d&rsquo;actions de communication ou de sensibilisation...)<br>&ndash; Assistant ou Responsable qualit&eacute; (en fonction de la taille de l&rsquo;entreprise), garant de l&rsquo;application de la r&eacute;glementation et&nbsp;de la politique qualit&eacute; dans une entreprise<br>&ndash; Responsable d&rsquo;atelier de production ou chef d&rsquo;&eacute;quipe, responsable de la conduite d&rsquo;un processus de fabrication de produits&nbsp;alimentaires, cosm&eacute;tiques, pharmaceutiques ou biotechnologiques depuis la conception jusqu&rsquo;au conditionnement&nbsp;des produits finis, en g&eacute;rant les mati&egrave;res premi&egrave;res, les d&eacute;chets, les &eacute;quipements, les moyens humains dans le respect&nbsp;des objectifs de d&eacute;lais et de co&ucirc;ts<br>&ndash; Assistant chef de projet en recherche et d&eacute;veloppement ou innovation : participation &agrave; des projets de conception de nouveaux produits, de modification des proc&eacute;d&eacute;s de fabrication, de d&eacute;veloppement de proc&eacute;d&eacute;s respectueux de l&rsquo;environnement Le programme du B.U.T. G&eacute;nie Biologique parcours Sciences de l&rsquo;aliment et biotechnologie est con&ccedil;u pour permettre une insertion professionnelle &agrave; BAC +3, mais le dipl&ocirc;me permet &eacute;galement d&rsquo;envisager des poursuites d&rsquo;&eacute;tudes vari&eacute;es.<br><br></span><span style=""color: #ffffff;""><strong>Codes ROME :</strong><br>H1206 - Management et ing&eacute;nierie &eacute;tudes, recherche et d&eacute;veloppement industriel<br>H1502 - Management et ing&eacute;nierie qualit&eacute; industrielle<br>H1303 - Intervention technique en Hygi&egrave;ne S&eacute;curit&eacute; Environnement -HSE- industriel<br>H2502 - Management et ing&eacute;nierie de production<br>H1503 - Intervention technique en laboratoire d&rdquo;analyse industrielle<br>Certificat associ&eacute; au B.U.T G&eacute;nie biologique parcours Sciences de l&rsquo;Aliment et Biotechnologie en 120 ECTS :<br>&ndash; Hygi&egrave;ne alimentaire dans les &eacute;tablissements de restauration commerciale<br>Mention sp&eacute;cifique pour les TP &agrave; risque du parcours Sciences de l&rsquo;Aliment et Biotechnologie de la sp&eacute;cialit&eacute; G&eacute;nie<br>Biologique :<br>Certains TP peuvent imposer des effectifs plus restreints de 7 &agrave; 9 &eacute;tudiants au maximum par enseignant pour des raisons de&nbsp;s&eacute;curit&eacute; : utilisation d&rsquo;installations pilotes en halle de technologie, TP en salle sp&eacute;cifique, visites sur site,...<br></span></p>
<p data-line=""41""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe5(PDF-2.70 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/12/4/spe617_annexe5_1426124.pdf"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; g&eacute;nie biologique : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GB SAB 2022-C1,🔴 Analyser,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>R&eacute;aliser des analyses dans les domaines de la<br>biologie</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les bonnes pratiques de laboratoire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la r&eacute;glementation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant la tra&ccedil;abilit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une d&eacute;marche de validation de r&eacute;sultats</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les proc&eacute;dures op&eacute;ratoires dans un contexte de d&eacute;marche qualit&eacute; et de d&eacute;veloppement durable</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoires ou structures d'analyses biologiques</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB SAB 2022-C2,🟠 Experimenter,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Exp&eacute;rimenter dans le G&eacute;nie Biologique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte l'&eacute;volution des techniques et des r&eacute;glementations</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les enjeux soci&eacute;taux</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En communiquant de mani&egrave;re appropri&eacute;e au domaine de l'exp&eacute;rimentation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En structure de recherche fondamentale ou appliqu&eacute;e ou clinique ou industrielle (structures de soins, sant&eacute;, alimentaire, environnement, agronomie ...)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB SAB 2022-C3,🟡 Animer,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Animer le management de la Qualit&eacute;, de&nbsp;l'Hygi&egrave;ne, de la S&eacute;curit&eacute;, et de l'Environnement en&nbsp;Industries Alimentaires et Biotechnologiques</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la r&eacute;glementation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une d&eacute;marche d'am&eacute;lioration continue</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une communication appropri&eacute;e</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Au laboratoire de contr&ocirc;le-qualit&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en service qualit&eacute; ou production en industries alimentaires, cosm&eacute;tiques ou de biotechnologies</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB SAB 2022-C4,🟢 Produire,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Organiser la production des aliments et des&nbsp;biomol&eacute;cules</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En appliquant les consignes d'hygi&egrave;ne et s&eacute;curit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant un cahier des charges</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En contr&ocirc;lant qualitativement ou quantitativement la production</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans la mise en oeuvre des principaux &eacute;quipements de production des aliments, des biomol&eacute;cules ou des produits cosm&eacute;tiques</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En industries alimentaires, cosm&eacute;tiques, pharmaceutiques ou de biotechnologies</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB SAB 2022-C5,🔵 Innover,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Innover en science de l'aliment et biotechnologie</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;pondant de fa&ccedil;on pertinente &agrave; un cahier des charges</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les enjeux soci&eacute;taux (&eacute;co-conception, sant&eacute; humaine,... )</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en oeuvre une d&eacute;marche scientifique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une communication appropri&eacute;e</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Au laboratoire de formulation alimentaire, cosm&eacute;tique, pharmaceutique ou de biotechnologie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En industries alimentaires, cosm&eacute;tiques, pharmaceutiques ou de biotechnologies</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
PN LP-BUT GB SAB 2022-C1,PN LP-BUT GB SAB 2022-C1-L1,⭐ Réaliser des analyses,,,,,,,,,,,""
PN LP-BUT GB SAB 2022-C1,PN LP-BUT GB SAB 2022-C1-L2,⭐⭐ Réaliser des analyses avancées,,,,,,,,,,,""
PN LP-BUT GB SAB 2022-C2,PN LP-BUT GB SAB 2022-C2-L1,⭐ Observer la variation d'un phénomène biologique,,,,,,,,,,,""
PN LP-BUT GB SAB 2022-C2,PN LP-BUT GB SAB 2022-C2-L2,⭐⭐ Expérimenter pour comprendre une problématique scientifique,,,,,,,,,,,""
