Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GB SEE 2022,BUT Génie Biologique - Parcours Sciences de l'Environnement et Ecotechnologies,"<div class=""container text-center p-3"" style=""background: #00a7b8;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/genie-biologique/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/c9/21617-gb-650-650-c91a6e69.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-G%C3%A9nie-Biologique"" data-line=""39""><span style=""color: #ffffff;"">BUT G&eacute;nie Biologique</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Sciences de l'Environnement et Ecotechnologies</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le bachelor universitaire de technologie G&eacute;nie Biologique parcours Sciences de l&rsquo;environnement et &eacute;cotechnologies (SEE)&nbsp;forme des techniciens sup&eacute;rieurs et assistants ing&eacute;nieurs polyvalents et autonomes dans les domaines de la protection et&nbsp;de la gestion de l&rsquo;environnement et des milieux naturels. Ils sont capables de s&rsquo;ins&eacute;rer et d&rsquo;&eacute;voluer dans tous les secteurs&nbsp;li&eacute;s &agrave; l&rsquo;environnement (gestion des espaces naturels et urbains, analyse et traitement des pollutions, gestion des ressources&nbsp;naturelles, &eacute;conomie circulaire). Ils peuvent s&rsquo;int&eacute;grer dans les services environnement des collectivit&eacute;s locales, des bureaux&nbsp;d&rsquo;&eacute;tudes, des entreprises ou des associations.<br>Le parcours s&rsquo;organise en 5 comp&eacute;tences qui se d&eacute;veloppent sur 2 ou 3 ann&eacute;es, avec des niveaux de complexit&eacute; croissant au&nbsp;cours de la formation.<br>Deux comp&eacute;tences sont communes &agrave; tous les parcours du B.U.T. G&eacute;nie Biologique :<br>&ndash; R&eacute;aliser des analyses dans les domaines de la biologie<br>&ndash; Exp&eacute;rimenter dans le g&eacute;nie biologique<br>Trois comp&eacute;tences sont sp&eacute;cifiques du parcours Sciences de l&rsquo;environnement et &eacute;cotechnologies :<br>&ndash; G&eacute;rer les milieux naturels et anthropis&eacute;s<br>&ndash; Traiter les pollutions<br>&ndash; D&eacute;ployer l&rsquo;&eacute;conomie circulaire<br>Le B.U.T. G&eacute;nie Biologique parcours SEE conduit les dipl&ocirc;m&eacute;s &agrave; exercer leurs activit&eacute;s dans les domaines de l&rsquo;environnement<br>et de l&rsquo;&eacute;conomie circulaire au sein de structures tr&egrave;s diverses telles que :<br>&ndash; Des laboratoires d&rsquo;analyses ou de recherche en environnement d&rsquo;entreprises ou d&rsquo;organismes publics/priv&eacute;s<br>&ndash; Des bureaux d&rsquo;&eacute;tudes de gestion, de protection et d&rsquo;animation des espaces<br>&ndash; Des services environnement des entreprises, organismes institutionnels et associations<br>&ndash; Des entreprises de gestion et traitement des ressources naturelles (eau, air, sols)<br>Le B.U.T. G&eacute;nie Biologique parcours SEE permet d&rsquo;acc&eacute;der &agrave; de nombreux m&eacute;tiers des secteurs de l&rsquo;environnement, de<br>l&rsquo;&eacute;cologie, de l&rsquo;&eacute;conomie circulaire tels que :<br>&ndash; Technicien, technicien sup&eacute;rieur, assistant ing&eacute;nieur en gestion et animation des espaces<br>&ndash; Technicien sup&eacute;rieur ou assistant ing&eacute;nieur en gestion qualit&eacute; environnementale, capable de mettre en place des plans<br>de pr&eacute;vention sur les risques environnementaux<br>&ndash; Technicien sup&eacute;rieur ou assistant ing&eacute;nieur dans le traitement de l&rsquo;eau, capable d&rsquo;assurer le fonctionnement et le suivi<br>des installations de traitement des eaux us&eacute;es, de baignade ou de potabilisation<br>&ndash; Technicien sup&eacute;rieur ou assistant ing&eacute;nieur dans la pollution de l&rsquo;air, capable par exemple de r&eacute;aliser des mesures des<br>rejets atmosph&eacute;riques, d&rsquo;accompagner les industriels dans la maitrise des &eacute;missions polluantes<br>&ndash; Technicien sup&eacute;rieur ou assistant ing&eacute;nieur pour les sites et sols pollu&eacute;s, capable par exemple d&rsquo;assurer des pr&eacute;l&egrave;vements<br>d&rsquo;analyses ou de suivre des chantiers de d&eacute;pollution<br>&ndash; Technicien sup&eacute;rieur ou assistant ing&eacute;nieur &lt; bruit &gt;<br>&ndash; Technicien sup&eacute;rieur d&rsquo;analyses et/ou de contr&ocirc;le, assistant ing&eacute;nieur dans les laboratoires chimie-biochimie-microbiologie&eacute;cotoxicologie,<br>(contr&ocirc;les sanitaires et r&eacute;glementaires) par exemple pour quantifier des teneurs en polluants dans le sol<br>&ndash; Technicien sup&eacute;rieur ou assistant ing&eacute;nieur en gestion qualit&eacute; environnementale, capable de mettre en place des plans<br>locaux de pr&eacute;vention des d&eacute;chets m&eacute;nagers, de d&eacute;velopper des fili&egrave;res de collecte, de valorisation<br>&ndash; Technicien sup&eacute;rieur ou assistant ing&eacute;nieur dans le traitement et gestion des d&eacute;chets<br>&ndash; Conseiller, charg&eacute; d&rsquo;&eacute;tudes de biodiversit&eacute; en environnement (charg&eacute; de missions, &eacute;coconception, &eacute;nergies renouvelables,<br>&eacute;conomie circulaire, d&eacute;veloppement durable, biodiversit&eacute;)<br>&ndash; Technicien, technicien recherche, capable de suivre des exp&eacute;rimentations par exemple sur des compostages<br>&ndash; Animateur QHSE dont la mission est de faire vivre au quotidien les d&eacute;marches d&rsquo;am&eacute;lioration continue relatives &agrave; la<br>qualit&eacute;, l&rsquo;hygi&egrave;ne, la s&eacute;curit&eacute; et l&rsquo;environnement par le d&eacute;ploiement d&rsquo;outils adapt&eacute;s (mise en place d&rsquo;audits internes, de<br>formations, d&rsquo;actions de communication ou de sensibilisation...)<br>Le programme du B.U.T. G&eacute;nie Biologique parcours Sciences de l&rsquo;environnement et &eacute;cotechnologies est con&ccedil;u pour permettre<br>une insertion professionnelle &agrave; BAC +3, mais le dipl&ocirc;me permet &eacute;galement d&rsquo;envisager des poursuites d&rsquo;&eacute;tudes vari&eacute;es.<br><br><strong>Codes ROME :</strong><br>H1503 - Intervention technique en laboratoire d&rsquo;analyse industrielle<br>H1308 - Intervention technique en Hygi&egrave;ne S&eacute;curit&eacute; Environnement - HSE - industriel<br>H1210 - Intervention technique en &eacute;tudes, recherche et d&eacute;veloppement<br>K2306 - Supervision d&rsquo;exploitation &eacute;co-industrielle<br>K2302 - Management et inspection en environnement urbain<br><br>Mention sp&eacute;cifique pour les TP &agrave; risque du parcours Sciences de L&rsquo;Environnement et &Eacute;cotechnologies de la sp&eacute;cialit&eacute;&nbsp;G&eacute;nie Biologique :<br>Certains TP peuvent imposer des effectifs plus restreints de 7 &agrave; 9 &eacute;tudiants au maximum par enseignant pour des raisons de<br>s&eacute;curit&eacute; (utilisation de pilotes industriels en halle de technologie, d&eacute;placements et exp&eacute;riences sur site...).<br><br><strong>Certification associ&eacute;e au dipl&ocirc;me :</strong><br>&ndash; Certification en hygi&egrave;ne alimentaire dans les &eacute;tablissements de restauration commerciale pourra &ecirc;tre obtenue<br></span></p>
<p data-line=""41""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe5(PDF-2.70 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/12/4/spe617_annexe5_1426124.pdf"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; g&eacute;nie biologique : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GB SEE 2022-C1,🔴 Analyser,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>R&eacute;aliser des analyses dans les domaines de la<br>biologie</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les bonnes pratiques de laboratoire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la r&eacute;glementation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant la tra&ccedil;abilit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une d&eacute;marche de validation de r&eacute;sultats</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les proc&eacute;dures op&eacute;ratoires dans un contexte de d&eacute;marche qualit&eacute; et de d&eacute;veloppement durable</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoires ou structures d'analyses biologiques</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB SEE 2022-C2,🟠 Experimenter,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Exp&eacute;rimenter dans le G&eacute;nie Biologique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte l'&eacute;volution des techniques et des r&eacute;glementations</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les enjeux soci&eacute;taux</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En communiquant de mani&egrave;re appropri&eacute;e au domaine de l'exp&eacute;rimentation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En structure de recherche fondamentale ou appliqu&eacute;e ou clinique ou industrielle (structures de soins, sant&eacute;, alimentaire, environnement, agronomie ...)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB SEE 2022-C3,🟡 Gérer,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>G&eacute;rer les milieux naturels et anthropis&eacute;s</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les normes et les r&eacute;glementation en vigueur</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En suivant les &eacute;volutions technologiques et scientifiques des &eacute;cosyst&egrave;mes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant des outils discriminants de la gestion des &eacute;cosyt&egrave;mes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une communication appropri&eacute;e</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En bureau d'&eacute;tudes de gestion et d'animation des espaces</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en laboratoire de recheche</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en milieu associatif</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en collectivit&eacute;s et organismes institutionnels</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB SEE 2022-C4,🟢 Traiter,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Traiter les pollutions</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les r&egrave;gles d'hygi&egrave;ne et de s&eacute;curit&eacute; dans les fili&egrave;res de traitement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant une veille technologique sur les pollutions et les fili&egrave;res de traitement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant les dispositifs ad&eacute;quats associ&eacute;s aux traitements des pollutions</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une communication appropri&eacute;e &agrave; l'enjeu du traitement des pollutions</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En laboratoire d'analyse ou de recherche en environnement</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en service environnement des entreprises, organismes institutionnels et collectivit&eacute;s</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en entreprises du domaine de l'environnement (unit&eacute;s de traitement, bureaux d'&eacute;tudes...)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
,PN LP-BUT GB SEE 2022-C5,🔵 Déployer,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>D&eacute;ployer l'&eacute;conomie circulaire</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en oeuvre les outils pour &eacute;valuer la gestion de la transition &eacute;cologique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'informant sur les &eacute;volutions li&eacute;es &agrave; la transition &eacute;cologique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En partageant les informations avec divers publics</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant les normes et la r&eacute;glementation li&eacute;e &agrave; l'&eacute;conomie circulaire</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En service environnement des entreprises, organismes institutionnels et collectivit&eacute;s</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en entreprises du domaine de l'environnement</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">ou en associations de protection de l'environnement</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,""
PN LP-BUT GB SEE 2022-C1,PN LP-BUT GB SEE 2022-C1-L1,⭐ Réaliser des analyses,,,,,,,,,,,""
PN LP-BUT GB SEE 2022-C1,PN LP-BUT GB SEE 2022-C1-L2,⭐⭐ Réaliser des analyses avancées,,,,,,,,,,,""
PN LP-BUT GB SEE 2022-C2,PN LP-BUT GB SEE 2022-C2-L1,⭐ Observer la variation d'un phénomène biologique,,,,,,,,,,,""
PN LP-BUT GB SEE 2022-C2,PN LP-BUT GB SEE 2022-C2-L2,⭐⭐ Expérimenter pour comprendre une problématique scientifique,,,,,,,,,,,""
