Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GCCD TP 2022,BUT Génie Civil-Construction Durable - Parcours Travaux Publics,"<div class=""container text-center p-3"" style=""background: #336600;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/genie-civil-construction-durable/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/22/21625-gccd-650-650-22c1116d.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-G%C3%A9nie-Civil-Construction-Durable"" data-line=""81""><span style=""color: #ffffff;"">BUT G&eacute;nie Civil-Construction Durable</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Travaux Publics</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le Bachelor Universitaire de Technologie G&eacute;nie Civil &ndash; Construction Durable parcours Travaux Publics couvre les secteurs&nbsp;d&rsquo;activit&eacute; en lien avec le B&acirc;timent et les Travaux Publics (BTP). Il a pour objectif de certifier des techniciens sup&eacute;rieurs dot&eacute;s&nbsp;de fortes comp&eacute;tences technologiques, mais &eacute;galement familiers des aspects non technologiques de la profession, comme&nbsp;la gestion de projets. Ils sont destin&eacute;s &agrave; exercer indiff&eacute;remment au niveau de la ma&icirc;trise d&rsquo;ouvrage (programmation des travaux),&nbsp;de la ma&icirc;trise d&rsquo;oeuvre (bureaux d&rsquo;&eacute;tudes) ou des travaux (entreprises de construction). Leurs comp&eacute;tences couvrent&nbsp;l&rsquo;ensemble des techniques de construction, des fondations aux structures jusqu&rsquo;aux &eacute;quipements techniques, de la stabilit&eacute; des&nbsp;constructions aux questions de confort thermique, acoustique et visuel, du choix des mat&eacute;riaux &agrave; la d&eacute;finition des techniques&nbsp;de construction, du terrassement aux am&eacute;nagements routiers ou aux ouvrages d&rsquo;art.<br>Le titulaire d&rsquo;un B.U.T. G&eacute;nie Civil &ndash; Construction Durable parcours Travaux Publics exerce son activit&eacute; dans toutes les entreprises&nbsp;du B&acirc;timent et des Travaux Publics. Le dipl&ocirc;me pr&eacute;pare &agrave; une grande diversit&eacute; de m&eacute;tiers que l&rsquo;on peut classer en trois grands domaines en fonction du contexte de l&rsquo;activit&eacute; et des objectifs vis&eacute;s : ma&icirc;trise d&rsquo;ouvrage ; ma&icirc;trise d&rsquo;oeuvre ; organisation&nbsp;et encadrement de chantier. Ce parcours est destin&eacute; plus sp&eacute;cifiquement aux m&eacute;tiers d&rsquo;organisation et d&rsquo;encadrement de<br>chantier travaux publics.<br><br><strong>Type d&rsquo;emplois accessibles :</strong><br>&ndash; D&eacute;butant : Chef de chantier, Dessinateur-Projeteur, Technicien &eacute;tudes/m&eacute;tr&eacute;s/devis, Technicien m&eacute;thodes, Technicien<br>de laboratoire, Technicien QSE, Assistant ou aide conducteur de travaux.<br>&ndash; Apr&egrave;s 2 ou 3 ans d&rsquo;exp&eacute;rience : Conducteur de travaux, Charg&eacute; d&rsquo;affaires.</span></p>
<p data-line=""83""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe7 (PDF-1.84 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/12/8/spe617_annexe7_1426128.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; g&eacute;nie civil-construction durable : programme national</a>&nbsp;</span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GCCD TP 2022-C1,🔴 Solutions Bâtiment,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>&Eacute;laborer des solutions techniques de tout ou<br>partie d&rsquo;un projet de B&acirc;timent</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'appuyant sur une d&eacute;marche d'analyse multicrit&egrave;res incluant les probl&eacute;matiques de la construction durable</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En collaborant efficacement dans la perspective d&rsquo;une d&eacute;marche BIM</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En produisant les pi&egrave;ces &eacute;crites et graphiques n&eacute;cessaires qui respecteront le cahier des charges et le cadre r&eacute;glementaire</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant que technicien b&acirc;timent en phase conception ou pr&eacute;paration</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant qu&rsquo;assistant maitrise d&rsquo;oeuvre b&acirc;timent</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant que technicien b&acirc;timent dans un bureau d'&eacute;tudes techniques en phase EXE</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GCCD TP 2022-C2,🟠 Solutions Travaux Publics,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>&Eacute;laborer des solutions techniques de tout ou<br>partie d&rsquo;un projet de Travaux Publics</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'appuyant sur une d&eacute;marche d'analyse multicrit&egrave;res incluant les probl&eacute;matiques de la construction durable</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En collaborant efficacement dans la perspective d&rsquo;une d&eacute;marche BIM</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En produisant les pi&egrave;ces &eacute;crites et graphiques n&eacute;cessaires qui respecteront le cahier des charges et le cadre r&eacute;glementaire</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant que technicien travaux publics en phase conception ou pr&eacute;paration</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant qu&rsquo;assistant maitrise d&rsquo;oeuvre travaux publics</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant que technicien travaux publics dans un bureau d'&eacute;tudes techniques en phase EXE</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GCCD TP 2022-C3,🟡 Dimensionner,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Dimensionner des ouvrages et des &eacute;quipements&nbsp;techniques du BTP</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une d&eacute;marche scientifique rigoureuse &agrave; chaque &eacute;tape du dimensionnement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En produisant des notes de calcul n&eacute;cessaires &agrave; la compr&eacute;hension du dimensionnement et permettant la production de pi&egrave;ces graphiques&nbsp;qui respecteront le cahier des charges et le cadre r&eacute;glementaire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant les outils adapt&eacute;s &agrave; la complexit&eacute; du dimensionnement</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant que dessinateur projeteur dans un BET structures</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant que charg&eacute; d&rsquo;&eacute;tudes dans un BET thermique ou fluides</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant que technicien dans un BET g&eacute;otechnique</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GCCD TP 2022-C4,🟢 Organiser,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Organiser un chantier de BTP</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En communiquant avec les diff&eacute;rents acteurs de l&rsquo;op&eacute;ration et de son environnement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En d&eacute;finissant les moyens organisationnels, humains, financiers et techniques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les principes g&eacute;n&eacute;raux de pr&eacute;vention</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant le suivi du chantier jusqu&rsquo;&agrave; sa r&eacute;ception</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant que technicien dans un bureau des m&eacute;thodes ou dans un service &eacute;tude de prix en B&acirc;timent ou Travaux publics</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant que conducteur de travaux dans une entreprise de BTP</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant que chef de chantier dans une entreprise de BTP</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant qu&rsquo;intervenant dans le domaine de la s&eacute;curit&eacute;, de la protection de la sant&eacute; ou de l&rsquo;ordonnancement, du pilotage et de la coordination des travaux</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GCCD TP 2022-C5,🔵 Piloter,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Piloter techniquement un ouvrage tout au long de&nbsp;sa vie</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En caract&eacute;risant ses &eacute;l&eacute;ments dans un contexte normatif</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En rep&eacute;rant les points de vigilance</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant un plan strat&eacute;gique int&eacute;grant la qualit&eacute; environnementale</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En veillant &agrave; optimiser sa dur&eacute;e de vie</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant qu&rsquo;acteur d&rsquo;une &eacute;quipe de ma&icirc;trise d&rsquo;ouvrage</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant qu&rsquo;acteur d&rsquo;une &eacute;quipe de ma&icirc;trise d&rsquo;oeuvre</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant que coordonnateur BIM</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En tant que technicien en exploitation-maintenance</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT GCCD TP 2022-C1,PN LP-BUT GCCD TP 2022-C1-L1,⭐ Représenter des solutions techniques,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C1,PN LP-BUT GCCD TP 2022-C1-L2,⭐⭐ Choisir et justifier des solutions techniques en phase prépa ou EXE,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2,PN LP-BUT GCCD TP 2022-C2-L1,⭐ Représenter des solutions techniques,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2,PN LP-BUT GCCD TP 2022-C2-L2,⭐⭐ Choisir et justifier des solutions techniques en phase prépa ou EXE,,,,,,,,,,,
