Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GIM 3MI 2022,"BUT Génie Industriel et Maintenance - Parcours Management, méthodes et maintenance innovante","<div class=""container text-center p-3"" style=""background: #ff6600;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/genie-industriel-et-maintenance/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/0d/21626-gim-650-650-0d8c6b3b.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-G%C3%A9nie-Industriel-et-Maintenance"" data-line=""106""><span style=""color: #ffffff;"">BUT G&eacute;nie Industriel et Maintenance</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Management, m&eacute;thodes et maintenance&nbsp;innovante</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours Management M&eacute;thodes et Maintenance Innovante (3MI) est centr&eacute; sur la fiabilit&eacute;, la s&eacute;curit&eacute; et le fonctionnement&nbsp;optimal d&rsquo;un syst&egrave;me pluritechnique, sur l&rsquo;organisation des op&eacute;rations de contr&ocirc;le et de supervision, et sur la gestion et&nbsp;l&rsquo;animation des &eacute;quipes d&rsquo;interventions.</span></p>
<p data-line=""108""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe9 (PDF-1004.65 Ko-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/13/2/spe617_annexe9_1426132.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; g&eacute;nie industriel et maintenance : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GIM 3MI 2022-C1,🔴 Maintenir,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Maintenir en condition op&eacute;rationnelle un syst&egrave;me&nbsp;pluritechnique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la strat&eacute;gie de maintenance de l'entreprise</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte du contexte d'intervention</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En rendant compte des activit&eacute;s r&eacute;alis&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les sp&eacute;cificit&eacute;s techniques du syst&egrave;me</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : Maintenance pr&eacute;ventive</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : Maintenance corrective</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GIM 3MI 2022-C2,🟠 Améliorer,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Am&eacute;liorer un syst&egrave;me pluritechnique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En appliquant une d&eacute;marche de gestion de projet</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En se conformant au cahier des charges de l&rsquo;am&eacute;lioration</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la d&eacute;marche qualit&eacute; de l'entreprise</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des innovations technologiques</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : Maintenance am&eacute;liorative</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : Optimisation de l'efficience d'un syst&egrave;me</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : Adaptation d'un syst&egrave;me existant &agrave; un nouveau contexte</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GIM 3MI 2022-C3,🟡 Installer,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Organiser l&rsquo;installation d&rsquo;un syst&egrave;me&nbsp;pluritechnique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En d&eacute;finissant les t&acirc;ches (op&eacute;rations) n&eacute;cessaires &agrave; l&rsquo;installation du syst&egrave;me</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des contraintes (personnes, mat&eacute;riels, d&eacute;lais, co&ucirc;ts, r&eacute;glementation, cahier des charges)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En validant les op&eacute;rations de la mise en service du syst&egrave;me</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : Mise en place d'un nouvel &eacute;quipement</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : R&eacute;implantation d'un &eacute;quipement</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : D&eacute;marrage d'une ligne de production</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GIM 3MI 2022-C4,🟢 Manager,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Participer &agrave; la gestion des moyens techniques et&nbsp;humains d'un service</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adaptant sa communication &agrave; ses interlocuteurs</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des contraintes sp&eacute;cifiques &agrave; l&rsquo;entreprise</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En collaborant au pilotage de l'optimisation d'un process</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : Fonctionnement nominal de l'&eacute;quipe</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : Fonctionnement de l'&eacute;quipe en mode d&eacute;grad&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : R&eacute;organisation de l'&eacute;quipe</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GIM 3MI 2022-C5,🔵 Sécuriser,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>S&eacute;curiser le fonctionnement d'un syst&egrave;me</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des r&eacute;glementations et contraintes techniques et environnementales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant la politique de s&eacute;curit&eacute; de l'entreprise</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En contr&ocirc;lant les conditions de s&eacute;curit&eacute; du syst&egrave;me</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en &oelig;uvre les moyens de pr&eacute;vention</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : Mise en service d'un syst&egrave;me</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : Exploitation d'un syst&egrave;me</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de : Intervention de maintenance sur un syst&egrave;me</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT GIM 3MI 2022-C1,PN LP-BUT GIM 3MI 2022-C1-L1,⭐ Effectuer des opérations de maintenance sur un élément d'un système pluritechnique,,,,,,,,,,,
PN LP-BUT GIM 3MI 2022-C1,PN LP-BUT GIM 3MI 2022-C1-L2,⭐⭐ Appliquer les différentes pratiques de maintenance sur un système pluritechnique,,,,,,,,,,,
PN LP-BUT GIM 3MI 2022-C1,PN LP-BUT GIM 3MI 2022-C1-L3,⭐⭐⭐ Concevoir les plans de maintenance,,,,,,,,,,,
PN LP-BUT GIM 3MI 2022-C2,PN LP-BUT GIM 3MI 2022-C2-L1,⭐ Remplacer un élément pour mettre à niveau le système,,,,,,,,,,,
