Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GMP II 2022,BUT Génie Mécanique et Productique - Parcours Innovation pour l'industrie,"<div class=""container text-center p-3"" style=""background: #4b0082;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/genie-mecanique-et-productique/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/44/21627-gmp-650-650-44595b5c.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-G%C3%A9nie-M%C3%A9canique-et-Productique"" data-line=""121""><span style=""color: #ffffff;"">BUT G&eacute;nie M&eacute;canique et Productique</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Innovation pour l'industrie</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Les titulaires du B.U.T. GMP du parcours Innovation pour l&rsquo;industrie peuvent assurer les missions courantes d&rsquo;un technicien<br>sup&eacute;rieur et manageur de proximit&eacute; dans le domaine m&eacute;canique avec en plus une ma&icirc;trise des outils et d&eacute;marches d&rsquo;innovation<br>et de propri&eacute;t&eacute; industrielle. Outre les m&eacute;tiers de conception, industrialisation et organisation industrielle, les m&eacute;tiers accessibles<br>sont :<br>&ndash; technicien avant-projet R&amp;D,<br>&ndash; assistant designer,<br>&ndash; assistant en propri&eacute;t&eacute; industrielle,<br>&ndash; assistant en veille technologique.<br></span></p>
<p data-line=""123""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe10 (PDF-2.06 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/13/4/spe617_annexe10_1426134.pdf"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; g&eacute;nie m&eacute;canique et productique : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GMP II 2022-C1,🔴 Spécifier,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Sp&eacute;cifier les exigences technico-&eacute;conomiques&nbsp;industrielles</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;pondant au besoin d'un client national et/ou international</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En d&eacute;terminant les param&egrave;tres caract&eacute;ristiques correspondant au besoin</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En traduisant de fa&ccedil;on pertinente et exhaustive les caract&eacute;ristiques attendues en exigences techniques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en oeuvre une m&eacute;thodologie adapt&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En situant la valeur ajout&eacute;e des exigences par rapport &agrave; l'existant</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Conception du produit : identifier les besoins des utilisateurs finaux et d&eacute;finir le cahier des charges du produit (d&eacute;finir les caract&eacute;ristiques attendues du produit)</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Industrialisation du produit : identifier les param&egrave;tres d&rsquo;&eacute;laboration, contraintes du produit (g&eacute;om&eacute;trie, mat&eacute;riaux, etc) pour chaque pi&egrave;ce et assemblage, contraintes&nbsp;clients (quantit&eacute;, qualit&eacute;, co&ucirc;t, d&eacute;lai, etc) et moyens &agrave; disposition</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Organisation industrielle : identifier les contraintes de production (capacit&eacute; de production, moyens disponibles, etc)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GMP II 2022-C2,🟠 Développer,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>D&eacute;terminer la solution conceptuelle</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les exigences d&rsquo;un cahier des charges</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant des solutions techniquement viables, &eacute;conomiquement conformes au CdC</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En validant chaque solution de fa&ccedil;on pertinente</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En classifiant les solutions selon des crit&egrave;res justifi&eacute;s et chiffr&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En formalisant la d&eacute;marche &agrave; accomplir avec des outils pertinents</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une d&eacute;marche collaborative</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Conception du produit : Proposer des solutions pr&eacute;liminaires, r&eacute;aliser des &eacute;tudes de pr&eacute;-dimensionnement au sens cin&eacute;matique, statique, dynamique, y-compris les<br>&eacute;nergies ; Identifier des solutions technologiques</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Industrialisation du produit : &Eacute;laborer et valider l&rsquo;APEF (Avant Projet d&rsquo;&Eacute;tude de Fabrication), la gamme de fabrication et d&rsquo;assemblage...</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Organisation industrielle : D&eacute;finir l&rsquo;implantation d&rsquo;une ligne de production avec les contraintes (cadence, proc&eacute;d&eacute;s de fabrication, hygi&egrave;ne et s&eacute;curit&eacute;, ergonomie,<br>humain...)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GMP II 2022-C3,🟡 Réaliser,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concr&eacute;tiser la solution technique retenue</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En d&eacute;finissant totalement une solution fonctionnelle et op&eacute;rationnelle</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En transformant la solution pr&eacute;liminaire en une solution industrielle optimale respectant l&rsquo;ensemble des contraintes technico-&eacute;conomiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En &eacute;laborant des documents m&eacute;tiers caract&eacute;risant la solution</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;appuyant sur les normes pour respecter la r&eacute;glementation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Conception du produit : r&eacute;aliser une conception d&eacute;taill&eacute;e (maquette num&eacute;rique du produit, cotation, dimensionnement, ...) pour une pi&egrave;ce ou un syst&egrave;me m&eacute;canique</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Industrialisation du produit : &eacute;laborer un dossier de production (contrat de phase, mod&egrave;le de montage, programme), mettre en oeuvre des postes ou &icirc;lots de production&nbsp;(fabrication, montage, contr&ocirc;le, conditionnement, ...)</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Organisation industrielle : d&eacute;finir les indicateurs de qualit&eacute;, &eacute;laborer les documents de suivi et de contr&ocirc;le (carte de contr&ocirc;le, capabilit&eacute;, ...), d&eacute;finir l'implantation</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GMP II 2022-C4,🟢 Exploiter,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>G&eacute;rer le cycle de vie du produit et du syst&egrave;me de<br>production</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant la gestion et la tra&ccedil;abilit&eacute; des flux physiques et de donn&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En valorisant les donn&eacute;es collect&eacute;es pour les traduire en consignes de pilotage coh&eacute;rentes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En appliquant une d&eacute;marche performante d&rsquo;am&eacute;lioration continue</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En v&eacute;rifiant et maintenant une qualit&eacute; optimale d&rsquo;un point de vue &eacute;conomique et technique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;appuyant sur des proc&eacute;dures et des standards</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Conception du produit (suivre la vie du produit) : g&eacute;rer le cycle de vie du produit (Product Lifecycle Management), int&eacute;grer retour clients issus du marketing</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Industrialisation du produit (suivre les proc&eacute;d&eacute;s de fabrication) : mettre en oeuvre une am&eacute;lioration continue, analyser des indicateurs de production et retours clients et<br>proposer des actions correctives (manuelles ou automatiques), maintenir un proc&eacute;d&eacute; de fabrication, mesurer les performances</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Organisation industrielle (exploiter le syst&egrave;me de production) : g&eacute;rer une ligne de production (planification et ordonnancement), mettre en oeuvre une am&eacute;lioration<br>continue, instrumenter en vue de l&rsquo;automatisation de la remont&eacute;e de donn&eacute;es</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GMP II 2022-C5,🔵 Innover,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Proposer des solutions innovantes pour r&eacute;pondre<br>&agrave; une probl&eacute;matique industrielle</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant une veille technologique et en int&eacute;grant notamment les outils de la propri&eacute;t&eacute; intellectuelle et de l'innovation ouverte</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une d&eacute;marche efficiente soutenant la cr&eacute;ativit&eacute; et l&rsquo;innovation de mani&egrave;re individuelle et collaborative</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant des outils pertinents au regard de la d&eacute;marche</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant convenablement les exigences conceptuelles pluridisciplinaires</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;pondant correctement aux besoins fonctionnels du produit/process</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une posture propice &agrave; l&rsquo;innovation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Conception de produit ou Industrialisation de produit ou organisation industrielle : Int&eacute;grer des outils li&eacute;s &agrave; la nouveaut&eacute; aboutissant &agrave; de nouvelles m&eacute;thodes de conception, identifier des sp&eacute;cificit&eacute;s li&eacute;es<br>aux nouveaux usages, proc&eacute;d&eacute;s, mat&eacute;riaux, mettre en oeuvre une d&eacute;marche de cr&eacute;ativit&eacute; collaborative et mobiliser des comp&eacute;tences pluridisciplinaires.</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT GMP II 2022-C1,PN LP-BUT GMP II 2022-C1-L1,⭐ Déterminer le besoin d’un client dans un cas simple,,,,,,,,,,,
PN LP-BUT GMP II 2022-C1,PN LP-BUT GMP II 2022-C1-L2,⭐⭐ Déterminer le besoin d’un client dans un cas industriel en collaboration,,,,,,,,,,,
PN LP-BUT GMP II 2022-C1,PN LP-BUT GMP II 2022-C1-L3,⭐⭐⭐ Déterminer le besoin d'un client dans un cas industriel,,,,,,,,,,,
PN LP-BUT GMP II 2022-C2,PN LP-BUT GMP II 2022-C2-L1,⭐ Proposer des solutions dans un cas simple,,,,,,,,,,,
