Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT GEII ESE 2022,BUT Génie Électrique et Informatique Industrielle - Parcours Électronique et systèmes embarqués,"<div class=""container text-center p-3"" style=""background: #8a005d;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/genie-electrique-et-informatique-industrielle/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/36/21628-geii-650-650-3616bfdb.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-G%C3%A9nie-%C3%89lectrique-et-Informatique-Industrielle"" data-line=""96""><span style=""color: #ffffff;"">BUT G&eacute;nie &Eacute;lectrique et Informatique Industrielle</span></h2>
<h3><span style=""color: #ffffff;"">Parcours &Eacute;lectronique et syst&egrave;mes embarqu&eacute;s</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Ce parcours, avec sa coloration &eacute;lectronique et syst&egrave;mes embarqu&eacute;s, am&egrave;nera l&rsquo;&eacute;tudiant &agrave; analyser, concevoir et r&eacute;aliser&nbsp;des syst&egrave;mes &eacute;lectroniques. En entreprise, les dipl&ocirc;m&eacute;s seront appel&eacute;s &agrave; encadrer des &eacute;quipes de techniciens et &agrave; travailler&nbsp;en collaboration avec des ing&eacute;nieurs afin d&rsquo;int&eacute;grer, de programmer, d&rsquo;installer, de mettre en communication et de maintenir&nbsp;tous ces &eacute;quipements &eacute;lectroniques autour de th&eacute;matiques li&eacute;es &agrave; des domaines comme la domotique (syst&egrave;me d&rsquo;alarme, station m&eacute;t&eacute;orologique, commande &agrave; distance, etc.), la robotique (robots mobiles, bras manipulateurs, etc.), les transports,<br>l&rsquo;a&eacute;ronautique et le spatial (syst&egrave;mes d&rsquo;aide &agrave; la conduite, drones, nano-satellite, etc.), l&rsquo;audiovisuel (salles de contr&ocirc;le a&eacute;rien, </span><span style=""color: #ffffff;"">pc s&eacute;curit&eacute;, etc.), la sant&eacute; (collecte et analyse des donn&eacute;es vitales pour des soins optimaux en temps r&eacute;el, etc.), l&rsquo;agricultureconnect&eacute;e&nbsp; (gestion automatis&eacute;e des parcelles agricoles, etc.), les sports (calcul de la vitesse d&rsquo;un tir, etc.), les objets connect&eacute;s (IoT) et l&rsquo;intelligence artificielle (IA). L&rsquo;&eacute;tudiant apprendra comment les syst&egrave;mes &eacute;lectroniques communiquent leurs donn&eacute;es&nbsp;par voie hertzienne ou par voie optique (infrarouge, fibre optique).<br>Les syst&egrave;mes embarqu&eacute;s pr&eacute;sentent la particularit&eacute; d&rsquo;&ecirc;tre des dispositifs autonomes dans leur fonctionnement et dans leur&nbsp;alimentation. Ils sont construits par association de diff&eacute;rents composants autour d&rsquo;un microcontr&ocirc;leur ou d&rsquo;un microprocesseur<br>qui ex&eacute;cute un programme. Les syst&egrave;mes embarqu&eacute;s sont pr&eacute;sents dans de nombreux objets du quotidien comme dans de&nbsp;tr&egrave;s nombreux pans de l&rsquo;industrie.<br>Avec le parcours &Eacute;lectronique et Syst&egrave;mes Embarqu&eacute;s, les &eacute;tudiants prendront part &agrave; cette r&eacute;volution industrielle et soci&eacute;tale !</span></p>
<p data-line=""98""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe8 (PDF-1.30 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/13/0/spe617_annexe8_1426130.pdf"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; g&eacute;nie &eacute;lectrique et informatique industrielle&nbsp;: programme national</a></span></p>
<p data-line=""4"">&nbsp;</p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT GEII ESE 2022-C1,🔴 Concevoir,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concevoir la partie GEII d&rsquo;un syst&egrave;me</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une approche holistique int&eacute;grant les innovations technologiques en lien avec la strat&eacute;gie de l&rsquo;entreprise pour r&eacute;pondre un&nbsp;besoin client.</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En produisant l&rsquo;ensemble des documents n&eacute;cessaires pour le client et les diff&eacute;rents prestataires</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En communiquant de fa&ccedil;on adapt&eacute;e avec les diff&eacute;rents acteurs avant et pendant la phase de conception.</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Conseil au client en menant une &eacute;tude de faisabilit&eacute; &agrave; partir d'un cahier des charges</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Chiffrage pour la r&eacute;alisation d'un prototype ou d&rsquo;un syst&egrave;me industriel en GEII</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Conception d&rsquo;un prototype ou d&rsquo;un sous syst&egrave;me &agrave; partir d'un cahier des charges partiel</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEII ESE 2022-C2,🟠 Vérifier,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>V&eacute;rifier la partie GEII d&rsquo;un syst&egrave;me</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des sp&eacute;cificit&eacute;s mat&eacute;rielles, r&eacute;glementaires et contextuelles</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en oeuvre un plan d&rsquo;essais et d&rsquo;&eacute;valuations, dans une vis&eacute;e d'analyse qualitative et corrective</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des enjeux &eacute;conomiques, environnementaux et r&eacute;glementaires de la soci&eacute;t&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mise en place d'un protocole de tests et de mesures dans les domaines de la gestion, production et ma&icirc;trise de l&rsquo;&eacute;nergie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mise en place d'un protocole de tests et de mesures dans les process industriels</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mise en place d'un protocole de tests et de mesures dans les syst&egrave;mes embarqu&eacute;s</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEII ESE 2022-C3,🟡 Maintenir,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Assurer le maintien en condition op&eacute;rationnelle&nbsp;d'un syst&egrave;me</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une communication proactive avec les diff&eacute;rents acteurs</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une approche holistique int&eacute;grant les nouvelles technologies et la transformation digitale</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Maintenance corrective, pr&eacute;ventive et am&eacute;liorative dans les domaines de la gestion, production et ma&icirc;trise de l&rsquo;&eacute;nergie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Maintenance corrective, pr&eacute;ventive et am&eacute;liorative dans les process industriels</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Maintenance corrective, pr&eacute;ventive et am&eacute;liorative dans les syst&egrave;mes embarqu&eacute;s</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT GEII ESE 2022-C4,🟢 Implanter,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Implanter un syst&egrave;me mat&eacute;riel ou logiciel</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des aspects organisationnels li&eacute;s aux contextes industriels, humains et environnementaux</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En garantissant un livrable conforme aux dossiers de conception, de fabrication et des normes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En garantissant un accompagnement client amont, aval et transverse dans une d&eacute;marche qualit&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Homologation d&rsquo;un protocole de r&eacute;alisation pour un nouvel &eacute;quipement industriel</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En garantissant un livrable conforme aux dossiers de conception, de fabrication et des normes</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En garantissant un accompagnement client amont, aval et transverse dans une d&eacute;marche qualit&eacute;</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT GEII ESE 2022-C1,PN LP-BUT GEII ESE 2022-C1-L1,⭐ Mener une conception partielle intégrant une démarche projet,,,,,,,,,,,
PN LP-BUT GEII ESE 2022-C1,PN LP-BUT GEII ESE 2022-C1-L2,⭐⭐ Concevoir un système en fiabilisant les solutions proposées,,,,,,,,,,,
PN LP-BUT GEII ESE 2022-C1,PN LP-BUT GEII ESE 2022-C1-L3,⭐⭐⭐ Concevoir un système en adoptant une approche sélective dans ses choix technologiques,,,,,,,,,,,
PN LP-BUT GEII ESE 2022-C2,PN LP-BUT GEII ESE 2022-C2-L1,⭐ Effectuer les tests et mesures nécessaires à une vérification d’un système,,,,,,,,,,,
PN LP-BUT GEII ESE 2022-C2,PN LP-BUT GEII ESE 2022-C2-L2,⭐⭐ Mettre en place un protocole de tests pour valider le fonctionnement d’un système,,,,,,,,,,,
