Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT HSE SDMRPTE 2022,BUT Hygiène-Sécurité-Environnement - Parcours SDMRPTE,"<div class=""container text-center p-3"" style=""background: #cc0000;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/hygiene-securite-environnement/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/52/21629-hse-650-650-5273a3ea.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Hygi%C3%A8ne-S%C3%A9curit%C3%A9-Environnement"" data-line=""160""><span style=""color: #ffffff;"">BUT Hygi&egrave;ne-S&eacute;curit&eacute;-Environnement</span></h2>
<h3><span style=""color: #ffffff;"">Science du danger et management des risques professionnels,<br>technologiques et environnementaux</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Comme indiqu&eacute; pr&eacute;c&eacute;demment et puisqu&rsquo;il forme des g&eacute;n&eacute;ralistes de la gestion des risques, le B.U.T. HSE est constitu&eacute; d&rsquo;un&nbsp;parcours unique , science du danger et management des risques professionnels, technologiques et environnementaux.<br>Les groupes de travaux dirig&eacute;s accueillent 26 &eacute;tudiants et les groupes de travaux pratiques 13 &eacute;tudiants. Il est &agrave; noter que pour&nbsp;tenir compte d&rsquo;imp&eacute;ratifs de s&eacute;curit&eacute;, l&rsquo;effectif de ces groupes peut &ecirc;tre plus restreint. Par exemple l&rsquo;effectif des groupes&nbsp;de TP peut &ecirc;tre r&eacute;duit pour des travaux pratiques de combustion, d&rsquo;&eacute;lectricit&eacute;, de chimie appliqu&eacute;e au HSE, risque chimique,&nbsp;risque biologique ou risque radiologique.<br>Les enseignements du B.U.T. HSE peuvent &ecirc;tre prolong&eacute;s par des certifications professionnelles comme le SST (Sauveteur&nbsp;Secouriste du Travail), le SSIAP3 (Chef de Service de S&eacute;curit&eacute;, Incendie et d&rsquo;Assistance aux Personnes) ou la PCR (Personne&nbsp;Comp&eacute;tence en Radioprotection). Ces certifications peuvent &ecirc;tre travaill&eacute;es au sein de la formation ou &agrave; l&rsquo;issue de celle-ci.<br>Selon les cas et les dispositions r&eacute;glementaires particuli&egrave;res, la certification peut &ecirc;tre acquise par un module de formation par<br>&eacute;quivalence en liaison avec le B.U.T. HSE.</span></p>
<p data-line=""162""><span style=""color: #ffffff;""><a style=""color: #ffffff;"" title=""spe617_annexe13 (PDF-700.06 Ko-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/14/2/spe617_annexe13_1426142.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; hygi&egrave;ne, s&eacute;curit&eacute;, environnement : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT HSE SDMRPTE 2022-C1,🔴 Analyser,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser les risques professionnels,<br>technologiques et environnementaux</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant de mani&egrave;re pertinente la r&eacute;glementation et les autres r&eacute;f&eacute;rentiels appropri&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en adaptant sa d&eacute;marche d'analyse au contexte</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en identifiant les dangers inh&eacute;rents &agrave; la situation, leurs sources et leurs cibles</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en employant des m&eacute;thodes d'analyse des risques (mesures, observations, entretiens) judicieusement choisies</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en d&eacute;ployant des m&eacute;thodes qualitatives et quantitatives d'&eacute;valuation des risques adapt&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en jugeant de l'acceptabilit&eacute; des risques dans le contexte donn&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que charg&eacute; du management des risques en sant&eacute; s&eacute;curit&eacute; au travail</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que charg&eacute; du management des risques pour les installations</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que charg&eacute; du management des risques pour les populations</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que charg&eacute; du management des risques pour l'environnement</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT HSE SDMRPTE 2022-C2,🟠 Maîtriser,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Ma&icirc;triser les risques professionnels,&nbsp;technologiques et environnementaux (PTE)</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;laborant des mesures de protection en lien avec l'&eacute;valuation des risques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant de mani&egrave;re pertinente la r&eacute;glementation, les normes et les proc&eacute;dures HSE appropri&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en tenant compte des aspects techniques, humains et organisationnels (THO)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en planifiant des mesures de pr&eacute;vention et de protection des risques PTE adapt&eacute;es dans le cadre d'une d&eacute;marche d'am&eacute;lioration continue</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en oeuvre judicieusement le plan d'actions d&eacute;fini</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que charg&eacute; du management des risques en sant&eacute; s&eacute;curit&eacute; au travail</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que charg&eacute; du management des risques pour les installations</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que charg&eacute; du management des risques pour les populations</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que charg&eacute; du management des risques pour l'environnement</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT HSE SDMRPTE 2022-C3,🟡 Urgences,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>R&eacute;pondre aux situations d'urgence et de crise</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en appr&eacute;hendant l&rsquo;organisation territoriale des dispositifs d&rsquo;intervention en cas d&rsquo;accident</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en appliquant de mani&egrave;re pertinente la r&eacute;glementation appropri&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en tenant compte des aspects THO appropri&eacute;s et des capacit&eacute;s de r&eacute;silience des organisations</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en communiquant de mani&egrave;re adapt&eacute;e avec les diff&eacute;rents acteurs</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en assurant l&rsquo;int&eacute;grit&eacute; des personnes, des biens, de l'environnement et des informations vitales</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que charg&eacute; du management HSE de l'organisation</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que repr&eacute;sentant des autorit&eacute;s comp&eacute;tentes</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT HSE SDMRPTE 2022-C4,🟢 Animer,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Animer la d&eacute;marche Qualit&eacute; Hygi&egrave;ne Sant&eacute;&nbsp;S&eacute;curit&eacute; Environnement (QHSSE)</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s&rsquo;adaptant &agrave; la situation de communication, y compris dans un contexte international</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en promouvant la culture QHSSE</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s'appuyant sur des r&eacute;seaux professionnels et des &eacute;quipes pluridisciplinaires</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant de mani&egrave;re appropri&eacute;e les nouvelles technologies de l&rsquo;information et de la communication</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en oeuvre la m&eacute;thodologie et les outils propres &agrave; la conduite de projets</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en encourageant une d&eacute;marche participative et la coh&eacute;sion de groupe</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que charg&eacute; du management HSE de l'organisation</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que membre d'organismes de conseil</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que membre d'organismes de contr&ocirc;le</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT HSE SDMRPTE 2022-C5,🔵 Manager le QHSSE,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Accompagner la direction dans son management&nbsp;QHSSE</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant les principes du d&eacute;veloppement durable (DD) et de la responsabilit&eacute; soci&eacute;tale (RSE/RSO)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant une d&eacute;marche d'am&eacute;lioration continue</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en assurant une veille technique et r&egrave;glementaire pertinente</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en place de mani&egrave;re appropri&eacute;e le syst&egrave;me de management int&eacute;gr&eacute; et/ou de la s&ucirc;ret&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en tenant compte des aspects organisationnels, humains, techniques et &eacute;conomiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en rendant compte des r&eacute;sultats obtenus en QHSSE de mani&egrave;re structur&eacute;e et transparente</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que charg&eacute; du management HSE de l'organisation</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que membre d'organismes de conseil</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en tant que membre d'organismes de contr&ocirc;le</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT HSE SDMRPTE 2022-C1,PN LP-BUT HSE SDMRPTE 2022-C1-L1,⭐ Analyser les risques PTE dans un contexte simple,,,,,,,,,,,
PN LP-BUT HSE SDMRPTE 2022-C1,PN LP-BUT HSE SDMRPTE 2022-C1-L2,⭐⭐ Analyser les risques PTE d'une structure,,,,,,,,,,,
PN LP-BUT HSE SDMRPTE 2022-C1,PN LP-BUT HSE SDMRPTE 2022-C1-L3,⭐⭐⭐ Piloter la démarche d'analyse des risques PTE,,,,,,,,,,,
PN LP-BUT HSE SDMRPTE 2022-C2,PN LP-BUT HSE SDMRPTE 2022-C2-L1,⭐ Maîtriser les risques PTE dans un contexte simple,,,,,,,,,,,
