Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT InfoCom COMOR 2022,BUT Information-Communication - Parcours Communication des organisations,"<div class=""container text-center p-3"" style=""background: #0099cc;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/information-communication/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/a7/21630-infocom-650-650-a73fbc8e.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Information-Communication"" data-line=""175""><span style=""color: #ffffff;"">BUT Information-Communication</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Communication des organisations</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours Communication des organisations forme des communicants dont la t&acirc;che est de valoriser l&rsquo;image d&rsquo;organisations&nbsp;dans lesquelles ils travaillent ou pour lesquelles ils sont engag&eacute;s. Ces sp&eacute;cialistes de la communication d&eacute;terminent, accompagnent&nbsp;ou mettent en oeuvre la strat&eacute;gie de communication de l&rsquo;organisation qui les emploie, dans le but de valoriser son&nbsp;image, en interne comme en externe. Pour cela, ils cr&eacute;ent et r&eacute;alisent des supports de communication sous diff&eacute;rentes formes&nbsp;en fonction des publics vis&eacute;s. Dot&eacute;s de comp&eacute;tences relationnelles, ils mettent en place des actions de communication et de&nbsp;relations avec les publics. Les communicants et communicantes sont des cr&eacute;ateurs de valeur par la diffusion et la promotion&nbsp;de l&rsquo;information.<br>Les deux comp&eacute;tences communes &agrave; tous les parcours :<br>&bull; Analyser les pratiques et les enjeux li&eacute;s &agrave; l&rsquo;information et &agrave; la communication au niveau local, national et international<br>&bull; Informer et communiquer au sein des organisations<br>Les comp&eacute;tences sp&eacute;cifiques au parcours Communication des organisations :<br>&bull; Concevoir une strat&eacute;gie communication<br>&bull; &Eacute;laborer des moyens de communication (m&eacute;dias, print, num&eacute;riques, &eacute;v&eacute;nementiels)<br>&bull; Piloter les relations avec les parties prenantes (prestataires, commanditaires, publics, usagers, clients...)<br></span></p>
<p data-line=""177""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe14 (PDF-2.77 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/14/4/spe617_annexe14_1426144.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; information-communication : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT InfoCom COMOR 2022-C1,🔴 Décrypter,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser les pratiques et les enjeux li&eacute;s &agrave;&nbsp;l'information et &agrave; la communication au niveau&nbsp;local, national et international</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'appuyant sur les th&eacute;ories et mod&egrave;les des sciences de l'information et de la communication et des sciences humaines et sociales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des enjeux environnementaux et soci&eacute;taux de l&rsquo;information et de la communication (socio-&eacute;conomiques, m&eacute;diatiques,&nbsp;juridiques, politiques, &eacute;cologiques, &eacute;thiques...)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En comprenant le fonctionnement des organisations et instituti</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En se pla&ccedil;ant dans une perspective internationale et interculturelleons</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mobilisant des ressources artistiques et culturelles pertinentes</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Au sein d&rsquo;une organisation avec ses collaborateurs et sa hi&eacute;rarchie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans un r&eacute;seau professionnel de prestataires et partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En direction des publics, usagers, clients</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom COMOR 2022-C2,🟠 Partager,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Informer et communiquer au sein des&nbsp;organisations</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En ma&icirc;trisant la langue fran&ccedil;aise et deux langues &eacute;trang&egrave;res</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant des supports multim&eacute;dias online / offline (images, vid&eacute;os, documents, supports visuels...) &agrave; l&rsquo;aide d&rsquo;outils et de m&eacute;thodes&nbsp;professionnels</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En organisant une diffusion efficace aux diff&eacute;rentes parties prenantes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des enjeux propres aux soci&eacute;t&eacute;s contemporaines</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Au sein d&rsquo;une organisation avec ses collaborateurs et sa hi&eacute;rarchie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans un r&eacute;seau professionnel de prestataires et partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En direction des publics, usagers, clients</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom COMOR 2022-C3,🟡 Concevoir,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concevoir une strat&eacute;gie communication</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En analysant la demande et le contexte du commanditaire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant les cibles et les ressources</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En formulant une recommandation incluant une strat&eacute;gie et des canaux de communication</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En pilotant un projet de communication dans le respect du cadre r&eacute;glementaire</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En r&eacute;ponse &agrave; un brief ou &agrave; un cahier des charges d'un commanditaire public, priv&eacute; ou de l'&eacute;conomie sociale et solidaire</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de la d&eacute;finition d'une strat&eacute;gie de communication interne</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de la d&eacute;finition d'une strat&eacute;gie de communication externe</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom COMOR 2022-C4,🟢 Élaborer,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>&Eacute;laborer des moyens de communication (m&eacute;dias,&nbsp;print, num&eacute;riques, &eacute;v&eacute;nementiels)</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En suivant une ligne &eacute;ditoriale ou une strat&eacute;gie d&eacute;finie</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En cr&eacute;ant des supports de communication</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En &eacute;laborant des concepts cr&eacute;atifs</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte les tendances, les enjeux et les &eacute;volutions &eacute;conomiques, culturelles, technologiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En se mettant en conformit&eacute; avec les r&egrave;gles juridiques li&eacute;es &agrave; la conception &eacute;ditoriale et &agrave; la production de supports de communication</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les contraintes budg&eacute;taires et l'environnement sociotechnique de l'organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre d&rsquo;une production interne</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre du pilotage de la cr&eacute;ation ou de la production par un sous-traitant</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom COMOR 2022-C5,🔵 Piloter,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Piloter les relations avec les parties prenantes<br>(prestataires, commanditaires, publics, usagers,&nbsp;clients...)</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant les besoins sp&eacute;cifiques des parties prenantes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;pondant aux besoins &agrave; l'aide de m&eacute;thodologies et d'outils</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En optimisant les solutions propos&eacute;es au regard des contraintes techniques, budg&eacute;taires, humaines, organisationnelles, juridiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En effectuant un suivi quantitatif et qualitatif des actions</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'inscrivant dans la strat&eacute;gie de communication</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant les enjeux &eacute;thiques dans la relation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En situation de relation sociale ou associative</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En situation de relation commerciale ou financi&egrave;re</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En situation de relation avec les publics ou les institutions territoriales</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En situation de gestion et d'animation de communaut&eacute; num&eacute;rique</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT InfoCom COMOR 2022-C1,PN LP-BUT InfoCom COMOR 2022-C1-L1,⭐ Comprendre les enjeux de l'infocom pour le fonctionnement des organisations,,,,,,,,,,,
PN LP-BUT InfoCom COMOR 2022-C1,PN LP-BUT InfoCom COMOR 2022-C1-L2,⭐⭐ Analyser et mettre oeuvre les pratiques de l'info-com nécessaires aux organisations,,,,,,,,,,,
PN LP-BUT InfoCom COMOR 2022-C1,PN LP-BUT InfoCom COMOR 2022-C1-L3,⭐⭐⭐ Intégrer les enjeux infocommunicationnels d’une organisation,,,,,,,,,,,
PN LP-BUT InfoCom COMOR 2022-C2,PN LP-BUT InfoCom COMOR 2022-C2-L1,⭐ Informer et communiquer en contexte pré-professionnel,,,,,,,,,,,
