Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT InfoCom INFONUM 2022,BUT Information-Communication - Parcours Information numérique dans les organisations,"<div class=""container text-center p-3"" style=""background: #0099cc;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/information-communication/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/a7/21630-infocom-650-650-a73fbc8e.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Information-Communication"" data-line=""175""><span style=""color: #ffffff;"">BUT Information-Communication</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Information num&eacute;rique dans les organisations</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours Information num&eacute;rique dans les organisations forme des sp&eacute;cialistes du traitement et de la valorisation de l&rsquo;information.<br>Ils sont appel&eacute;s &agrave; mettre en place des dispositifs d&rsquo;acc&egrave;s &agrave; l&rsquo;information pour tous les acteurs des organisations pour&nbsp;lesquelles ils travaillent. Ces sp&eacute;cialistes m&egrave;nent des actions de communication autour des ressources documentaires et des&nbsp;services offerts. Ils accompagnent les usagers dans leurs recherches d&rsquo;information ou les forment &agrave; utiliser des outils d&eacute;di&eacute;s&nbsp;(moteurs de recherche, catalogues...).<br>Les deux comp&eacute;tences communes &agrave; tous les parcours :<br>&bull; Analyser les pratiques et les enjeux li&eacute;s &agrave; l&rsquo;information et &agrave; la communication au niveau local, national et international<br>&bull; Informer et communiquer au sein des organisations<br>Les comp&eacute;tences sp&eacute;cifiques au parcours Information num&eacute;rique dans les organisations :<br>&bull; D&eacute;ployer un environnement informationnel<br>&bull; Concevoir une d&eacute;marche de veille<br>&bull; Valoriser l&rsquo;information num&eacute;rique<br></span></p>
<p data-line=""177""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe14 (PDF-2.77 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/14/4/spe617_annexe14_1426144.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; information-communication : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT InfoCom INFONUM 2022-C1,🔴 Décrypter,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser les pratiques et les enjeux li&eacute;s &agrave;&nbsp;l'information et &agrave; la communication au niveau&nbsp;local, national et international</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'appuyant sur les th&eacute;ories et mod&egrave;les des sciences de l'information et de la communication et des sciences humaines et sociales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des enjeux environnementaux et soci&eacute;taux de l&rsquo;information et de la communication (socio-&eacute;conomiques, m&eacute;diatiques,&nbsp;juridiques, politiques, &eacute;cologiques, &eacute;thiques...)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En comprenant le fonctionnement des organisations et instituti</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En se pla&ccedil;ant dans une perspective internationale et interculturelleons</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mobilisant des ressources artistiques et culturelles pertinentes</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Au sein d&rsquo;une organisation avec ses collaborateurs et sa hi&eacute;rarchie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans un r&eacute;seau professionnel de prestataires et partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En direction des publics, usagers, clients</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom INFONUM 2022-C2,🟠 Partager,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Informer et communiquer au sein des&nbsp;organisations</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En ma&icirc;trisant la langue fran&ccedil;aise et deux langues &eacute;trang&egrave;res</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant des supports multim&eacute;dias online / offline (images, vid&eacute;os, documents, supports visuels...) &agrave; l&rsquo;aide d&rsquo;outils et de m&eacute;thodes&nbsp;professionnels</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En organisant une diffusion efficace aux diff&eacute;rentes parties prenantes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des enjeux propres aux soci&eacute;t&eacute;s contemporaines</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Au sein d&rsquo;une organisation avec ses collaborateurs et sa hi&eacute;rarchie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans un r&eacute;seau professionnel de prestataires et partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En direction des publics, usagers, clients</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom INFONUM 2022-C3,🟡 Déployer,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>D&eacute;ployer un environnement informationnel</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant les besoins des organisations et des usagers</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En d&eacute;finissant les politiques d'acc&egrave;s &agrave; l&rsquo;information num&eacute;rique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En concevant un projet de gestion de l'information documentaire interne et/ou externe de l'organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans les organisations : Les livrables sont effectu&eacute;s en interne dans l'objectif de participer au d&eacute;veloppement de l'intelligence &eacute;conomique ou de l'intelligence collective de l&rsquo;organisation</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans les structures de consulting : Les livrables se font dans un objectif de d&eacute;veloppement et conseils, soit en agence de consultant, soit avec des prestataires ext&eacute;rieurs &agrave; la structure qui d&eacute;ploient des&nbsp;solutions de gestion de l'information</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom INFONUM 2022-C4,🟢 Veiller,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concevoir une d&eacute;marche de veille</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En connaissant/identifiant toutes les sources et les techniques de recherche d&rsquo;informations</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En concevant un syst&egrave;me de veille avec les outils adapt&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En participant &agrave; l'intelligence collective de l&rsquo;organisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans les organisations : Les livrables sont effectu&eacute;s en interne dans l'objectif de participer au d&eacute;veloppement de l'intelligence &eacute;conomique ou de l'intelligence collective de l&rsquo;organisation</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans les structures de consulting : Les livrables se font dans un objectif de d&eacute;veloppement et conseils, soit en agence de consultant, soit avec des prestataires ext&eacute;rieurs &agrave; la structure qui d&eacute;ploient des&nbsp;solutions de gestion de l'information</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom INFONUM 2022-C5,🔵 Valoriser,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Valoriser l'information num&eacute;rique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En concevant et en animant un r&eacute;seau social entreprise</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;digeant et en faisant &eacute;voluer les contenus selon les besoins et les r&egrave;gles de r&eacute;f&eacute;rencement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En formalisant une strat&eacute;gie num&eacute;rique de valorisation de l'information</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans les organisations : Les livrables sont effectu&eacute;s en interne dans l'objectif de participer au d&eacute;veloppement de l'intelligence &eacute;conomique ou de l'intelligence collective de l&rsquo;organisation</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans les structures de consulting : Les livrables se font dans un objectif de d&eacute;veloppement et conseils, soit en agence de consultant, soit avec des prestataires ext&eacute;rieurs &agrave; la structure qui d&eacute;ploient des<br>solutions de gestion de l'information</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT InfoCom INFONUM 2022-C1,PN LP-BUT InfoCom INFONUM 2022-C1-L1,⭐ Comprendre les enjeux de l'infocom pour le fonctionnement des organisations,,,,,,,,,,,
PN LP-BUT InfoCom INFONUM 2022-C1,PN LP-BUT InfoCom INFONUM 2022-C1-L2,⭐⭐ Analyser et mettre oeuvre les pratiques de l'info-com nécessaires aux organisations,,,,,,,,,,,
PN LP-BUT InfoCom INFONUM 2022-C1,PN LP-BUT InfoCom INFONUM 2022-C1-L3,⭐⭐⭐ Intégrer les enjeux infocommunicationnels d’une organisation,,,,,,,,,,,
PN LP-BUT InfoCom INFONUM 2022-C2,PN LP-BUT InfoCom INFONUM 2022-C2-L1,⭐ Informer et communiquer en contexte pré-professionnel,,,,,,,,,,,
