Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT InfoCom JOU 2022,BUT Information-Communication - Parcours Journalisme,"<div class=""container text-center p-3"" style=""background: #0099cc;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/information-communication/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/a7/21630-infocom-650-650-a73fbc8e.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Information-Communication"" data-line=""175""><span style=""color: #ffffff;"">BUT Information-Communication</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Journalisme</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours Journalisme forme des sp&eacute;cialistes de l&rsquo;information qui ont pour objectif de rendre compte de l&rsquo;actualit&eacute; en apportant&nbsp;leur propre analyse et leur &eacute;clairage. Ils poss&egrave;dent les savoirs n&eacute;cessaires &agrave; la mise en perspective de l&rsquo;&eacute;v&eacute;nement,&nbsp;et choisissent des outils et des techniques de traitement de l&rsquo;information en fonction des diff&eacute;rents publics et des supports. Ils&nbsp;ma&icirc;trisent les diff&eacute;rents genres journalistiques, la hi&eacute;rarchisation de l&rsquo;information, la construction d&rsquo;angles de traitement, les&nbsp;pratiques r&eacute;dactionnelles et les exigences techniques sp&eacute;cifiques &agrave; chaque m&eacute;dia (presse &eacute;crite print et web, radio, t&eacute;l&eacute;vision...).<br>Les deux comp&eacute;tences communes &agrave; tous les parcours :<br>&bull; Analyser les pratiques et les enjeux li&eacute;s &agrave; l&rsquo;information et &agrave; la communication au niveau local, national et international<br>&bull; Informer et communiquer au sein des organisations<br>Les comp&eacute;tences sp&eacute;cifiques au parcours Journalisme :<br>&bull; Garantir une information ind&eacute;pendante qui participe au d&eacute;bat public<br>&bull; Chercher les donn&eacute;es utiles &agrave; la production de l&rsquo;information<br>&bull; Produire une information construite<br>&bull; Valoriser l&rsquo;information en accroissant sa visibilit&eacute; et son partage<br></span></p>
<p data-line=""177""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe14 (PDF-2.77 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/14/4/spe617_annexe14_1426144.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; information-communication : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT InfoCom JOU 2022-C1,🔴 Décrypter,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser les pratiques et les enjeux li&eacute;s &agrave;&nbsp;l'information et &agrave; la communication au niveau&nbsp;local, national et international</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'appuyant sur les th&eacute;ories et mod&egrave;les des sciences de l'information et de la communication et des sciences humaines et sociales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des enjeux environnementaux et soci&eacute;taux de l&rsquo;information et de la communication (socio-&eacute;conomiques, m&eacute;diatiques,&nbsp;juridiques, politiques, &eacute;cologiques, &eacute;thiques...)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En comprenant le fonctionnement des organisations et instituti</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En se pla&ccedil;ant dans une perspective internationale et interculturelleons</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mobilisant des ressources artistiques et culturelles pertinentes</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Au sein d&rsquo;une organisation avec ses collaborateurs et sa hi&eacute;rarchie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans un r&eacute;seau professionnel de prestataires et partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En direction des publics, usagers, clients</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom JOU 2022-C2,🟠 Partager,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Informer et communiquer au sein des&nbsp;organisations</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En ma&icirc;trisant la langue fran&ccedil;aise et deux langues &eacute;trang&egrave;res</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant des supports multim&eacute;dias online / offline (images, vid&eacute;os, documents, supports visuels...) &agrave; l&rsquo;aide d&rsquo;outils et de m&eacute;thodes&nbsp;professionnels</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En organisant une diffusion efficace aux diff&eacute;rentes parties prenantes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des enjeux propres aux soci&eacute;t&eacute;s contemporaines</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Au sein d&rsquo;une organisation avec ses collaborateurs et sa hi&eacute;rarchie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans un r&eacute;seau professionnel de prestataires et partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En direction des publics, usagers, clients</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom JOU 2022-C3,🟡 Garantir,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Garantir une information ind&eacute;pendante qui<br>participe au d&eacute;bat public</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En se r&eacute;f&eacute;rant aux chartes nationales et internationales publi&eacute;es par les organisations professionnelles et en prenant en compte le contexte</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant les situations d'ing&eacute;rence ou d'influence (&eacute;conomique, politique...) et les risques de censure et d&rsquo;auto-censure</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En rep&eacute;rant les interlocuteurs privil&eacute;gi&eacute;s en cas de manquement aux r&egrave;gles de d&eacute;ontologie</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une posture &eacute;thique non stigmatisante (d&eacute;construction des clich&eacute;s et des st&eacute;r&eacute;otypes, &eacute;galit&eacute; hommes-femmes, sensibilisation aux discriminations li&eacute;es au genre, au sexe, &agrave; la religion, aux origines ethniques)</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En conf&eacute;rence de r&eacute;daction</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En conf&eacute;rence de presse et en interaction avec les charg&eacute;s de relations publiques</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Sur le terrain</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En desk</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le processus de production et de diffusion de l&rsquo;information</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom JOU 2022-C4,🟢 Chercher,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Chercher les donn&eacute;es utiles &agrave; la production de<br>l'information</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des contextes et des enjeux</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant les sources d'information</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En v&eacute;rifiant la fiabilit&eacute; des informations</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En recoupant les sources d&rsquo;information</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les codes de d&eacute;ontologie notamment en mati&egrave;re de vie priv&eacute;e</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Sur le terrain</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En desk</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom JOU 2022-C5,🔵 Produire,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Produire une information construite</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'adaptant aux sp&eacute;cificit&eacute;s des diff&eacute;rentes &eacute;critures journalistiques (print, radio, t&eacute;l&eacute;vision, web)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mobilisant les comp&eacute;tences techniques n&eacute;cessaires &agrave; la production de l'information (maquettage, prises de vue, montage,<br>infographie...)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des contraintes organisationnelles des diff&eacute;rents m&eacute;dias</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En participant &agrave; l&rsquo;&eacute;laboration d'une ligne &eacute;ditoriale</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des diff&eacute;rents publics</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Production d'un contenu &eacute;ditorial pour la presse &eacute;crite</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Production d'un contenu &eacute;ditorial pour la radio</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Production d'un contenu &eacute;ditorial pour la t&eacute;l&eacute;vision</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Production d'un contenu &eacute;ditorial pour le web</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom JOU 2022-C6,🟣 Valoriser,"<div class=""container"" style=""border: solid 4px #8d65c5; padding-top: 1em; background: linear-gradient(180deg,rgba(141, 101, 197,1)0%,rgba(141, 101, 197,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Valoriser l&rsquo;information en accroissant sa visibilit&eacute;<br>et son partage</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En g&eacute;rant en direct ou en diff&eacute;r&eacute; les flux d&rsquo;information sortants</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prot&eacute;geant les donn&eacute;es et les sources</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En g&eacute;rant son identit&eacute; personnelle et professionnelle en tant que journaliste (ex : utilisation des r&eacute;seaux sociaux, e-r&eacute;putation...)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;appuyant sur les techniques de r&eacute;f&eacute;rencement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant le droit de l&rsquo;information</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En situation de diffusion de l&rsquo;information</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT InfoCom JOU 2022-C1,PN LP-BUT InfoCom JOU 2022-C1-L1,⭐ Comprendre les enjeux de l'infocom pour le fonctionnement des organisations,,,,,,,,,,,
PN LP-BUT InfoCom JOU 2022-C1,PN LP-BUT InfoCom JOU 2022-C1-L2,⭐⭐ Analyser et mettre oeuvre les pratiques de l'info-com nécessaires aux organisations,,,,,,,,,,,
PN LP-BUT InfoCom JOU 2022-C1,PN LP-BUT InfoCom JOU 2022-C1-L3,⭐⭐⭐ Intégrer les enjeux infocommunicationnels d’une organisation,,,,,,,,,,,
