Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT InfoCom MLP 2022,BUT Information-Communication - Parcours Métiers du livre et du patrimoine,"<div class=""container text-center p-3"" style=""background: #0099cc;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/information-communication/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/a7/21630-infocom-650-650-a73fbc8e.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Information-Communication"" data-line=""175""><span style=""color: #ffffff;"">BUT Information-Communication</span></h2>
<h3><span style=""color: #ffffff;"">Parcours M&eacute;tiers du livre et du patrimoine</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours M&eacute;tiers du livre et du patrimoine a pour objectif de former des professionnels susceptibles d&rsquo;exercer dans les&nbsp;diff&eacute;rents secteurs de la cha&icirc;ne du livre et de la culture, principalement les biblioth&egrave;ques, les librairies, les maisons d&rsquo;&eacute;dition,&nbsp;les mus&eacute;es et des services &agrave; caract&egrave;re patrimonial. Il offre une formation dans la production, la diffusion et la gestion des&nbsp;collections. Il permet une compr&eacute;hension des enjeux li&eacute;s &agrave; la culture du livre et du patrimoine, et une ma&icirc;trise des formes de&nbsp;m&eacute;diation, de cr&eacute;ation ou de commercialisation adapt&eacute;es &agrave; tous les publics.<br>Sensible aux mutations des pratiques culturelles, ce parcours pr&eacute;pare &agrave; des m&eacute;tiers li&eacute;s aux missions en &eacute;mergence (nouvelles<br>pratiques sociales et citoyennes de m&eacute;diation et de diffusion des savoirs, vie &eacute;v&eacute;nementielle, nouveaux traitements des<br>collections, mise &agrave; disposition et partage des contenus physiques et num&eacute;riques).<br>Chaque IUT d&eacute;cline une ou plusieurs sp&eacute;cialisations : biblioth&egrave;que, librairie, &eacute;dition, mus&eacute;e et patrimoine. Il convient de se<br>renseigner sur les sp&eacute;cialisations offertes par chacun de fa&ccedil;on &agrave; choisir celle qui convient &agrave; son projet.<br></span></p>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Les deux comp&eacute;tences communes &agrave; tous les parcours :<br>&bull; Analyser les pratiques et les enjeux li&eacute;s &agrave; l&rsquo;information et &agrave; la communication au niveau local, national et international<br>&bull; Informer et communiquer au sein des organisations<br>Les comp&eacute;tences sp&eacute;cifiques au parcours M&eacute;tiers du livre et du patrimoine :<br>&bull; D&eacute;velopper une offre culturelle<br>&bull; Organiser des dispositifs de m&eacute;diation, de communication ou de vente<br>&bull; G&eacute;rer une organisation culturelle</span></p>
<p data-line=""177""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe14 (PDF-2.77 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/14/4/spe617_annexe14_1426144.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; information-communication : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT InfoCom MLP 2022-C1,🔴 Décrypter,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser les pratiques et les enjeux li&eacute;s &agrave;&nbsp;l'information et &agrave; la communication au niveau&nbsp;local, national et international</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'appuyant sur les th&eacute;ories et mod&egrave;les des sciences de l'information et de la communication et des sciences humaines et sociales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des enjeux environnementaux et soci&eacute;taux de l&rsquo;information et de la communication (socio-&eacute;conomiques, m&eacute;diatiques,&nbsp;juridiques, politiques, &eacute;cologiques, &eacute;thiques...)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En comprenant le fonctionnement des organisations et instituti</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En se pla&ccedil;ant dans une perspective internationale et interculturelleons</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mobilisant des ressources artistiques et culturelles pertinentes</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Au sein d&rsquo;une organisation avec ses collaborateurs et sa hi&eacute;rarchie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans un r&eacute;seau professionnel de prestataires et partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En direction des publics, usagers, clients</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom MLP 2022-C2,🟠 Partager,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Informer et communiquer au sein des&nbsp;organisations</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En ma&icirc;trisant la langue fran&ccedil;aise et deux langues &eacute;trang&egrave;res</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant des supports multim&eacute;dias online / offline (images, vid&eacute;os, documents, supports visuels...) &agrave; l&rsquo;aide d&rsquo;outils et de m&eacute;thodes&nbsp;professionnels</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En organisant une diffusion efficace aux diff&eacute;rentes parties prenantes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des enjeux propres aux soci&eacute;t&eacute;s contemporaines</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Au sein d&rsquo;une organisation avec ses collaborateurs et sa hi&eacute;rarchie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans un r&eacute;seau professionnel de prestataires et partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En direction des publics, usagers, clients</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom MLP 2022-C3,🟡 Développer,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>D&eacute;velopper une offre culturelle</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En construisant une culture g&eacute;n&eacute;rale et une connaissance sp&eacute;cifique des domaines culturels</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte de l&rsquo;&eacute;cosyst&egrave;me des organisations culturelles et des politiques culturelles</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;pondant aux besoins des publics et des march&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant les singularit&eacute;s des territoires et des strat&eacute;gies d&rsquo;&eacute;tablissement</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations priv&eacute;es</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations publiques</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom MLP 2022-C4,🟢 Organiser,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Organiser des dispositifs de m&eacute;diation, de&nbsp;communication ou de vente</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant l&rsquo;offre de formation &agrave; disposition des publics ou des clients</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant une strat&eacute;gie de communication adapt&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en oeuvre des services, des animations ou une strat&eacute;gie de vente</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations priv&eacute;es</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations publiques</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom MLP 2022-C5,🔵 Gérer,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>G&eacute;rer une organisation culturelle</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les logiques et les valeurs inh&eacute;rentes aux m&eacute;tiers du livre et du patrimoine</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mobilisant des ressources financi&egrave;res et humaines</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En structurant et animant un r&eacute;seau professionnel</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant le cadre et les r&egrave;gles financi&egrave;res, administratives et l&eacute;gales</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations priv&eacute;es</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans des organisations publiques</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT InfoCom MLP 2022-C1,PN LP-BUT InfoCom MLP 2022-C1-L1,⭐ Comprendre les enjeux de l'infocom pour le fonctionnement des organisations,,,,,,,,,,,
PN LP-BUT InfoCom MLP 2022-C1,PN LP-BUT InfoCom MLP 2022-C1-L2,⭐⭐ Analyser et mettre oeuvre les pratiques de l'info-com nécessaires aux organisations,,,,,,,,,,,
PN LP-BUT InfoCom MLP 2022-C1,PN LP-BUT InfoCom MLP 2022-C1-L3,⭐⭐⭐ Intégrer les enjeux infocommunicationnels d’une organisation,,,,,,,,,,,
PN LP-BUT InfoCom MLP 2022-C2,PN LP-BUT InfoCom MLP 2022-C2-L1,⭐ Informer et communiquer en contexte pré-professionnel,,,,,,,,,,,
