Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT InfoCom PUB 2022,BUT Information-Communication - Parcours Publicité,"<div class=""container text-center p-3"" style=""background: #0099cc;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/information-communication/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/a7/21630-infocom-650-650-a73fbc8e.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Information-Communication"" data-line=""175""><span style=""color: #ffffff;"">BUT Information-Communication</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Publicit&eacute;</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours Publicit&eacute; forme des sp&eacute;cialistes de la communication autour des questions de la strat&eacute;gie publicitaire, du marketing&nbsp;et de la cr&eacute;ativit&eacute;. Ils ou elles interviennent &agrave; toutes les &eacute;tapes d&rsquo;une campagne de publicit&eacute; : r&eacute;unions pr&eacute;paratoires, &eacute;tude et&nbsp;d&eacute;finition des cibles, des objectifs, de l&rsquo;axe et des th&egrave;mes publicitaires, de la teneur du message, de la nature des supports et&nbsp;de la r&eacute;partition du budget.<br>Les deux comp&eacute;tences communes &agrave; tous les parcours :<br>&bull; Analyser les pratiques et les enjeux li&eacute;s &agrave; l&rsquo;information et &agrave; la communication au niveau local, national et international<br>&bull; Informer et communiquer au sein des organisations<br>Les comp&eacute;tences sp&eacute;cifiques au parcours Publicit&eacute; :<br>&bull; Analyser une marque, les cibles et les march&eacute;s dans la diversit&eacute; de leurs contextes<br>&bull; Concevoir des solutions cr&eacute;atives et innovantes<br>&bull; &Eacute;laborer et d&eacute;ployer la strat&eacute;gie de communication publicitaire<br></span></p>
<p data-line=""177""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe14 (PDF-2.77 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/14/4/spe617_annexe14_1426144.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; information-communication : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT InfoCom PUB 2022-C1,🔴 Décrypter,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser les pratiques et les enjeux li&eacute;s &agrave;&nbsp;l'information et &agrave; la communication au niveau&nbsp;local, national et international</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'appuyant sur les th&eacute;ories et mod&egrave;les des sciences de l'information et de la communication et des sciences humaines et sociales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des enjeux environnementaux et soci&eacute;taux de l&rsquo;information et de la communication (socio-&eacute;conomiques, m&eacute;diatiques,&nbsp;juridiques, politiques, &eacute;cologiques, &eacute;thiques...)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En comprenant le fonctionnement des organisations et instituti</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En se pla&ccedil;ant dans une perspective internationale et interculturelleons</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mobilisant des ressources artistiques et culturelles pertinentes</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Au sein d&rsquo;une organisation avec ses collaborateurs et sa hi&eacute;rarchie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans un r&eacute;seau professionnel de prestataires et partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En direction des publics, usagers, clients</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom PUB 2022-C2,🟠 Partager,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Informer et communiquer au sein des&nbsp;organisations</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En ma&icirc;trisant la langue fran&ccedil;aise et deux langues &eacute;trang&egrave;res</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant des supports multim&eacute;dias online / offline (images, vid&eacute;os, documents, supports visuels...) &agrave; l&rsquo;aide d&rsquo;outils et de m&eacute;thodes&nbsp;professionnels</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En organisant une diffusion efficace aux diff&eacute;rentes parties prenantes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des enjeux propres aux soci&eacute;t&eacute;s contemporaines</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Au sein d&rsquo;une organisation avec ses collaborateurs et sa hi&eacute;rarchie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans un r&eacute;seau professionnel de prestataires et partenaires</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En direction des publics, usagers, clients</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom PUB 2022-C3,🟡 Comprendre,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser une marque, les cibles et les march&eacute;s<br>dans la diversit&eacute; de leurs contextes</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte l'environnement socio-&eacute;conomique, juridique et publicitaire d'une marque</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En d&eacute;finissant la strat&eacute;gie marketing</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en oeuvre la phase de marketing op&eacute;rationnel et les outils pr&eacute;conis&eacute;s</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre d&rsquo;une &eacute;tude de march&eacute; et d&rsquo;un diagnostic marketing</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&Agrave; l&rsquo;occasion de la gestion d&rsquo;un portefeuille produits</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Sans une logique prospective en mati&egrave;re de tendances et de comportement consommateur</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom PUB 2022-C4,🟢 Concevoir,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Concevoir des solutions cr&eacute;atives et innovantes</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En d&eacute;finissant les bases d'une strat&eacute;gie de cr&eacute;ation qui int&egrave;gre les r&eacute;f&eacute;rents professionnels des agences de publicit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En &eacute;laborant des concepts cr&eacute;atifs et innovants</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En produisant des solutions cr&eacute;atives adapt&eacute;es</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">En r&eacute;ponse &agrave; un brief cr&eacute;atif</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de la communication de marque</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans une logique de d&eacute;clinaison plurim&eacute;diatique (hors et en ligne)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT InfoCom PUB 2022-C5,🔵 Déployer,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>&Eacute;laborer et d&eacute;ployer la strat&eacute;gie de&nbsp;communication publicitaire</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'appuyant sur la connaissance des m&eacute;dias, de la publicit&eacute;, de la cible, des acteurs et de la marque concern&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En architecturant une strat&eacute;gie des moyens publicitaires</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant des contraintes budg&eacute;taires, juridiques et soci&eacute;tales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En accompagnant le client et en proposant des outils d'&eacute;valuation de la strat&eacute;gie</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le cadre de l&rsquo;&eacute;laboration de la strat&eacute;gie de communication d&rsquo;une marque</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En situation d&rsquo;exploitation et de valorisation des espaces au sein d&rsquo;une agence m&eacute;dia ou d&rsquo;une r&eacute;gie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">En situation de conseil commercial et strat&eacute;gique au sein d&rsquo;une agence ou chez l&rsquo;annonceur</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT InfoCom PUB 2022-C1,PN LP-BUT InfoCom PUB 2022-C1-L1,⭐ Comprendre les enjeux de l'infocom pour le fonctionnement des organisations,,,,,,,,,,,
PN LP-BUT InfoCom PUB 2022-C1,PN LP-BUT InfoCom PUB 2022-C1-L2,⭐⭐ Analyser et mettre oeuvre les pratiques de l'info-com nécessaires aux organisations,,,,,,,,,,,
PN LP-BUT InfoCom PUB 2022-C1,PN LP-BUT InfoCom PUB 2022-C1-L3,⭐⭐⭐ Intégrer les enjeux infocommunicationnels d’une organisation,,,,,,,,,,,
PN LP-BUT InfoCom PUB 2022-C2,PN LP-BUT InfoCom PUB 2022-C2-L1,⭐ Informer et communiquer en contexte pré-professionnel,,,,,,,,,,,
