Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT MP MCPC 2022,BUT Mesures Physiques - Parcours Matériaux et Contrôles Physico-Chimiques,"<div class=""container text-center p-3"" style=""background: #6f448d;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/mesures-physiques/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/b3/21634-mp-650-650-b3dafca4.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Mesures-Physiques"" data-line=""214""><span style=""color: #ffffff;"">BUT Mesures Physiques</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Mat&eacute;riaux et Contr&ocirc;les Physico-Chimiques</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le dipl&ocirc;m&eacute; est plus particuli&egrave;rement expert en caract&eacute;risation des mat&eacute;riaux et en contr&ocirc;les physico-chimiques. Son parcours&nbsp;lui permet d&rsquo;&ecirc;tre adapt&eacute; aux entreprises et organismes ayant des laboratoires d&rsquo;essai et de contr&ocirc;le sur les mat&eacute;riaux ou des&nbsp;services d&rsquo;analyse physico-chimique.</span></p>
<p data-line=""216""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe17 (PDF-1.39 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/15/0/spe617_annexe17_1426150.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; mesures physiques : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT MP MCPC 2022-C1,🔴 Mener,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Mener une campagne de mesures</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant une d&eacute;marche scientifique adapt&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;laborant un protocole adapt&eacute;, qui respecte les r&egrave;gles de s&eacute;curit&eacute; et les normes en vigueur</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en collectant les donn&eacute;es de mani&egrave;re fiable</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en traitant les donn&eacute;es de mani&egrave;re pertinente</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en pr&eacute;sentant les r&eacute;sultats de mesures selon les normes en vigueur</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en analysant les r&eacute;sultats pour mettre en place d'&eacute;ventuelles actions correctives</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans un contexte de production en milieu industriel et en laboratoire</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans un contexte de recherche et d&eacute;veloppement en milieu industriel et en laboratoire</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans une d&eacute;marche de qualification ou de certification</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT MP MCPC 2022-C2,🟠 Déployer,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>D&eacute;ployer la m&eacute;trologie et la d&eacute;marche qualit&eacute;</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en exprimant le r&eacute;sultat avec son incertitude de mesure selon les normes en vigueur</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant et mettant en oeuvre l'instrument de mesure en fonction de ses caract&eacute;ristiques m&eacute;trologiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant des outils statistiques adapt&eacute;s pour l'analyse des mesures et leur comparaison</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s'assurant du respect des proc&eacute;dures (tra&ccedil;abilit&eacute;, fiabilit&eacute;)</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans un service m&eacute;trologie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans un service qualit&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans une entreprise d'expertise en m&eacute;trologie</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT MP MCPC 2022-C3,🟡 Mettre en oeuvre,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Mettre en oeuvre une cha&icirc;ne de mesure et<br>d'instrumentation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant les capteurs ou d&eacute;tecteurs les mieux adapt&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant un transfert et un traitement analogique ou num&eacute;rique du signal adapt&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en place le pilotage d'une cha&icirc;ne de mesure avec ou sans r&eacute;gulation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans un contexte de production en milieu industriel et en laboratoire</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans un contexte de recherche et d&eacute;veloppement en milieu industriel et en laboratoire</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en milieu ou conditions &agrave; contraintes sp&eacute;cifiques</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT MP MCPC 2022-C4,🟢 Caractériser,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Caract&eacute;riser des grandeurs physiques, chimiques&nbsp;et les propri&eacute;t&eacute;s d'un mat&eacute;riau</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en identifiant les grandeurs physiques et chimiques pertinentes</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en adaptant la pr&eacute;paration de l'&eacute;chantillon &agrave; la mesure</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en tenant compte de l'&eacute;tat, de la structure de la mati&egrave;re et du type de mat&eacute;riau</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en oeuvre les outils et techniques de caract&eacute;risation adapt&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en analysant les r&eacute;sultats en relation avec la structure des mat&eacute;riaux</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans un contexte de production en milieu industriel et en laboratoire</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans un contexte de recherche et d&eacute;veloppement en milieu industriel et en laboratoire</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en milieu ou conditions &agrave; contraintes sp&eacute;cifiques</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT MP MCPC 2022-C5,🔵 Définir,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>D&eacute;finir un cahier des charges de mesures dans<br>une d&eacute;marche environnementale</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en limitant les impacts sur l'environnement et les impacts &eacute;nerg&eacute;tiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en oeuvre une gestion de projet pertinente</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant les moyens techniques et m&eacute;trologiques adapt&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant une communication adapt&eacute;e</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans un contexte de production en milieu industriel et en laboratoire</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans un contexte de recherche et d&eacute;veloppement en milieu industriel et en laboratoire</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans une d&eacute;marche de qualification ou de certification</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">dans le cadre de mesures in situ pour le contr&ocirc;le et la surveillance de l'environnement</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT MP MCPC 2022-C1,PN LP-BUT MP MCPC 2022-C1-L1,⭐ Mener une campagne de mesures pour un nombre restreint de grandeurs,,,,,,,,,,,
PN LP-BUT MP MCPC 2022-C1,PN LP-BUT MP MCPC 2022-C1-L2,⭐⭐ Mener une campagne de mesures multiples nécessitant un traitement complexe des données,,,,,,,,,,,
PN LP-BUT MP MCPC 2022-C1,PN LP-BUT MP MCPC 2022-C1-L3,⭐⭐⭐ Mener une campagne de mesures dans un contexte professionnel spécifique,,,,,,,,,,,
PN LP-BUT MP MCPC 2022-C2,PN LP-BUT MP MCPC 2022-C2-L1,⭐ Déployer la métrologie et la démarche qualité pour un résultat de mesure,,,,,,,,,,,
