Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT PEC ECI 2022,"BUT Packaging, Emballage et Conditionnement - Parcours Eco-conception et industrialisation","<div class=""container text-center p-3"" style=""background: #ff3300;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/packaging-emballage-et-conditionnement/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/b3/21637-pec-650-650-b3495c4f.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Packaging-Emballage-et-Conditionnement"" data-line=""253""><span style=""color: #ffffff;"">BUT Packaging, Emballage et Conditionnement</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Eco-conception et industrialisation</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours &ldquo;&eacute;co-conception, industrialisation &gt;permet aux &eacute;tudiants sp&eacute;cialis&eacute;s en packaging, emballage et conditionnement&nbsp;de d&eacute;velopper des comp&eacute;tences suppl&eacute;mentaires sur l&rsquo;industrialisation des proc&eacute;d&eacute;s. Pour qu&rsquo;un packaging soit con&ccedil;u de&nbsp;mani&egrave;re optimale, le concepteur doit connaitre les contraintes des machines de production et &ecirc;tre capable d&rsquo;adapter son&nbsp;packaging et/ou son mat&eacute;riau &agrave; son outil de production ; ou inversement, de choisir un outil de production adapt&eacute; au packaging&nbsp;d&eacute;velopp&eacute; de sorte &agrave; garantir une production efficace &agrave; moindre co&ucirc;t.<br>Les m&eacute;tiers vis&eacute;s par le parcours &eacute;co-conception et industrialisation sont : technicien en d&eacute;veloppement packaging, concepteur&nbsp;designer packaging, technicien m&eacute;thodes, technicien de laboratoire, technicien contr&ocirc;le qualit&eacute;, responsable des achats,&nbsp;conducteur de ligne de conditionnement.<br></span></p>
<p data-line=""255""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe20 (PDF-913.34 Ko-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/15/6/spe617_annexe20_1426156.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; packaging, emballage et conditionnement : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT PEC ECI 2022-C1,🔴 Eco-concevoir,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Eco-Concevoir des solutions packagings</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en r&eacute;digeant un cahier des charges fonctionnel &agrave; partir d'un besoin client dans le respect des normes et de la r&eacute;glementation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en concevant un packaging adapt&eacute; aux proc&eacute;d&eacute;s de fabrication, de conditionnement et &agrave; sa distribution</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en minimisant l&rsquo;impact environnemental</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en prenant en compte les contraintes marketing et &eacute;conomiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;laborant les documents techniques n&eacute;cessaires &agrave; l'industrialisation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">&Eacute;tablir le cahier des charges fonctionnel en r&eacute;ponse &agrave; un brief marketing</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Concevoir une solution packaging d&eacute;cor&eacute;e</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">R&eacute;aliser un dossier technique</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">R&eacute;aliser un prototype</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT PEC ECI 2022-C2,🟠 Industrialiser,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Industrialiser des solutions d'emballages ou de<br>conditionnement</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en place un plan de qualification pour valider un processus industriel</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en r&eacute;pondant &agrave; un ou des cahiers des charges techniques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant des solutions techniques robustes pour la fabrication d'emballage ou le conditionnement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en place des indicateurs de performance pertinents</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en r&eacute;digeant des sp&eacute;cifications et des fiches techniques permettant la d&eacute;finition et la validation du proc&eacute;d&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">&Eacute;valuer les performances d'un process existant</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Adapter un process existant &agrave; un nouveau produit</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;finir un nouveau processus</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT PEC ECI 2022-C3,🟡 Homologuer,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Homologuer un couple emballage/produit</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant en place un plan d'homologation pour valider un couple produit/emballage</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en r&eacute;digeant les documents n&eacute;cessaires &agrave; l'homologation de la solution packaging (rapport d'essai, protocole...)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant des proc&eacute;dures qualit&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">&Eacute;tudier les non conformit&eacute;s d'un couple emballage/produit en lien avec les processus</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Homologuer un couple emballage/produit</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Qualifier le process de fabrication/conditionnement pour un nouveau couple emballage/produit</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT PEC ECI 2022-C4,🟢 Optimiser,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Optimiser les flux internes/ externes</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en pilotant efficacement l'ensemble des flux d'un processus (respect des co&ucirc;ts, d&eacute;lais, qualit&eacute;, hygi&egrave;ne et s&eacute;curit&eacute;)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en assurant la tra&ccedil;abilit&eacute; des produits et &eacute;tapes du processus global</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en optimisant la quantit&eacute; de produits pour un flux logistique donn&eacute; par le packaging</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Garantir l'int&eacute;grit&eacute; et le suivi du produit durant son cycle de vie</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Piloter la chaine logistique du produit</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Assurer la gestion des flux de la chaine logistique</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT PEC ECI 2022-C1,PN LP-BUT PEC ECI 2022-C1-L1,⭐ Concevoir un emballage simple,,,,,,,,,,,
PN LP-BUT PEC ECI 2022-C1,PN LP-BUT PEC ECI 2022-C1-L2,⭐⭐ Concevoir un emballage complexe,,,,,,,,,,,
PN LP-BUT PEC ECI 2022-C1,PN LP-BUT PEC ECI 2022-C1-L3,⭐⭐⭐ Mettre en valeur la conception,,,,,,,,,,,
PN LP-BUT PEC ECI 2022-C2,PN LP-BUT PEC ECI 2022-C2-L1,⭐ Identifier les procédés adéquats,,,,,,,,,,,
PN LP-BUT PEC ECI 2022-C2,PN LP-BUT PEC ECI 2022-C2-L2,⭐⭐ Définir un processus adapté,,,,,,,,,,,
