Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT QLIO MTD 2022,BUT QLIO - Parcours Accompagnement à la transformation numérique,"<div class=""container text-center p-3"" style=""background: #003300;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/qualite-logistique-industrielle-et-organisation/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/6e/21638-qlio-650-650-6e0fedf4.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Qualit%C3%A9-Logistique-Industrielle-et-Organisation"" data-line=""268""><span style=""color: #ffffff;"">BUT Qualit&eacute;, Logistique Industrielle et Organisation</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Accompagnement &agrave; la transformation num&eacute;rique</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Ce parcours oriente la formation vers le management de la transformation digitale de l&rsquo;entreprise en organisant et pilotant&nbsp;ses processus de production induits par les innovations technologiques permanentes (cobotique, intelligence artificielle, Big&nbsp;Data, r&eacute;alit&eacute; augment&eacute;e, objets connect&eacute;s...) et en red&eacute;finissant l&rsquo;interaction &lt; Homme-Machine &gt;tout en affirmant la place de l&rsquo;humain dans ce type d&rsquo;organisation. L&rsquo;alignement et l&rsquo;interfa&ccedil;age des diff&eacute;rents flux d&rsquo;information provenant des diff&eacute;rents&nbsp;processus de l&rsquo;entreprise s&rsquo;effectuent par l&rsquo;organisation, l&rsquo;analyse, l&rsquo;am&eacute;lioration et l&rsquo;adaptation des syst&egrave;mes d&rsquo;information. La&nbsp;comp&eacute;tence sp&eacute;cifique &agrave; ce parcours consiste &agrave; conduire la digitalisation des processus.<br><br>Les m&eacute;tiers plus sp&eacute;cifiquement accessibles par ce parcours sont :<br>&ndash; Param&eacute;treur logiciel ERP<br>&ndash; Chef de projet informatique ;<br>&ndash; Architecte de syst&egrave;me d&rsquo;information<br>&ndash; Auditeur de syst&egrave;me d&rsquo;information<br>&ndash; Coordonnateur - int&eacute;grateur des processus num&eacute;riques<br>&ndash; Data manager.</span></p>
<p data-line=""270""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe21 (PDF-1.81 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/15/8/spe617_annexe21_1426158.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; qualit&eacute;, logistique industrielle et organisation : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT QLIO MTD 2022-C1,🔴 Qualité,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Piloter l'entreprise par la qualit&eacute;</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en prenant en compte le niveau de maturit&eacute; de l'entreprise</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en satisfaisant les exigences des clients et parties int&eacute;ress&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en prenant en compte le secteur d'activit&eacute;s de l'entreprise</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en impliquant des &eacute;quipes</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de conduite du changement</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de garantir les exigences d'un r&eacute;f&eacute;rentiel</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT QLIO MTD 2022-C2,🟠 Logistique,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>G&eacute;rer les flux physiques et les flux d'information</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s'inscrivant dans une d&eacute;marche de progr&egrave;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en consid&eacute;rant les acteurs de la production</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en organisant les ressources de mani&egrave;re adapt&eacute;e (humaines, physiques, financi&egrave;res)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant la r&eacute;glementation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant les contraintes environnementales</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en suivant une d&eacute;marche de progr&egrave;s</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de management de la production</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT QLIO MTD 2022-C3,🟡 Organisation,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Organiser des activit&eacute;s de production de biens et&nbsp;de services</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en consid&eacute;rant l'impact des besoins des clients sur le syst&egrave;me de production</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en r&eacute;alisant un diagnostic de l'existant d&eacute;bouchant sur des actions d'am&eacute;lioration de la production</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en pr&eacute;sentant objectivement des solutions</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les contraintes techniques, humaines, financi&egrave;res et HSE</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant la r&eacute;alit&eacute; du terrain</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de conduite de projet</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de mise en oeuvre du syst&egrave;me de production</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT QLIO MTD 2022-C4,🟢 Transformation Digitale,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Conduire la digitalisation des processus</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s&rsquo;adaptant &agrave; l&rsquo;environnement num&eacute;rique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en prenant en compte les contextes et enjeux de l&rsquo;entreprise</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en assurant une veille technologique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en favorisant une conduite de changement</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en mettant l&rsquo;Humain au coeur de la transformation</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation d&rsquo;int&eacute;grer les &eacute;volutions technologiques</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation d&rsquo;am&eacute;liorer les performances</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de favoriser le d&eacute;veloppement durable</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT QLIO MTD 2022-C1,PN LP-BUT QLIO MTD 2022-C1-L1,⭐ Comprendre la qualité dans une entreprise en tant qu'opérateur,,,,,,,,,,,
PN LP-BUT QLIO MTD 2022-C1,PN LP-BUT QLIO MTD 2022-C1-L2,⭐⭐ Maîtriser la qualité dans une entreprise en qualité de technicien,,,,,,,,,,,
PN LP-BUT QLIO MTD 2022-C1,PN LP-BUT QLIO MTD 2022-C1-L3,⭐⭐⭐ Piloter l'entreprise par la qualité en tant que cadre intermédiaire,,,,,,,,,,,
PN LP-BUT QLIO MTD 2022-C2,PN LP-BUT QLIO MTD 2022-C2-L1,⭐ Comprendre les flux et les expliquer en tant qu'opérateur,,,,,,,,,,,
PN LP-BUT QLIO MTD 2022-C2,PN LP-BUT QLIO MTD 2022-C2-L2,⭐⭐ Appliquer les techniques de gestion des flux en qualité de technicien,,,,,,,,,,,
