Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT QLIO PSC 2022,BUT QLIO - Parcours Pilotage de la chaîne logistique globale,"<div class=""container text-center p-3"" style=""background: #003300;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/qualite-logistique-industrielle-et-organisation/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/6e/21638-qlio-650-650-6e0fedf4.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Qualit%C3%A9-Logistique-Industrielle-et-Organisation"" data-line=""268""><span style=""color: #ffffff;"">BUT Qualit&eacute;, Logistique Industrielle et Organisation</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Pilotage de la cha&icirc;ne logistique globale</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Ce parcours oriente la formation vers l&rsquo;organisation des activit&eacute;s et l&rsquo;am&eacute;lioration des organisations autour de la Supply Chain&nbsp;en d&eacute;ployant des m&eacute;thodes de travail qui vont permettre de suivre, maintenir et mettre &agrave; jour des indicateurs de pilotage de&nbsp;performance. La comp&eacute;tence sp&eacute;cifique &agrave; ce parcours consiste &agrave; g&eacute;rer et animer la Supply Chain.<br><br>Les m&eacute;tiers plus sp&eacute;cifiquement accessibles par ce parcours sont :<br>&ndash; Responsable de plateforme logistique<br>&ndash; Planificateur de syst&egrave;me d&rsquo;information logistique globale<br>&ndash; Supply Chain manager.</span></p>
<p data-line=""270""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe21 (PDF-1.81 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/15/8/spe617_annexe21_1426158.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; qualit&eacute;, logistique industrielle et organisation : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT QLIO PSC 2022-C1,🔴 Qualité,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Piloter l'entreprise par la qualit&eacute;</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en prenant en compte le niveau de maturit&eacute; de l'entreprise</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en satisfaisant les exigences des clients et parties int&eacute;ress&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en prenant en compte le secteur d'activit&eacute;s de l'entreprise</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en impliquant des &eacute;quipes</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de conduite du changement</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de garantir les exigences d'un r&eacute;f&eacute;rentiel</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT QLIO PSC 2022-C2,🟠 Logistique,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>G&eacute;rer les flux physiques et les flux d'information</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s'inscrivant dans une d&eacute;marche de progr&egrave;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en consid&eacute;rant les acteurs de la production</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en organisant les ressources de mani&egrave;re adapt&eacute;e (humaines, physiques, financi&egrave;res)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant la r&eacute;glementation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant les contraintes environnementales</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en suivant une d&eacute;marche de progr&egrave;s</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de management de la production</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT QLIO PSC 2022-C3,🟡 Organisation,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Organiser des activit&eacute;s de production de biens et&nbsp;de services</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en consid&eacute;rant l'impact des besoins des clients sur le syst&egrave;me de production</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en r&eacute;alisant un diagnostic de l'existant d&eacute;bouchant sur des actions d'am&eacute;lioration de la production</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en pr&eacute;sentant objectivement des solutions</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les contraintes techniques, humaines, financi&egrave;res et HSE</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant la r&eacute;alit&eacute; du terrain</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de conduite de projet</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de mise en oeuvre du syst&egrave;me de production</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT QLIO PSC 2022-C4,🟢 Supply Chain,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>G&eacute;rer et animer la cha&icirc;ne logistique globale</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant la dimension globale des r&eacute;seaux logistiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les contraintes li&eacute;es au transport</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant les syst&egrave;mes d'information et physiques adapt&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en veillant &agrave; l'am&eacute;lioration de la performance logistique globale</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en situation de diagnostic et d'&eacute;valuation de la performance logistique globale</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation de gestion des approvisionnements et des exp&eacute;ditions</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">en situation d'utilisation des normes et bonnes pratiques li&eacute;es &agrave; l'entreposage et au transport</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1,PN LP-BUT QLIO PSC 2022-C1-L1,⭐ Comprendre la qualité dans une entreprise en tant qu'opérateur,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1,PN LP-BUT QLIO PSC 2022-C1-L2,⭐⭐ Maîtriser la qualité dans une entreprise en qualité de technicien,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1,PN LP-BUT QLIO PSC 2022-C1-L3,⭐⭐⭐ Piloter l'entreprise par la qualité en tant que cadre intermédiaire,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2,PN LP-BUT QLIO PSC 2022-C2-L1,⭐ Comprendre les flux et les expliquer en tant qu'opérateur,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2,PN LP-BUT QLIO PSC 2022-C2-L2,⭐⭐ Appliquer les techniques de gestion des flux en qualité de technicien,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2,PN LP-BUT QLIO PSC 2022-C2-L3,⭐⭐⭐ Améliorer la circulation des flux pour rendre le système plus efficient,<p>Am&eacute;liorer la circulation des flux<br>pour rendre le syst&egrave;me plus<br>efficient en qualit&eacute; de cadre<br>interm&eacute;diaire</p>,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3,PN LP-BUT QLIO PSC 2022-C3-L1,⭐ Décrire et analyser les activités de production,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3,PN LP-BUT QLIO PSC 2022-C3-L2,⭐⭐ Organiser et améliorer un système de production en qualité de technicien,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3,PN LP-BUT QLIO PSC 2022-C3-L3,⭐⭐⭐ Faire évoluer un système de production en qualité de cadre intermédiaire,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C4,PN LP-BUT QLIO PSC 2022-C4-L1,⭐ Réaliser les opérations de logistique externe,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C4,PN LP-BUT QLIO PSC 2022-C4-L2,⭐⭐ Participer à l'amélioration de la chaîne logistique,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L1,PN LP-BUT QLIO PSC 2022-C1-L1-P1,Déployer des outils de la qualité,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L1,PN LP-BUT QLIO PSC 2022-C1-L1-P2,Comprendre un référentiel et ses exigences,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L1,PN LP-BUT QLIO PSC 2022-C1-L1-P3,Identifier les processus d'une entreprise,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L1,PN LP-BUT QLIO PSC 2022-C1-L1-P4,Auditer une activité élémentaire,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L1,PN LP-BUT QLIO PSC 2022-C1-L1-P5,Sensibiliser le personnel à une problématique qualité,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L1,PN LP-BUT QLIO PSC 2022-C1-L1-P6,Contrôler un produit ou un service,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L2,PN LP-BUT QLIO PSC 2022-C1-L2-P1,Effectuer une démarche d’amélioration continue,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L2,PN LP-BUT QLIO PSC 2022-C1-L2-P2,"Collecter, analyser et exploiter des données",,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L2,PN LP-BUT QLIO PSC 2022-C1-L2-P3,Mesurer et améliorer la performance,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L2,PN LP-BUT QLIO PSC 2022-C1-L2-P4,Animer des équipes sur un projet,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L2,PN LP-BUT QLIO PSC 2022-C1-L2-P5,Organiser et mettre en oeuvre un audit,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L2,PN LP-BUT QLIO PSC 2022-C1-L2-P6,Fiabiliser la mesure,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L3,PN LP-BUT QLIO PSC 2022-C1-L3-P1,Déployer un système de management par la qualité,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L3,PN LP-BUT QLIO PSC 2022-C1-L3-P2,Assurer la compétence des équipes,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C1-L3,PN LP-BUT QLIO PSC 2022-C1-L3-P3,Planifier et conduire des audits,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L1,PN LP-BUT QLIO PSC 2022-C2-L1-P1,Identifier et cartographier les flux dans un établissement,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L1,PN LP-BUT QLIO PSC 2022-C2-L1-P2,Exécuter une gestion de stock,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L1,PN LP-BUT QLIO PSC 2022-C2-L1-P3,Renseigner et structurer les données techniques dans un système d'information,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L1,PN LP-BUT QLIO PSC 2022-C2-L1-P4,Exécuter un planning de production et le suivre,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L1,PN LP-BUT QLIO PSC 2022-C2-L1-P5,Identifier la production en flux poussé /en flux tiré,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L1,PN LP-BUT QLIO PSC 2022-C2-L1-P6,Identifier les partenaires externes,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L2,PN LP-BUT QLIO PSC 2022-C2-L2-P1,Paramétrer les stocks,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L2,PN LP-BUT QLIO PSC 2022-C2-L2-P2,Contrôler et valider des données générées par le système d'information,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L2,PN LP-BUT QLIO PSC 2022-C2-L2-P3,Ordonnancer et lancer la production,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L2,PN LP-BUT QLIO PSC 2022-C2-L2-P4,Planifier à moyen/long terme,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L2,PN LP-BUT QLIO PSC 2022-C2-L2-P5,Piloter en flux tiré,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L2,PN LP-BUT QLIO PSC 2022-C2-L2-P6,Sélectionner un partenaire externe,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L3,PN LP-BUT QLIO PSC 2022-C2-L3-P1,Piloter les flux par les contraintes,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L3,PN LP-BUT QLIO PSC 2022-C2-L3-P2,Sélectionner le système d'information en fonction du contexte,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L3,PN LP-BUT QLIO PSC 2022-C2-L3-P3,Réagir face à des aléas de production,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C2-L3,PN LP-BUT QLIO PSC 2022-C2-L3-P4,Adapter le mode de pilotage des flux au contexte,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L1,PN LP-BUT QLIO PSC 2022-C3-L1-P1,Organiser un poste de travail,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L1,PN LP-BUT QLIO PSC 2022-C3-L1-P2,Implanter dans l'objectif de limiter les temps de transfert,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L1,PN LP-BUT QLIO PSC 2022-C3-L1-P3,Organiser les données techniques du système de production,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L1,PN LP-BUT QLIO PSC 2022-C3-L1-P4,Caractériser un système de production,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L1,PN LP-BUT QLIO PSC 2022-C3-L1-P5,Définir et planifier les tâches et étapes d'un projet simple,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L1,PN LP-BUT QLIO PSC 2022-C3-L1-P6,Calculer les coûts de production d'un produit,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L2,PN LP-BUT QLIO PSC 2022-C3-L2-P1,Améliorer un poste de travail dans son environnement de production et d'approvisionnement,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L2,PN LP-BUT QLIO PSC 2022-C3-L2-P2,Implanter à l'aide de méthodes impactant l'organisation de production,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L2,PN LP-BUT QLIO PSC 2022-C3-L2-P3,Calculer des coûts de production pour mesurer la rentabilité d'un projet ou d'un investissement,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L2,PN LP-BUT QLIO PSC 2022-C3-L2-P4,Modéliser pour dimensionner les ressources d'un système de production,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L2,PN LP-BUT QLIO PSC 2022-C3-L2-P5,Gérer un projet dans le cadre d'une démarche d'amélioration,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L3,PN LP-BUT QLIO PSC 2022-C3-L3-P1,Organiser une unité de production,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L3,PN LP-BUT QLIO PSC 2022-C3-L3-P2,Organiser un projet d'implantation dans des conditions réelles,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L3,PN LP-BUT QLIO PSC 2022-C3-L3-P3,Piloter un projet,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C3-L3,PN LP-BUT QLIO PSC 2022-C3-L3-P4,Faire évoluer l'entreprise dans le cadre de projets Lean management,,,,,,,,,,,
PN LP-BUT QLIO PSC 2022-C4-L1,PN LP-BUT QLIO PSC 2022-C4-L1-P1,Dimensionner une plateforme d'expédition et/ou un espace de stockage,,,,,,,,,,,
