Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT RT CYBER 2022,BUT Réseaux et Télécommunications - Parcours Cybersécurité,"<div class=""container text-center p-3"" style=""background: #3366ff;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/reseaux-et-telecommunications/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/7d/21639-rt-650-650-7dcce02b.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-R%C3%A9seaux-et-T%C3%A9l%C3%A9communications"" data-line=""282""><span style=""color: #ffffff;"">BUT R&eacute;seaux et T&eacute;l&eacute;communications</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Cybers&eacute;curit&eacute;</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours Cybers&eacute;curit&eacute; (Cyber) forme des professionnels R&amp;T dans l&rsquo;analyse des risques d&rsquo;attaques mena&ccedil;ant les syst&egrave;mes d&rsquo;informations d&rsquo;une entreprise (r&eacute;seaux, serveurs, postes de travail ...). Ainsi, il est en mesure de d&eacute;finir la politique de s&eacute;curit&eacute;&nbsp;de l&rsquo;entreprise visant &agrave; fixer le cadre d&rsquo;utilisation des ressources num&eacute;riques, &agrave; sensibiliser et former les utilisateurs. Il est&nbsp;&eacute;galement en capacit&eacute; d&rsquo;appliquer au sein de l&rsquo;entreprise la loi notamment RGPD et les pr&eacute;conisations de l&rsquo;Etat (ANSSI)&nbsp;impos&eacute;es par le contexte actuel.<br>Ce parcours regroupe l&rsquo;ensemble des m&eacute;tiers li&eacute;s &agrave; la s&eacute;curit&eacute; des syst&egrave;mes d&rsquo;information, de l&rsquo;installation d&rsquo;&eacute;quipements de&nbsp;s&eacute;curit&eacute; &agrave; leur surveillance. Le sp&eacute;cialiste en Cybers&eacute;curit&eacute; est capable d&rsquo;administrer un syst&egrave;me d&rsquo;informations s&eacute;curis&eacute;, de&nbsp;le superviser, de d&eacute;tecter et de parer aux attaques informatiques.</span></p>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Les dipl&ocirc;m&eacute;s exerceront les m&eacute;tiers de Technicien en cybers&eacute;curit&eacute;, Technicien des r&eacute;seaux d&rsquo;entreprises, Technicien r&eacute;seaux&nbsp;s&eacute;curis&eacute;s, Technicien d&rsquo;infrastructures s&eacute;curis&eacute;es, Coordinateur cybers&eacute;curit&eacute; des syst&egrave;mes d&rsquo;information, Administrateur de&nbsp;solutions de s&eacute;curit&eacute;, Auditeur de s&eacute;curit&eacute; technique, Op&eacute;rateur analyste SOC (Security Operation Center), Int&eacute;grateur de&nbsp;solutions de s&eacute;curit&eacute;, Administrateur Data Center.</span></p>
<p data-line=""284""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe22 (PDF-2.23 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/16/0/spe617_annexe22_1426160.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; r&eacute;seaux et t&eacute;l&eacute;communications : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT RT CYBER 2022-C1,🔴 Administrer,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Administrer les r&eacute;seaux et l&rsquo;Internet</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant les solutions et technologies r&eacute;seaux adapt&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les principes fondamentaux de la s&eacute;curit&eacute; informatique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant une approche rigoureuse pour la r&eacute;solution des dysfonctionnements</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les r&egrave;gles m&eacute;tiers</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en assurant une veille technologique</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Conception et administration de l&rsquo;infrastructure du r&eacute;seau informatique d&rsquo;une entreprise</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Installation et administration des services r&eacute;seau informatique d&rsquo;une entreprise</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;ploiement et administration des solutions fixes pour les clients d&rsquo;un op&eacute;rateur de t&eacute;l&eacute;communication</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT RT CYBER 2022-C2,🟠 Connecter,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Connecter les entreprises et les usagers</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en communiquant avec le client et les diff&eacute;rents acteurs impliqu&eacute;s, parfois en anglais</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en faisant preuve d&rsquo;une d&eacute;marche scientifique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant les solutions et technologies adapt&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en proposant des solutions respectueuses de l'environnement</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;ploiement des supports et syst&egrave;mes de transmission</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mise en service et administration des &eacute;quipements d&rsquo;acc&egrave;s fixe ou mobile d&rsquo;un op&eacute;rateur de t&eacute;l&eacute;communications</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;ploiement et administration des acc&egrave;s sans fil pour l'entreprise</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;ploiement des syst&egrave;mes de communications</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT RT CYBER 2022-C3,🟡 Programmer,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Cr&eacute;er des outils et applications informatiques pour&nbsp;les R&amp;T</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;tant &agrave; l&rsquo;&eacute;coute des besoins du client</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en documentant le travail r&eacute;alis&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant les outils num&eacute;riques &agrave; bon escient</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant les outils de d&eacute;veloppement adapt&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant les probl&eacute;matiques de s&eacute;curit&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Conception, d&eacute;ploiement et maintenance du syst&egrave;me d&rsquo;information d&rsquo;une entreprise</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Automatisation du d&eacute;ploiement et de la maintenance des outils logiciels</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;veloppement d&rsquo;outils informatiques &agrave; usage interne d'une &eacute;quipe</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT RT CYBER 2022-C4,🟢 Sécuriser,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Administrer un syst&egrave;me d&rsquo;information s&eacute;curis&eacute;</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en visant un juste compromis entre exigences de s&eacute;curit&eacute; et contraintes d&rsquo;utilisation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les normes et le cadre juridique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant les derni&egrave;res technologies</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en travaillant en &eacute;quipe</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en sensibilisant efficacement des utilisateurs</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Analyse de l&rsquo;existant et &eacute;tude des besoins de s&eacute;curit&eacute; d&rsquo;une petite structure</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">&Eacute;volution et mise en conformit&eacute; du syst&egrave;me d&rsquo;information d&rsquo;une entreprise</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT RT CYBER 2022-C5,🔵 Surveiller,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Surveiller un syst&egrave;me d&rsquo;information s&eacute;curis&eacute;</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en assurant une veille permanente</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en r&eacute;alisant les mises &agrave; jour critiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en automatisant des t&acirc;ches</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en s&rsquo;int&eacute;grant dans une &eacute;quipe</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en surveillant le comportement du r&eacute;seau</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en veillant au respect des contrats et &agrave; la conformit&eacute; des obligations du syst&egrave;me d'information</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Surveillance et analyse du syst&egrave;me d&rsquo;information</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Audit de s&eacute;curit&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Gestion d&rsquo;un incident de s&eacute;curit&eacute;</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1,PN LP-BUT RT CYBER 2022-C1-L1,⭐ Assister l’administrateur du réseau,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1,PN LP-BUT RT CYBER 2022-C1-L2,⭐⭐ Administrer un réseau,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1,PN LP-BUT RT CYBER 2022-C1-L3,⭐⭐⭐ Concevoir un réseau,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2,PN LP-BUT RT CYBER 2022-C2-L1,⭐ Découvrir les transmissions et la ToIP,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2,PN LP-BUT RT CYBER 2022-C2-L2,⭐⭐ Maîtriser les différentes composantes des solutions de connexion des entreprises et des usagers,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2,PN LP-BUT RT CYBER 2022-C2-L3,⭐⭐⭐ Déployer une solution de connexion ou de communication sur IP,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3,PN LP-BUT RT CYBER 2022-C3-L1,⭐ S’intégrer dans un service informatique,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3,PN LP-BUT RT CYBER 2022-C3-L2,⭐⭐ Développer une application R&T,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3,PN LP-BUT RT CYBER 2022-C3-L3,⭐⭐⭐ Piloter un projet de développement d’une application R&T,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C4,PN LP-BUT RT CYBER 2022-C4-L1,⭐ Sensibiliser aux vulnérabilités d'un système d'information et aux remédiations possibles,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C4,PN LP-BUT RT CYBER 2022-C4-L2,⭐⭐ Mettre en oeuvre un système d’information sécurisé pour une petite structure,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C5,PN LP-BUT RT CYBER 2022-C5-L1,⭐ Prendre en main les outils de surveillance et de test du système d'information,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C5,PN LP-BUT RT CYBER 2022-C5-L2,⭐⭐ Mettre en oeuvre le système de surveillance d’incidents de sécurité,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L1,PN LP-BUT RT CYBER 2022-C1-L1-P1,Maîtriser les lois fondamentales de l’électricité afin d’intervenir sur des équipements,<p>Ma&icirc;triser les lois fondamentales de l&rsquo;&eacute;lectricit&eacute; afin d&rsquo;intervenir sur des &eacute;quipements de r&eacute;seaux et t&eacute;l&eacute;communications</p>,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L1,PN LP-BUT RT CYBER 2022-C1-L1-P2,Comprendre l'architecture et les fondements des systèmes numériques,"<p>Comprendre l'architecture et les fondements des syst&egrave;mes num&eacute;riques, les principes du codage de l'information, des communications et de l'Internet</p>",,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L1,PN LP-BUT RT CYBER 2022-C1-L1-P3,Configurer les fonctions de base du réseau local,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L1,PN LP-BUT RT CYBER 2022-C1-L1-P4,Maîtriser les rôles et les principes fondamentaux des systèmes d’exploitation,<p>Ma&icirc;triser les r&ocirc;les et les principes fondamentaux des syst&egrave;mes d&rsquo;exploitation afin d&rsquo;interagir avec ceux-ci pour la configuration et l'administration des r&eacute;seaux et services fournis</p>,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L1,PN LP-BUT RT CYBER 2022-C1-L1-P5,Identifier les dysfonctionnements du réseau local et savoir les signaler,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L1,PN LP-BUT RT CYBER 2022-C1-L1-P6,"Installer un poste client, expliquer la procédure mise en place",,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L2,PN LP-BUT RT CYBER 2022-C1-L2-P1,Configurer et dépanner le routage dynamique dans un réseau,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L2,PN LP-BUT RT CYBER 2022-C1-L2-P2,Configurer et expliquer une politique simple de QoS et les fonctions de base de la sécurité,<p>Configurer et expliquer une politique simple de QoS et les fonctions de base de la s&eacute;curit&eacute; d&rsquo;un r&eacute;seau</p>,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L2,PN LP-BUT RT CYBER 2022-C1-L2-P3,Déployer des postes clients et des solutions virtualisées adaptées à une situation donnée,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L2,PN LP-BUT RT CYBER 2022-C1-L2-P4,Déployer des services réseaux avancés,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L2,PN LP-BUT RT CYBER 2022-C1-L2-P5,Identifier les réseaux opérateurs et l’architecture d’Internet,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L2,PN LP-BUT RT CYBER 2022-C1-L2-P6,Travailler en équipe pour développer ses compétences professionnelles,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L3,PN LP-BUT RT CYBER 2022-C1-L3-P1,Concevoir un projet de réseau informatique d’une entreprise,"<p>Concevoir un projet de r&eacute;seau informatique d&rsquo;une entreprise en int&eacute;grant les probl&eacute;matiques de haute disponibilit&eacute;, de QoS, de s&eacute;curit&eacute; et de supervision</p>",,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L3,PN LP-BUT RT CYBER 2022-C1-L3-P2,Réaliser la documentation technique de ce projet,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L3,PN LP-BUT RT CYBER 2022-C1-L3-P3,Réaliser une maquette de démonstration du projet,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L3,PN LP-BUT RT CYBER 2022-C1-L3-P4,Défendre/argumenter un projet,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L3,PN LP-BUT RT CYBER 2022-C1-L3-P5,Communiquer avec les acteurs du projet,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C1-L3,PN LP-BUT RT CYBER 2022-C1-L3-P6,Gérer le projet et les différentes étapes de sa mise en oeuvre en respectant les délais,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L1,PN LP-BUT RT CYBER 2022-C2-L1-P1,"Mesurer, analyser et commenter les signaux",,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L1,PN LP-BUT RT CYBER 2022-C2-L1-P2,Caractériser des systèmes de transmissions élémentaires,<p>Caract&eacute;riser des syst&egrave;mes de transmissions &eacute;l&eacute;mentaires et d&eacute;couvrir la mod&eacute;lisation math&eacute;matique de leur fonctionnement</p>,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L1,PN LP-BUT RT CYBER 2022-C2-L1-P3,Déployer des supports de transmission,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L1,PN LP-BUT RT CYBER 2022-C2-L1-P4,Connecter les systèmes de ToIP,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L1,PN LP-BUT RT CYBER 2022-C2-L1-P5,"Communiquer avec un tiers (client, collaborateur...) et adapter son discours et sa langue","<p>Communiquer avec un tiers (client, collaborateur...) et adapter son discours et sa langue &agrave; son interlocuteur</p>",,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L2,PN LP-BUT RT CYBER 2022-C2-L2-P1,Déployer et caractériser des systèmes de transmissions complexes,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L2,PN LP-BUT RT CYBER 2022-C2-L2-P2,Mettre en place un accès distant sécurisé,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L2,PN LP-BUT RT CYBER 2022-C2-L2-P3,Mettre en place une connexion multi-site via un réseau opérateur,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L2,PN LP-BUT RT CYBER 2022-C2-L2-P4,Déployer des réseaux d’accès des opérateurs,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L2,PN LP-BUT RT CYBER 2022-C2-L2-P5,Capacité à questionner un cahier des charges RT,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L3,PN LP-BUT RT CYBER 2022-C2-L3-P1,Déployer un système de communication pour l’entreprise,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L3,PN LP-BUT RT CYBER 2022-C2-L3-P2,Déployer un réseau d’accès sans fil pour le réseau d’entreprise,<p>D&eacute;ployer un r&eacute;seau d&rsquo;acc&egrave;s sans fil pour le r&eacute;seau d&rsquo;entreprise en int&eacute;grant les enjeux de la s&eacute;curit&eacute;</p>,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L3,PN LP-BUT RT CYBER 2022-C2-L3-P3,Déployer un réseau d’accès fixe ou mobile pour un opérateur de télécommunications,<p>D&eacute;ployer un r&eacute;seau d&rsquo;acc&egrave;s fixe ou mobile pour un op&eacute;rateur de t&eacute;l&eacute;communications en int&eacute;grant la s&eacute;curit&eacute;</p>,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L3,PN LP-BUT RT CYBER 2022-C2-L3-P4,Permettre aux collaborateurs de se connecter de manière sécurisée au système d’information,<p>Permettre aux collaborateurs de se connecter de mani&egrave;re s&eacute;curis&eacute;e au syst&egrave;me d&rsquo;information de l&rsquo;entreprise</p>,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C2-L3,PN LP-BUT RT CYBER 2022-C2-L3-P5,Collaborer en mode projet en français et en anglais,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3-L1,PN LP-BUT RT CYBER 2022-C3-L1-P1,Utiliser un système informatique et ses outils,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3-L1,PN LP-BUT RT CYBER 2022-C3-L1-P2,"Lire, exécuter, corriger et modifier un programme",,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3-L1,PN LP-BUT RT CYBER 2022-C3-L1-P3,"Traduire un algorithme, dans un langage et pour un environnement donné",,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3-L1,PN LP-BUT RT CYBER 2022-C3-L1-P4,Connaître l’architecture et les technologies d’un site Web,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3-L1,PN LP-BUT RT CYBER 2022-C3-L1-P5,Choisir les mécanismes de gestion de données adaptés au développement de l’outil,<p>Choisir les m&eacute;canismes de gestion de donn&eacute;es adapt&eacute;s au d&eacute;veloppement de l&rsquo;outil et argumenter ses choix</p>,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3-L1,PN LP-BUT RT CYBER 2022-C3-L1-P6,S’intégrer dans un environnement propice au développement et au travail collaboratif,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3-L2,PN LP-BUT RT CYBER 2022-C3-L2-P1,Automatiser l’administration système avec des scripts,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3-L2,PN LP-BUT RT CYBER 2022-C3-L2-P2,"Développer une application à partir d’un cahier des charges donné, pour le Web ou le mobile","<p>D&eacute;velopper une application &agrave; partir d&rsquo;un cahier des charges donn&eacute;, pour le Web ou les p&eacute;riph&eacute;riques mobiles</p>",,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3-L2,PN LP-BUT RT CYBER 2022-C3-L2-P3,Utiliser un protocole réseau pour programmer une application client/serveur,,,,,,,,,,,
PN LP-BUT RT CYBER 2022-C3-L2,PN LP-BUT RT CYBER 2022-C3-L2-P4,"Installer, administrer un système de gestion de données",,,,,,,,,,,
