Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT RT DEVCLOUD 2022,BUT Réseaux et Télécommunications - Parcours Développement système et cloud,"<div class=""container text-center p-3"" style=""background: #3366ff;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/reseaux-et-telecommunications/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/7d/21639-rt-650-650-7dcce02b.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-R%C3%A9seaux-et-T%C3%A9l%C3%A9communications"" data-line=""282""><span style=""color: #ffffff;"">BUT R&eacute;seaux et T&eacute;l&eacute;communications</span></h2>
<h3><span style=""color: #ffffff;"">Parcours D&eacute;veloppement syst&egrave;me et cloud</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours D&eacute;veloppement Syst&egrave;me et Cloud (DevCloud) forme des professionnels R&amp;T &agrave; deux situations professionnelles&nbsp;compl&eacute;mentaires : il est &agrave; m&ecirc;me de comprendre, d&eacute;ployer, tester une infrastructure ou une application informatique en collaboration&nbsp;avec les architectes et administrateurs r&eacute;seaux ou les d&eacute;veloppeurs d&rsquo;applications. Il met &eacute;galement en place et&nbsp;maintient un environnement Cloud adapt&eacute; aux besoins m&eacute;tiers tout en automatisant la production.<br>Ce parcours regroupe l&rsquo;ensemble des m&eacute;tiers li&eacute;s aux solutions Cloud (DevCloud, DevOps) en mettant en oeuvre, en maintenant&nbsp;et en configurant ces solutions adapt&eacute;es aux entreprises. Le sp&eacute;cialiste en d&eacute;veloppement syst&egrave;me et cloud est capable&nbsp;d&rsquo;administrer, de configurer et de maintenir l&rsquo;ensemble des solutions Cloud de l&rsquo;entreprise.<br>Les dipl&ocirc;m&eacute;s exerceront les m&eacute;tiers de Technicien r&eacute;seaux cloud, Administrateur cloud, Int&eacute;grateur cloud, int&eacute;grateur DevOps,&nbsp;Administrateur R&eacute;seaux Programmables, Administrateur Syst&egrave;me et R&eacute;seaux (DevOps, NetDevOps), Technicien s&eacute;curit&eacute; des&nbsp;syst&egrave;mes cloud (DevSecOps), Administrateur de serveurs et de r&eacute;seaux virtualis&eacute;s.</span></p>
<p data-line=""284""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe22 (PDF-2.23 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/16/0/spe617_annexe22_1426160.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo; r&eacute;seaux et t&eacute;l&eacute;communications : programme national</a></span></p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT RT DEVCLOUD 2022-C1,🔴 Administrer,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Administrer les r&eacute;seaux et l&rsquo;Internet</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant les solutions et technologies r&eacute;seaux adapt&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les principes fondamentaux de la s&eacute;curit&eacute; informatique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant une approche rigoureuse pour la r&eacute;solution des dysfonctionnements</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les r&egrave;gles m&eacute;tiers</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en assurant une veille technologique</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Conception et administration de l&rsquo;infrastructure du r&eacute;seau informatique d&rsquo;une entreprise</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Installation et administration des services r&eacute;seau informatique d&rsquo;une entreprise</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;ploiement et administration des solutions fixes pour les clients d&rsquo;un op&eacute;rateur de t&eacute;l&eacute;communication</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT RT DEVCLOUD 2022-C2,🟠 Connecter,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Connecter les entreprises et les usagers</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en communiquant avec le client et les diff&eacute;rents acteurs impliqu&eacute;s, parfois en anglais</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en faisant preuve d&rsquo;une d&eacute;marche scientifique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant les solutions et technologies adapt&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en proposant des solutions respectueuses de l'environnement</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;ploiement des supports et syst&egrave;mes de transmission</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mise en service et administration des &eacute;quipements d&rsquo;acc&egrave;s fixe ou mobile d&rsquo;un op&eacute;rateur de t&eacute;l&eacute;communications</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;ploiement et administration des acc&egrave;s sans fil pour l'entreprise</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;ploiement des syst&egrave;mes de communications</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT RT DEVCLOUD 2022-C3,🟡 Programmer,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Cr&eacute;er des outils et applications informatiques pour&nbsp;les R&amp;T</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en &eacute;tant &agrave; l&rsquo;&eacute;coute des besoins du client</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en documentant le travail r&eacute;alis&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en utilisant les outils num&eacute;riques &agrave; bon escient</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en choisissant les outils de d&eacute;veloppement adapt&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant les probl&eacute;matiques de s&eacute;curit&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Conception, d&eacute;ploiement et maintenance du syst&egrave;me d&rsquo;information d&rsquo;une entreprise</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Automatisation du d&eacute;ploiement et de la maintenance des outils logiciels</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;veloppement d&rsquo;outils informatiques &agrave; usage interne d'une &eacute;quipe</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT RT DEVCLOUD 2022-C4,🟢 Orchestrer,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Coordonner des infrastructures modulaires</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant un cahier des charges</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en documentant le travail r&eacute;alis&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en int&eacute;grant les probl&eacute;matiques de s&eacute;curit&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en assurant une veille technologique</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les pratiques d&rsquo;&eacute;quipes et des m&eacute;thodes de production</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Industrialisation du d&eacute;ploiement des infrastructures syst&egrave;mes, r&eacute;seaux et s&eacute;curit&eacute; en sauvegardant et en restaurant ses configurations</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Maintenance des outils pour l&rsquo;int&eacute;gration et la mise en production du code logiciel</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Administration d&rsquo;un cluster de containers</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Analyse des performances d&rsquo;un syst&egrave;me pour am&eacute;liorer les processus de production</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT RT DEVCLOUD 2022-C5,🔵 Développer,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Accompagner le d&eacute;veloppement d&rsquo;applications</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant un cahier des charges</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en documentant le travail r&eacute;alis&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en respectant les bonnes pratiques de d&eacute;veloppement et de production</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">en visant l&rsquo;am&eacute;lioration continue</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">D&eacute;ploiement d&rsquo;une application</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Intervention sur la cha&icirc;ne de d&eacute;veloppement dans une optique DevOps</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Surveillance de la qualit&eacute; de la production</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Mise en place des services r&eacute;seaux n&eacute;cessaires au d&eacute;veloppement</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT RT DEVCLOUD 2022-C1,PN LP-BUT RT DEVCLOUD 2022-C1-L1,⭐ Assister l’administrateur du réseau,,,,,,,,,,,
PN LP-BUT RT DEVCLOUD 2022-C1,PN LP-BUT RT DEVCLOUD 2022-C1-L2,⭐⭐ Administrer un réseau,,,,,,,,,,,
PN LP-BUT RT DEVCLOUD 2022-C1,PN LP-BUT RT DEVCLOUD 2022-C1-L3,⭐⭐⭐ Concevoir un réseau,,,,,,,,,,,
PN LP-BUT RT DEVCLOUD 2022-C2,PN LP-BUT RT DEVCLOUD 2022-C2-L1,⭐ Découvrir les transmissions et la ToIP,,,,,,,,,,,
