Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT SD EMS 2022,BUT Science des Données - Parcours exploration et modélisation statistique,"<div class=""container text-center p-3"" style=""background: #004d99;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/science-des-donnees/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/0b/21641-stid-650-650-0b388941.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Statistique-et-Informatique-D%C3%A9cisionnelle"" data-line=""307""><span style=""color: #ffffff;"">BUT Statistique et Informatique D&eacute;cisionnelle</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Science des donn&eacute;es : exploration et mod&eacute;lisation statistique</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours science des donn&eacute;es : Exploration et Mod&eacute;lisation Statistique vise &agrave; former des professionnels comp&eacute;tents&nbsp;dans le recueil, le traitement et l&rsquo;analyse statistique des donn&eacute;es. Leurs comp&eacute;tences leurs permettent de participer &agrave; la&nbsp;d&eacute;finition et au recueil des donn&eacute;es pertinentes pour r&eacute;pondre &agrave; une probl&eacute;matique donn&eacute;e, au choix des outils statistiques&nbsp;appropri&eacute;s selon les situations rencontr&eacute;es, de mettre en oeuvre ces outils dans le cadre d&rsquo;une analyse ou d&rsquo;une mod&eacute;lisation&nbsp;et de produire des r&eacute;sultats pertinents et rigoureux sous forme de rapports, tableaux et graphiques.<br>Les m&eacute;tiers cibl&eacute;s sont, dans une liste non-exhaustive : Charg&eacute; d&rsquo;&eacute;tudes statistiques, D&eacute;veloppeur statistique, Data-Analyst,&nbsp;statisticien, Data-scientist, Charg&eacute; d&rsquo;&eacute;tude marketing, Charg&eacute; d&rsquo;analyse et de reporting, Analyste Big Data</span></p>
<p data-line=""309""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe24 (PDF-958.10 Ko-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/16/4/spe617_annexe24_1426164.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo;&nbsp;statistique et informatique d&eacute;cisionnelle&nbsp;: programme national</a></span></p>
<p data-line=""4"">&nbsp;</p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT SD EMS 2022-C1,🔴 Traiter,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Traiter des donn&eacute;es &agrave; des fins d&eacute;cisionnelles</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En intervenant &agrave; toutes les &eacute;tapes du cycle de vie de la donn&eacute;e (insertion, modification, extraction, suppression)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant le mod&egrave;le de donn&eacute;es adapt&eacute; aux besoins</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;inscrivant dans une d&eacute;marche de documentation des r&eacute;alisations adapt&eacute;e au public vis&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En traduisant correctement les demandes m&eacute;tier en programmes, avec le respect du cahier des charges s'il existe</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En &eacute;crivant un programme correctement structur&eacute; et document&eacute;, respectant les bonnes pratiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant les librairies et langages d&eacute;di&eacute;s</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte du d&eacute;veloppement d'un syst&egrave;me d'information d&eacute;cisionnel</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte de pr&eacute;paration des donn&eacute;es &agrave; des fins d'analyse statistique</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT SD EMS 2022-C2,🟠 Analyser,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser statistiquement les donn&eacute;es</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte du contexte de l&rsquo;&eacute;tude (&eacute;conomique, socio-d&eacute;mographique, commerciale, clinique...)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en &eacute;vidence les grandes tendances et les informations principales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant et en mettant en oeuvre les techniques adapt&eacute;es aux attentes du client ou de l&rsquo;instance d&eacute;cisionnaire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant et en mettant en oeuvre les techniques adapt&eacute;es aux donn&eacute;es complexes (donn&eacute;es massives, donn&eacute;es mal structur&eacute;es, flux&nbsp;de donn&eacute;es&hellip;)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte du contexte inf&eacute;rentiel (variabilit&eacute; de l&rsquo;&eacute;chantillon)</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte de programmation d'un outil d'aide &agrave; la d&eacute;cision</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte d'un projet d'&eacute;tude statistique</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT SD EMS 2022-C3,🟡 Valoriser,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Valoriser une production dans un contexte&nbsp;professionnel</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;adaptant au niveau d&rsquo;expertise, &agrave; la culture et au statut du destinataire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;exprimant correctement, aussi bien en fran&ccedil;ais qu&rsquo;en anglais, &agrave; l'oral comme &agrave; l'&eacute;crit</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En veillant aux aspects &eacute;thiques, d&eacute;ontologiques et r&eacute;glementaires d&rsquo;utilisation et de diffusion des donn&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En interpr&eacute;tant et contextualisant les r&eacute;sultats (citations, v&eacute;rification des sources, esprit critique)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant la forme de restitution adapt&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des r&eacute;alit&eacute;s &eacute;conomiques et manag&eacute;riales des entreprises</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte du d&eacute;veloppement d'outils d&eacute;cisionnels</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte d'une &eacute;tude statistique</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT SD EMS 2022-C4,🟢 Modéliser,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Mod&eacute;liser les donn&eacute;es dans un cadre statistique</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En choisissant le mod&egrave;le adapt&eacute; &agrave; la situation</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En ma&icirc;trisant la qualit&eacute; du mod&egrave;le</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;adaptant aux sp&eacute;cificit&eacute;s (donn&eacute;es, enjeux, m&eacute;thodes) d'un domaine d'application particulier (sant&eacute;, marketing, assurance, qualit&eacute;,<br>socio-d&eacute;mographie...)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s'adaptant &agrave; la complexit&eacute; des donn&eacute;es (donn&eacute;es massives, donn&eacute;es mal structur&eacute;es, flux de donn&eacute;es&hellip;)</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte d&rsquo;une analyse statistique</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte d'un d&eacute;veloppement statistique</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT SD EMS 2022-C1,PN LP-BUT SD EMS 2022-C1-L1,⭐ Traiter des données structurées,,,,,,,,,,,
PN LP-BUT SD EMS 2022-C1,PN LP-BUT SD EMS 2022-C1-L2,⭐⭐ Automatiser le traitement de données multidimensionnelles,,,,,,,,,,,
PN LP-BUT SD EMS 2022-C1,PN LP-BUT SD EMS 2022-C1-L3,⭐⭐⭐ Intégrer le traitement de données complexes,,,,,,,,,,,
PN LP-BUT SD EMS 2022-C2,PN LP-BUT SD EMS 2022-C2-L1,⭐ Mettre en oeuvre une analyse descriptive,,,,,,,,,,,
PN LP-BUT SD EMS 2022-C2,PN LP-BUT SD EMS 2022-C2-L2,⭐⭐ Mettre en oeuvre une analyse exploratoire,,,,,,,,,,,
