Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT SD VCOD 2022,"BUT Science des Données - Parcours visualisation, conception d'outils décisionnels","<div class=""container text-center p-3"" style=""background: #004d99;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/science-des-donnees/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/0b/21641-stid-650-650-0b388941.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Statistique-et-Informatique-D%C3%A9cisionnelle"" data-line=""307""><span style=""color: #ffffff;"">BUT Statistique et Informatique D&eacute;cisionnelle</span></h2>
<h3><span style=""color: #ffffff;"">Parcours Science des donn&eacute;es : visualisation, conception d'outils<br>d&eacute;cisionnels</span></h3>
<p style=""text-align: justify;""><span style=""color: #ffffff;"">Le parcours science des donn&eacute;es : Visualisation, Conception d&rsquo;Outils D&eacute;cisionnels vise &agrave; former des professionnels&nbsp;comp&eacute;tents dans la mise en oeuvre de tout ou partie du processus d&eacute;cisionnel, ayant notamment la capacit&eacute; &agrave; automatiser&nbsp;diff&eacute;rentes &eacute;tapes d&rsquo;une solution d&eacute;di&eacute;e. Leurs comp&eacute;tences leur permettent d&rsquo;assurer la gestion des connexions aux donn&eacute;es&nbsp;sources, la transformation et le nettoyage des donn&eacute;es (ETL), la mod&eacute;lisation et l&rsquo;application de calculs m&eacute;tiers, la production&nbsp;de restitutions visuelles (DataViz) &agrave; travers des outils de reporting et des tableaux de bords adapt&eacute;s et accessibles pour des&nbsp;utilisateurs finaux non-initi&eacute;s.<br>Les m&eacute;tiers cibl&eacute;s sont, dans une liste non-exhaustive : Data analyst - D&eacute;veloppeur d&eacute;cisionnel/BI, Charg&eacute; d&rsquo;analyse et de&nbsp;reporting, Data-manager - Gestionnaire de donn&eacute;es, charg&eacute; de projet d&eacute;cisionnel, D&eacute;veloppeur BigData</span></p>
<p data-line=""309""><span style=""color: #ecf0f1;""><a style=""color: #ecf0f1;"" title=""spe617_annexe24 (PDF-958.10 Ko-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/16/4/spe617_annexe24_1426164.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo;&nbsp;statistique et informatique d&eacute;cisionnelle&nbsp;: programme national</a></span></p>
<p data-line=""4"">&nbsp;</p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT SD VCOD 2022-C1,🔴 Traiter,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Traiter des donn&eacute;es &agrave; des fins d&eacute;cisionnelles</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En intervenant &agrave; toutes les &eacute;tapes du cycle de vie de la donn&eacute;e (insertion, modification, extraction, suppression)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant le mod&egrave;le de donn&eacute;es adapt&eacute; aux besoins</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;inscrivant dans une d&eacute;marche de documentation des r&eacute;alisations adapt&eacute;e au public vis&eacute;</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En traduisant correctement les demandes m&eacute;tier en programmes, avec le respect du cahier des charges s'il existe</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En &eacute;crivant un programme correctement structur&eacute; et document&eacute;, respectant les bonnes pratiques</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant les librairies et langages d&eacute;di&eacute;s</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte du d&eacute;veloppement d'un syst&egrave;me d'information d&eacute;cisionnel</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte de pr&eacute;paration des donn&eacute;es &agrave; des fins d'analyse statistique</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT SD VCOD 2022-C2,🟠 Analyser,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Analyser statistiquement les donn&eacute;es</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte du contexte de l&rsquo;&eacute;tude (&eacute;conomique, socio-d&eacute;mographique, commerciale, clinique...)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en &eacute;vidence les grandes tendances et les informations principales</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant et en mettant en oeuvre les techniques adapt&eacute;es aux attentes du client ou de l&rsquo;instance d&eacute;cisionnaire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En identifiant et en mettant en oeuvre les techniques adapt&eacute;es aux donn&eacute;es complexes (donn&eacute;es massives, donn&eacute;es mal structur&eacute;es, flux&nbsp;de donn&eacute;es&hellip;)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte du contexte inf&eacute;rentiel (variabilit&eacute; de l&rsquo;&eacute;chantillon)</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte de programmation d'un outil d'aide &agrave; la d&eacute;cision</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte d'un projet d'&eacute;tude statistique</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT SD VCOD 2022-C3,🟡 Valoriser,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Valoriser une production dans un contexte&nbsp;professionnel</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;adaptant au niveau d&rsquo;expertise, &agrave; la culture et au statut du destinataire</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En s&rsquo;exprimant correctement, aussi bien en fran&ccedil;ais qu&rsquo;en anglais, &agrave; l'oral comme &agrave; l'&eacute;crit</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En veillant aux aspects &eacute;thiques, d&eacute;ontologiques et r&eacute;glementaires d&rsquo;utilisation et de diffusion des donn&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En interpr&eacute;tant et contextualisant les r&eacute;sultats (citations, v&eacute;rification des sources, esprit critique)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant la forme de restitution adapt&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte des r&eacute;alit&eacute;s &eacute;conomiques et manag&eacute;riales des entreprises</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte du d&eacute;veloppement d'outils d&eacute;cisionnels</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte d'une &eacute;tude statistique</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT SD VCOD 2022-C4,🟢 Développer,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>D&eacute;velopper un outil d&eacute;cisionnel</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en oeuvre une structuration des donn&eacute;es adapt&eacute;e &agrave; leurs caract&eacute;ristiques (type, volume...)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En assurant la qualit&eacute; des donn&eacute;es et minimisant les biais li&eacute;s &agrave; l&rsquo;incertitude et l&rsquo;impr&eacute;cision dans les sources</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En &eacute;tant sensible aux aspects &eacute;thiques, d&eacute;ontologiques et juridiques d&rsquo;utilisation et de diffusion des donn&eacute;es</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant des solutions de visualisation sp&eacute;cifiques aux donn&eacute;es m&eacute;tier</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En intervenant &agrave; diff&eacute;rents niveaux de la cha&icirc;ne d&eacute;cisionnelle</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En utilisant des m&eacute;thodes de d&eacute;veloppement logiciel</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte du d&eacute;ploiement d'une solution d&eacute;cisionnelle</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Dans le contexte d'automatisation de reporting et de visualisation</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT SD VCOD 2022-C1,PN LP-BUT SD VCOD 2022-C1-L1,⭐ Traiter des données structurées,,,,,,,,,,,
PN LP-BUT SD VCOD 2022-C1,PN LP-BUT SD VCOD 2022-C1-L2,⭐⭐ Automatiser le traitement de données multidimensionnelles,,,,,,,,,,,
PN LP-BUT SD VCOD 2022-C1,PN LP-BUT SD VCOD 2022-C1-L3,⭐⭐⭐ Intégrer le traitement de données complexes,,,,,,,,,,,
PN LP-BUT SD VCOD 2022-C2,PN LP-BUT SD VCOD 2022-C2-L1,⭐ Mettre en oeuvre une analyse descriptive,,,,,,,,,,,
PN LP-BUT SD VCOD 2022-C2,PN LP-BUT SD VCOD 2022-C2-L2,⭐⭐ Mettre en oeuvre une analyse exploratoire,,,,,,,,,,,
