Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,PN LP-BUT SGM MIMP 2022,BUT Science et Génie des Matériaux - Parcours MIMP,"<div class=""container text-center p-3"" style=""background: #990000;"">
<h2 data-line=""2""><a href=""https://www.iut.fr/bachelor-universitaire-de-technologie/science-et-genie-des-materiaux/"" target=""_blank"" rel=""noopener""><span style=""color: #ffffff;""><img style=""border-radius: 100%;"" src=""https://www.iut.fr/wp-content/themes/yootheme/cache/36/21640-sgm-650-650-36f731d6.webp"" alt="""" width=""404"" height=""404""></span></a></h2>
<h2 id=""BUT-Science-et-G%C3%A9nie-des-Mat%C3%A9riaux"" data-line=""295""><span style=""color: #ecf0f1;"">BUT Science et G&eacute;nie des Mat&eacute;riaux</span></h2>
<h3><span style=""color: #ecf0f1;"">Parcours M&eacute;tiers de l'ing&eacute;nierie des mat&eacute;riaux et des produits</span></h3>
<p style=""text-align: justify;""><span style=""color: #ecf0f1;"">En choisissant le parcours M&eacute;tiers de l&rsquo;ing&eacute;nierie des mat&eacute;riaux et des produits, le dipl&ocirc;m&eacute; pourra int&eacute;grer des &eacute;quipes&nbsp;de recherche et d&eacute;veloppement, des ateliers de fabrication ou encore des bureaux d&rsquo;&eacute;tudes. Il contribuera &agrave; mettre en place&nbsp;une d&eacute;marche allant de la s&eacute;lection et la conception des mat&eacute;riaux jusqu&rsquo;&agrave; la r&eacute;alisation du produit dans un contexte de&nbsp;d&eacute;veloppement durable.</span></p>
<p data-line=""297""><span style=""color: #ffffff;""><a style=""color: #ffffff;"" title=""spe617_annexe23 (PDF-1.21 Mo-Nouvelle fen&ecirc;tre)"" href=""https://cache.media.education.gouv.fr/file/SP4-MESRI-26-5-2022/16/2/spe617_annexe23_1426162.pdf"" target=""_blank"" rel=""noopener"">Licence professionnelle &laquo; bachelor universitaire de technologie &raquo;&nbsp;science et g&eacute;nie des mat&eacute;riaux&nbsp;: programme national</a></span></p>
<p data-line=""4"">&nbsp;</p>
<p data-line=""4""><a href=""https://fr.wikipedia.org/wiki/Bachelor_universitaire_de_technologie"" target=""_blank"" rel=""noopener""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DL_02_BUT.svg/langfr-280px-DL_02_BUT.svg.png"" alt="""" width=""280"" height=""324""></a></p>
</div>",,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,PN LP-BUT SGM MIMP 2022-C1,🔴 Élaborer,"<div class=""container"" style=""border: solid 4px #f8312f; padding-top: 1em; background: linear-gradient(180deg,rgba(248,49,47,1)0%,rgba(248,49,47,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>&Eacute;laborer des mat&eacute;riaux</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les r&egrave;gles HSE</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant la possibilit&eacute; de recyclage</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant un cahier des charges (CDC)</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les normes et protocoles standards</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de d&eacute;veloppement d&rsquo;un nouveau mat&eacute;riau ou produit</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation d'am&eacute;lioration d&rsquo;un mat&eacute;riau ou d&rsquo;un produit</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation d&rsquo;am&eacute;lioration de la mise en oeuvre</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT SGM MIMP 2022-C2,🟠 Eco-concevoir,"<div class=""container"" style=""border: solid 4px #ff6723; padding-top: 1em; background: linear-gradient(180deg,rgba(255, 103, 35,1)0%,rgba(255, 103, 35,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Eco-concevoir : du mat&eacute;riau au produit</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En adoptant une d&eacute;marche globale Produit-Proc&eacute;d&eacute;-Mat&eacute;riau</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En prenant en compte l&rsquo;impact environnemental</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte du besoin exprim&eacute; par l'utilisateur</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En int&eacute;grant l'existant et l'expertise des autres acteurs</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de r&eacute;alisation d&rsquo;un bilan carbone dans un cabinet d'audit</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de r&eacute;alisation d'une ACV (Analyse du Cycle de Vie) simplifi&eacute;e d'un produit dans un cabinet d'audit</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de travail au sein d'un bureau d'&eacute;tudes (BE)</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT SGM MIMP 2022-C3,🟡 Mettre en forme,"<div class=""container"" style=""border: solid 4px #fcd53f; padding-top: 1em; background: linear-gradient(180deg,rgba(252, 213, 63,1)0%,rgba(252, 213, 63,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Mettre en forme les mat&eacute;riaux</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En comprenant l'incidence du proc&eacute;d&eacute; sur les propri&eacute;t&eacute;s</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les normes et contraintes d'HSE</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En r&eacute;alisant un produit fonctionnel avec un proc&eacute;d&eacute;</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de travail au sein d'un atelier, en responsabilit&eacute; d'un appareil de production</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de travail au sein d'un bureau des m&eacute;thodes (BM) en r&eacute;digeant les documents techniques li&eacute;s &agrave; la production</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de travail au sein d'un atelier de prototypage</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT SGM MIMP 2022-C4,🟢 Caractériser,"<div class=""container"" style=""border: solid 4px #00d26a; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 210, 106,1)0%,rgba(0, 210, 106,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>Caract&eacute;riser des mat&eacute;riaux et des produits</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En choisissant la ou les techniques pour une caract&eacute;risation donn&eacute;e</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En mettant en oeuvre l&rsquo;essai ou l'analyse en toute s&eacute;curit&eacute; suivant un protocole</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En exploitant avec pertinence les r&eacute;sultats exp&eacute;rimentaux</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En pr&eacute;parant les &eacute;chantillons suivant une norme ou un protocole</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de travail au sein d'un laboratoire de caract&eacute;risation</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de travail au sein d'un laboratoire de contr&ocirc;le non destructif (CND)</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de travail au sein d'un service qualit&eacute; pour le contr&ocirc;le et la validation d'un proc&eacute;d&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de travail au sein d'un service qualit&eacute; pour le contr&ocirc;le et la validation d'un produit</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
,PN LP-BUT SGM MIMP 2022-C5,🔵 Développer,"<div class=""container"" style=""border: solid 4px #0074ba; padding-top: 1em; background: linear-gradient(180deg,rgba(0, 116, 186,1)0%,rgba(0, 116, 186,0)100%);"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""alert alert-info"">
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-info list-group-item-action"">
<h3>D&eacute;velopper un produit de la conception &agrave; la&nbsp;r&eacute;alisation</h3>
</li>
</ol>
</div>
<div class=""alert alert-warning"">
<h1>🔩 Composantes essentielles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-warning list-group-item-action"">En comprenant l'influence du proc&eacute;d&eacute; sur la structure</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En g&eacute;rant l'aspect multi-mat&eacute;riaux des produits</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En tenant compte du v&eacute;cu du mat&eacute;riau</li>
<li class=""list-group-item list-group-item-warning list-group-item-action"">En respectant les indications de l'analyse du cycle de vie (ACV)</li>
</ol>
</div>
<div class=""alert alert-danger"">
<h1>💼 Situations professionnelles</h1>
<ol class=""list-group list-group-flush"">
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de d&eacute;veloppement d'un produit dans un BE</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de conception dans une agence de design</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de responsabilit&eacute; au sein d'un atelier de production</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de d&eacute;veloppement au sein d'un BM</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de d&eacute;veloppement et d&rsquo;implantation d&rsquo;un nouveau proc&eacute;d&eacute;</li>
<li class=""list-group-item list-group-item-danger list-group-item-action"">Situation de lancement d&rsquo;une production</li>
</ol>
</div>
</div>
</div>
</div>",,,,,,,,,,
PN LP-BUT SGM MIMP 2022-C1,PN LP-BUT SGM MIMP 2022-C1-L1,⭐ En suivant un protocole établi,,,,,,,,,,,
PN LP-BUT SGM MIMP 2022-C1,PN LP-BUT SGM MIMP 2022-C1-L2,⭐⭐ En adaptant un protocole simple,,,,,,,,,,,
PN LP-BUT SGM MIMP 2022-C1,PN LP-BUT SGM MIMP 2022-C1-L3,⭐⭐⭐ En définissant les paramètres d'un protocole selon un CDC,,,,,,,,,,,
PN LP-BUT SGM MIMP 2022-C2,PN LP-BUT SGM MIMP 2022-C2-L1,⭐ En utilisant les outils de la conception,,,,,,,,,,,
